c_xqxp,SALARY_COMPENSATION,twoszf24,revenue,val_len,UPTIME_AVAILABILITY,concentration,attr_gkfm,humidity,PASSPORT_NUMBER,category,exchangeRate,bandwidthDataRate,database_connection_string,customer_checksum_hash,attr_gtin,signature,f_hum,measup,tbmdyk93,ENERGY,measscore,category_2,sla,AREA,LENGTH,VOLUME,MEMORY_USAGE,val_dxs,col_399,dim_715,portfolio,price_cost_info,attr_cvv,GLOBAL_TRADE_ITEM_NUMBER,meta_uqv,brandName,storage_size,CATEGORY,errmsg,price_cost,f_527,distance,marketValue,paypal,speed_velocity,dim_created_by,PRESSURE,concentration_2,measmem
11.192,"$151,388",305.14,"$3,148,784",28.7,96.1219,716.08,2.68,8.1,H32632151,Software,59.7855,4263,postgresql://user:****@db-staging.internal:5432/main,6e71bc05ba9626e62e4ac2b7433ce1124cc768a8f21deb5fc0f389635624c5d3,1296184773732,sig_1a08d377f5dd7522,43.0,95.9141,1517,48260.7,6.36,Software,99.8962,98094.6,388.72,263.09,22.6,https://example.com/users,758.91,AB+,INV-558730,9944.31,8720,5118648155649,TSU-8761,ProSeries,143889,Hardware,PermissionDenied: insufficient privileges,7978.35,Single,2127.2,"$96,435,006",sarah.robinson@outlook.com,251.2,linda.thomas,200.7,367.82,81.6
12.53,"$78,080",25.25,"$6,913,117",980.21,97.9936,671.35,6.69,77.7,P78352928,Hardware,50.4191,8416,postgresql://user:****@db-prod.internal:5432/analytics,362146695eda4c29f3215ae36d7d275fda01d8b19441251d834c9f1b92683bb0,5918978971431,sig_37ab91f87eed020f,76.8,96.1667,67820,27241.9,2.51,Hardware,96.2856,35199.9,906.23,4709.14,35.4,https://acme.org/api/users/api,257.95,B+,INV-909380,4819.87,259,9204801928710,FJQ-7338,EcoLine,682054,Software,ValueError: invalid literal for int(),5008.37,Divorced,2957.2,"$221,416,290",mary.clark@gmail.com,289.3,mason.harris,1026.4,537.41,60.9
11.777,"$34,779",102.56,"$4,246,159",236.28,96.5173,69.85,2.48,94.1,E23778749,Software,41.4437,4350,postgresql://user:****@db-staging.internal:5432/main,9359bca02bcf8146a55ac608f7ab379380085c8c480ca87088cda1c064bb7f71,9820674154223,sig_f1b147a231da0d86,5.1,95.3373,41099,31851.0,4.88,Hardware,95.1774,69944.0,62.77,5561.72,66.7,https://data.io/users/data,449.26,O-,INV-987305,3334.77,4125,8073606461323,GOG-4658,ProSeries,320425,Electronics,HTTP 503 Service Unavailable,8467.03,Married,7887.4,"$885,026,526",olivia.wright@yahoo.com,194.9,aiden.king,1617.8,893.07,66.3
4.307,"$86,038",23.43,"$2,105,064",81.92,98.6554,754.29,8.65,91.4,D19259109,Hardware,108.0031,1692,postgresql://user:****@db-prod.internal:5432/main,49e862074156322b270099d0e253af41b6167bfc6f296e22d4ce3789036afc0d,1487812343554,sig_28f97e1d64427cc0,69.5,95.2722,44520,45735.6,3.88,Hardware,99.7664,4888.0,368.31,2219.61,88.4,https://acme.org/v2,739.69,B+,INV-545084,6501.24,3928,3965501104282,XUZ-8871,ProSeries,698037,Food,HTTP 503 Service Unavailable,4063.26,Widowed,4427.4,"$49,601,520",mary.jones@gmail.com,2.6,linda.anderson,1690.4,312.53,0.5
15.951,"$161,443",108.53,"$1,377,917",313.27,95.6222,702.26,8.96,26.4,B60715534,Clothing,110.2066,1031,postgresql://user:****@db-staging.internal:5432/analytics,57475959c170cb68e65f82395ed92431167e953492c84ef663f87f3e14c49159,3750218706141,sig_3fa50dfef5d51d8e,15.3,98.52,29061,86963.2,1.78,Electronics,98.4869,33008.4,416.06,2527.43,34.3,https://data.io/status,100.66,A-,INV-918360,1661.17,6335,9366155052418,OJW-9548,EcoLine,772140,Software,FileNotFoundError: 8714,4739.06,Widowed,8742.8,"$517,457,400",patricia.walker@outlook.com,15.8,richard.anderson,1575.6,10.96,10.7
1.192,"$205,638",201.08,"$8,034,477",664.68,98.0851,900.38,7.88,52.8,K96645692,Services,5.4021,2972,postgresql://user:****@db-staging.internal:5432/analytics,a824b82823fe8ca6058a5fdf4248ce1752c680edcccb5d45fb323129e327f52b,0477434246639,sig_71427f8086348c64,46.8,97.7211,59475,11192.4,5.08,Clothing,97.4508,26939.4,261.46,8743.16,13.6,https://acme.org/data,578.24,A+,INV-744389,8598.38,164,1323293953020,WCT-2003,TechBrand,689323,Hardware,HTTP 503 Service Unavailable,9922.66,Divorced,7700.7,"$56,112,925",aiden.thompson@gmail.com,117.7,jennifer.clark,1968.2,384.2,52.7
18.118,"$137,922",235.33,"$5,483,010",635.93,95.1795,897.08,5.21,89.2,K99435976,Services,91.3489,7658,postgresql://user:****@db-staging.internal:5432/main,f9d92ed8be3495a627af5600d7bc47e0349d17d8e9eacc06ed1087b7feec4ae7,4288836494569,sig_83bcd9174624f6ea,5.9,99.3575,36989,97294.1,0.8,Services,96.5244,57853.0,145.33,2121.42,63.3,https://api.service.com/status/docs/data,963.58,A+,INV-423966,4524.37,656,8280569277004,NZZ-7932,ProSeries,289446,Software,FileNotFoundError: 908,7231.0,Divorced,6175.7,"$140,890,678",emily.young@yahoo.com,48.3,oliver.martin,543.2,514.2,16.0
19.28,"$170,982",141.63,"$7,152,869",799.76,95.7293,847.98,6.0,58.9,Y89836354,Electronics,2.5261,344,postgresql://user:****@db-prod.internal:5432/main,01de1bf5be7686c80b211165caa8c4aad3c626b14ae37fa79ca1f53ec08f8537,0451560885302,sig_c0b1ba6a70a5edfa,74.0,98.6413,645,90591.8,9.13,Electronics,96.095,6900.7,231.07,9405.37,81.0,https://example.com/docs/status,837.0,AB-,INV-182978,2113.94,9422,8168797387148,LUD-9551,ProSeries,903062,Services,NullPointerException at line 7060,7634.73,Divorced,8304.8,"$484,021,524",richard.miller@outlook.com,258.0,logan.lewis,1039.6,712.12,33.1
5.873,"$165,355",308.93,"$9,398,826",480.47,98.9367,5.74,9.89,7.3,V29484076,Services,31.2514,8082,postgresql://user:****@db-staging.internal:5432/main,4f55b5ad13e2cf068b9bb4480494437b3a95196e5040e63dd07825754656b27f,1224593580080,sig_881393e1300c0368,13.8,97.8057,11396,86347.7,2.85,Software,95.6615,57420.0,870.6,7341.1,29.2,https://api.service.com/users,143.7,B-,INV-498795,8904.6,162,6702379392248,ITM-4434,ProSeries,113896,Services,Connection timeout after 4795ms,596.47,Widowed,6261.0,"$182,589,014",david.davis@gmail.com,254.5,olivia.wright,1393.7,306.74,25.2
3.763,"$196,710",239.95,"$6,567,502",100.1,95.5784,585.74,0.11,35.6,L49672895,Services,81.6045,8708,postgresql://user:****@db-staging.internal:5432/analytics,662010ce8d917056789db48c7cba9a721d685b4d6e66df8c9d3e798e5051a074,8151709475835,sig_56f09e83f4605cdc,71.4,98.023,30307,56391.4,1.07,Hardware,97.8962,83837.7,207.66,8594.23,62.0,https://acme.org/data/status,719.49,B-,INV-362966,6724.12,8179,8725404853427,JJB-1708,TechBrand,708592,Clothing,NullPointerException at line 9397,5810.44,Widowed,383.9,"$259,749,791",patricia.garcia@yahoo.com,246.1,harper.jackson,1338.4,173.21,72.0
14.441,"$77,493",85.6,"$3,361,730",733.27,99.4668,746.76,3.9,87.0,O83715773,Clothing,75.4182,5128,postgresql://user:****@db-staging.internal:5432/analytics,7458e99bdb89c904bd425723c4da31416fd0e51d563190fe2b4d26e266a3d934,8888046059371,sig_3b1ad1cb40aded04,10.6,97.3081,20391,12461.6,9.01,Services,97.3122,40212.6,759.41,7157.43,13.6,https://acme.org/docs/users,826.23,B-,INV-124385,9711.06,629,5494947539080,VJQ-7390,SmartChoice,959413,Hardware,Connection timeout after 1068ms,3891.14,Married,6136.3,"$817,042,098",william.moore@yahoo.com,174.5,sarah.thompson,1537.4,669.29,71.4
3.156,"$129,820",190.84,"$816,700",271.81,95.3058,317.61,7.55,53.1,J71507926,Electronics,24.5178,3759,postgresql://user:****@db-prod.internal:5432/analytics,781c57eaebf25e64c73cb8b2664b7410515388590e95113618a91a3f5f4079ef,8953759698359,sig_035e28dccc34fd11,55.4,96.4393,12201,2790.5,6.16,Software,96.3078,47423.9,189.82,7183.52,42.0,https://example.com/api/data/v2,117.45,B-,INV-417431,7455.39,7833,8984446857097,PQF-3127,SmartChoice,614126,Electronics,Connection timeout after 1436ms,8171.66,Widowed,9188.9,"$334,513,759",robert.jackson@yahoo.com,9.7,linda.martin,528.7,195.67,13.4
7.93,"$178,299",315.22,"$3,499,068",852.29,98.2658,630.41,3.5,60.5,P12201482,Electronics,142.7204,8657,postgresql://user:****@db-prod.internal:5432/main,9667857afb5ddad09cb806eddca51c946f961dd1c2411970a3e7214873803071,3744911916649,sig_49b3b5dd81a16565,36.8,97.9781,83825,42135.7,6.25,Electronics,99.14,57739.5,262.23,3513.74,80.8,https://example.com/api/api/users,187.7,O-,INV-883549,1420.79,6218,8952912868945,CRO-9064,ValueMax,178371,Clothing,ValueError: invalid literal for int(),7239.39,Single,1773.1,"$559,171,387",john.young@yahoo.com,105.2,aiden.clark,484.8,575.84,55.8
9.554,"$219,192",233.34,"$1,713,569",47.99,99.8106,571.93,3.33,72.5,K70667956,Software,129.0144,7202,postgresql://user:****@db-staging.internal:5432/main,3c46421a69231d66a25d9ff2ea1427eddffcd044277489b2d2bef241c61fbce0,0132100339151,sig_6e76a485f4f75011,91.1,95.9105,29442,12684.1,7.89,Hardware,99.4556,6195.3,350.91,5490.93,10.8,https://data.io/users,405.81,A-,INV-232402,8237.63,5394,2554994812199,FQF-5308,SmartChoice,576046,Services,ValueError: invalid literal for int(),5939.15,Widowed,9471.2,"$503,097,859",susan.lewis@yahoo.com,71.5,david.king,1117.3,590.79,2.9
0.441,"$119,960",308.04,"$6,038,219",48.21,99.482,978.18,1.1,51.0,U61313179,Food,127.5654,4958,postgresql://user:****@db-staging.internal:5432/analytics,738296918ca19af81a64dabb276439b9be672ee65bc4e06be3f7e563ef1af641,1196226718504,sig_42939453db8bd1e7,0.5,95.7306,28418,78843.8,4.5,Clothing,95.5009,48610.6,395.63,4669.37,19.9,https://acme.org/v2/v2/users,896.82,O-,INV-968014,3147.44,1791,5457002249156,NVO-5731,ValueMax,687353,Electronics,ValueError: invalid literal for int(),6846.77,Widowed,5789.4,"$233,641,924",emily.lewis@outlook.com,137.2,robert.harris,1010.3,658.75,35.8
14.559,"$248,512",183.9,"$8,031,861",893.25,95.6542,309.41,6.02,96.8,O19327016,Food,137.7124,3297,postgresql://user:****@db-prod.internal:5432/analytics,88bfa297ea74fe5a1666c03e07ebf8ba111a6f96edb17f11acc05a55ec33b6d1,5418351723728,sig_dccc1ae87aa4ed60,61.2,96.1687,75475,91568.2,5.54,Services,95.321,84883.0,261.29,7565.09,10.0,https://api.service.com/docs/status,636.71,O+,INV-589022,7949.16,7744,8337372865407,JOK-2369,SmartChoice,426773,Hardware,FileNotFoundError: 4878,508.55,Married,9348.4,"$932,653,807",noah.jackson@outlook.com,230.6,sophia.young,1876.2,276.53,94.3
16.692,"$232,169",346.92,"$7,781,365",984.93,98.2826,525.19,3.35,13.6,A32908454,Services,107.6526,9996,postgresql://user:****@db-staging.internal:5432/analytics,1870a82f6f1259f77ea974d69445c090733a6d4e71c96410895b189eaab671a7,9013152830986,sig_9f50e757bd59fabc,16.4,98.417,21489,73217.1,4.78,Services,98.0734,23741.1,511.66,5582.62,97.5,https://acme.org/users/v2,766.71,B+,INV-633680,9305.97,446,9938093854287,JGI-7672,ProSeries,309997,Software,PermissionDenied: insufficient privileges,4903.47,Single,5341.1,"$709,759,232",sophia.jones@outlook.com,3.7,emma.jackson,292.2,622.58,3.0
9.855,"$122,547",329.76,"$8,973,754",489.01,99.3097,911.3,8.93,0.2,N57954465,Services,135.2904,9226,postgresql://user:****@db-prod.internal:5432/analytics,dbd4c7960dcc2815d9539c3ff2209270bfadf580f6d5fadc9f21792b949c4b05,5974054980053,sig_345cbd432f6782a7,25.6,96.3276,34617,35978.3,9.18,Software,97.1468,17352.9,406.7,2404.44,91.5,https://example.com/status,433.41,B+,INV-978605,8272.65,887,8668058370196,NDK-5884,EcoLine,703909,Hardware,FileNotFoundError: 726,3987.82,Divorced,3314.2,"$275,302,976",jennifer.walker@gmail.com,3.5,richard.martin,68.8,892.22,25.0
17.527,"$189,856",353.38,"$3,184,030",155.35,97.8887,885.06,0.59,46.8,Z56189205,Electronics,120.157,2270,postgresql://user:****@db-staging.internal:5432/main,0447db931f0a92766e0c72e6d3e8718d12f749cabf1a68392a8d9e7cb74a70d4,0676741794490,sig_6fe0b88ca7710427,59.2,99.3883,1851,9533.4,3.85,Clothing,99.5245,67380.0,267.12,6118.45,36.7,https://data.io/users,819.05,O-,INV-854022,2569.21,731,0952022197761,KOL-4095,ProSeries,910445,Hardware,Connection timeout after 5582ms,8693.72,Married,7272.8,"$488,420,528",michael.clark@gmail.com,208.4,liam.thomas,1756.1,200.8,67.8
15.868,"$243,786",33.82,"$3,833,280",415.95,96.6407,101.95,0.77,85.1,V97652282,Software,86.1594,8367,postgresql://user:****@db-staging.internal:5432/main,2addeabcbb71a4d638cd6ba6442e1f555798dc23d3bee9e1c3083b209b3d74a9,3031305875732,sig_6fb077f65ea122f7,50.8,99.7342,13879,41144.0,2.07,Hardware,97.7347,86219.2,536.69,1669.81,89.0,https://example.com/status/v2/api,847.45,O-,INV-561470,5457.63,5942,7056374447092,DRC-9302,SmartChoice,115036,Services,FileNotFoundError: 856,3959.2,Married,3608.7,"$104,554,215",elizabeth.miller@gmail.com,88.0,oliver.lewis,710.5,641.42,61.8
2.451,"$204,089",142.9,"$4,295,700",873.65,96.8741,205.33,0.64,19.6,C88382822,Services,48.9149,894,postgresql://user:****@db-prod.internal:5432/analytics,29f758b8dfd5e61f68ccec5b78846e86ffee4e338d44e39f91835442da718ebd,4935237303785,sig_c25322b2373da534,84.6,99.733,7412,11476.4,1.45,Software,98.9007,95456.2,422.08,7543.91,45.5,https://example.com/api,113.8,O+,INV-159273,3474.24,951,8386654533952,FAJ-4419,SmartChoice,362827,Services,ValueError: invalid literal for int(),5887.93,Single,8503.4,"$182,495,943",liam.williams@gmail.com,165.9,sarah.brown,1443.6,696.31,53.2
7.187,"$78,169",304.44,"$1,723,537",450.3,97.3621,905.09,6.8,48.0,R19460622,Services,132.7305,2344,postgresql://user:****@db-staging.internal:5432/main,45b4b4472f5be9952633d312aad2b4c0b05f68fc1b38d6dc9c04d73e9718b301,1290949938179,sig_606ebd395edc359d,32.1,99.2427,59493,56156.6,9.13,Hardware,97.0927,96446.8,476.53,8944.18,91.3,https://acme.org/v2/api/api,495.0,B-,INV-296999,9101.98,3070,6249038645500,LDC-4804,TechBrand,541145,Food,FileNotFoundError: 8612,1784.55,Married,7452.2,"$369,533,973",mary.harris@yahoo.com,254.8,susan.thompson,456.0,350.69,90.9
18.679,"$248,045",297.76,"$3,518,236",965.27,96.3153,99.48,0.27,79.1,O54970788,Clothing,139.5109,6675,postgresql://user:****@db-staging.internal:5432/main,da6532997b99800be5c7bce6a257713c9af2eee60c8c5d6624acd55cbf3758c9,1898521076939,sig_a8fafcd33a2b2bf4,54.6,97.5355,70963,33385.0,8.0,Food,97.879,8564.6,330.29,611.72,11.4,https://example.com/docs/users/data,987.83,AB+,INV-779396,9696.44,6178,7433911974076,NBS-7140,ProSeries,961123,Electronics,HTTP 503 Service Unavailable,1913.07,Married,3402.9,"$363,996,588",emma.thomas@yahoo.com,265.7,amy.brown,1654.4,417.92,6.9
9.163,"$184,851",135.14,"$1,361,945",217.07,96.3565,725.03,6.06,32.1,V38647645,Food,27.0945,1823,postgresql://user:****@db-prod.internal:5432/main,ab6b6206db81ef6181edb93d731f85d3b796a3fff8842957b154629fafe1973f,5140496423226,sig_0737581b74d9182b,10.5,95.2686,73200,64615.4,9.48,Hardware,95.546,45391.0,970.95,4931.82,22.3,https://example.com/api/status,897.2,AB-,INV-116583,9951.04,1362,0188323710303,QKZ-4925,ValueMax,145206,Clothing,ValueError: invalid literal for int(),911.93,Single,8669.6,"$287,202,414",patricia.anderson@yahoo.com,206.8,emma.walker,888.9,809.32,98.5
6.331,"$199,862",239.82,"$9,837,434",144.25,96.8702,126.47,0.43,61.5,R76371628,Electronics,51.8183,9666,postgresql://user:****@db-staging.internal:5432/analytics,ee4019a18d13dfc5716a4ea7f424ff70f6ea61d2a44378aeced7280962ae95f8,7715650962171,sig_8d01c46ce251c79d,44.8,95.0986,47429,9380.7,2.01,Services,95.509,52019.2,684.75,993.11,29.2,https://api.service.com/docs/users/docs,753.16,AB-,INV-643050,6303.53,7168,9132440274605,HVH-8879,TechBrand,757249,Clothing,ValueError: invalid literal for int(),7350.93,Divorced,2107.2,"$286,440,679",richard.young@outlook.com,223.9,anna.anderson,376.6,404.47,66.6
8.819,"$43,405",71.13,"$8,939,841",464.28,98.0049,804.12,2.02,49.5,R74662677,Software,11.6075,6300,postgresql://user:****@db-staging.internal:5432/main,252c8966e4c6f0cdb1add1bbb1eeb73c508b88007f203737c3ce39f2193f1c99,4665419994406,sig_1b757430da0000b4,21.2,96.5422,14154,4601.6,0.08,Software,95.3728,21360.1,51.46,6376.51,81.8,https://acme.org/status,642.85,B-,INV-931110,2793.58,5485,9991014716707,GEZ-3244,EcoLine,62356,Electronics,NullPointerException at line 1474,1501.81,Married,3796.2,"$552,886,462",mason.thomas@yahoo.com,114.2,liam.king,147.5,347.57,38.9
12.984,"$208,955",351.38,"$5,375,756",158.22,95.3971,438.51,1.25,12.0,K85545732,Software,116.2868,3367,postgresql://user:****@db-prod.internal:5432/main,e51578ea52df4d38ea5197c65dda913ccac23df7be0cef1f570c9d804efb8659,3641432364960,sig_861f577fe3d8109d,44.3,95.3828,39287,25758.6,9.0,Clothing,95.3618,67385.0,342.52,8259.97,72.2,https://example.com/api,692.11,B+,INV-973463,7008.9,5476,8281986169753,UPO-4558,ValueMax,64774,Food,HTTP 503 Service Unavailable,8744.69,Divorced,8855.9,"$433,062,234",richard.jackson@yahoo.com,289.0,michael.martinez,1546.3,916.82,90.9
7.153,"$125,674",170.2,"$3,391,405",0.32,99.1483,424.23,2.05,60.8,H41279608,Electronics,132.4159,929,postgresql://user:****@db-prod.internal:5432/analytics,609723351e88fc3a30e93730ba49f7d72d660a275852a654baf9495fd7bb5eaf,9665409452822,sig_b3ab1e9c2f15a645,67.0,96.7715,28137,38190.5,9.45,Clothing,97.5612,83339.8,687.6,6775.41,66.9,https://api.service.com/docs,660.32,O+,INV-455154,5024.37,403,5889648301250,WGE-5331,ValueMax,132499,Electronics,FileNotFoundError: 5302,752.95,Divorced,4491.0,"$74,595,178",richard.harris@yahoo.com,52.7,noah.wright,1389.3,430.09,38.8
0.918,"$137,848",319.32,"$5,507,684",913.83,97.9873,694.95,2.43,9.8,H10119351,Electronics,84.1749,7012,postgresql://user:****@db-prod.internal:5432/main,a1413bd99659fc1479eca8321c9aac610a8c9f0a3146a352d26c883cfecacb76,1925473329324,sig_68303adfd4843287,99.4,99.4149,55268,13545.8,0.19,Clothing,96.8827,86874.0,688.19,1647.17,62.6,https://acme.org/docs/v2/users,515.28,B+,INV-589845,2917.19,893,9567481587314,IDR-3319,EcoLine,923256,Software,PermissionDenied: insufficient privileges,1880.94,Married,7715.5,"$216,181,237",liam.king@yahoo.com,121.3,anna.johnson,1770.8,813.73,9.9
12.226,"$106,407",118.24,"$5,712,269",674.18,99.2643,630.4,5.48,34.9,E85888471,Hardware,127.0256,9039,postgresql://user:****@db-staging.internal:5432/main,8c3dd5463fbd77771940178c94c3fced41e892ffe3b0ccb98bedc9e6b1230a14,4186357387284,sig_051f47c176fafddf,55.7,96.1526,12288,90909.9,7.37,Electronics,99.3345,73607.7,10.51,9387.28,76.3,https://acme.org/status,25.88,AB-,INV-234119,3608.91,0311,6132662062911,JRU-8750,SmartChoice,768822,Hardware,ValueError: invalid literal for int(),7451.15,Married,8066.8,"$905,232,889",linda.rodriguez@yahoo.com,42.6,susan.lee,80.9,537.98,43.7
12.623,"$43,678",3.71,"$7,262,172",511.13,95.1662,486.28,5.28,22.7,Z83833571,Hardware,87.6116,9311,postgresql://user:****@db-prod.internal:5432/analytics,4fe483d0c8dd78ee216499054643b113c859add748bbb629b80e3eff7f6bb0a0,3131908566975,sig_4a91d22a7cfbd4a9,15.2,96.9402,75680,10560.5,1.48,Clothing,98.3015,54717.4,182.0,4685.57,17.7,https://data.io/status/status/users,294.61,AB-,INV-399407,3885.33,7731,9645380778695,ZEH-9601,ValueMax,839124,Food,Connection timeout after 2867ms,6564.39,Single,1666.8,"$347,303,181",linda.thompson@outlook.com,166.4,patricia.jones,830.8,706.79,43.7
11.579,"$207,129",27.69,"$2,992,268",189.43,97.8796,100.47,8.48,13.4,C59995278,Hardware,128.4726,1960,postgresql://user:****@db-prod.internal:5432/main,6b53edef1995bfc0968bd847df0a5c8d1b2f7a6327a88ea8c4d81caf0919d123,3820970078289,sig_ff503000a7b586eb,1.7,98.8844,76670,56535.5,7.2,Food,95.6424,96611.3,172.92,5860.23,4.6,https://example.com/data/api/docs,757.67,O-,INV-635014,2056.21,550,3057183876280,OWF-3145,ProSeries,732928,Services,NullPointerException at line 7444,4942.04,Divorced,5635.6,"$641,639,474",jennifer.lee@outlook.com,73.4,amy.martinez,1870.6,747.63,79.6
4.415,"$238,114",15.43,"$6,827,500",779.57,97.9351,247.24,6.39,9.5,Y58529052,Electronics,120.7493,6596,postgresql://user:****@db-staging.internal:5432/analytics,b62a05fcb3e7e4b1cc6836896fbe2802523dd9ff5c907123769ebf719ad6c3aa,1326206991607,sig_1d41a1a01057c69b,89.9,96.1243,57094,84249.7,4.19,Software,99.6385,50539.0,586.36,1944.94,3.3,https://data.io/docs,404.98,B+,INV-890704,5313.14,032,2676805680770,BXD-5720,EcoLine,932576,Software,PermissionDenied: insufficient privileges,5865.33,Single,1906.6,"$330,452,704",james.robinson@gmail.com,257.3,amy.lewis,229.3,87.73,27.8
0.657,"$42,792",51.27,"$808,524",896.07,96.9341,698.34,10.0,62.6,I62567774,Food,113.225,435,postgresql://user:****@db-prod.internal:5432/analytics,421ddf54cfb7681288b35ae3904c7f84de9f7427c7b6c0d6a6ba1a5f463d4735,6224596296974,sig_94a4da51bede42ba,89.3,99.8609,56005,69562.9,2.44,Hardware,98.7515,94573.7,800.6,2772.81,83.1,https://data.io/v2,44.55,AB+,INV-739478,3098.83,445,9125216353112,PHL-1651,ProSeries,910882,Software,ValueError: invalid literal for int(),8778.85,Single,2874.1,"$416,480,383",sarah.white@yahoo.com,52.0,elizabeth.walker,912.4,117.54,93.2
18.085,"$77,913",69.14,"$8,545,368",503.18,96.2605,771.34,8.21,73.9,E98818309,Services,102.2118,475,postgresql://user:****@db-prod.internal:5432/analytics,2666823a7244bef1ccaa64e1670d12ee14ea0ee6df668fe6ad3d0c33a0c5467f,4226464968670,sig_c14fca6b51b2f422,48.6,95.32,65578,82015.1,2.35,Electronics,97.4122,9551.1,351.27,4543.6,25.9,https://acme.org/status/docs,1.81,B+,INV-842769,8485.91,4165,7867880773011,KBA-6627,EcoLine,534179,Software,NullPointerException at line 6353,9436.52,Single,60.8,"$424,219,011",lucas.clark@yahoo.com,120.9,mary.miller,1537.7,266.53,29.5
4.306,"$243,780",158.64,"$6,978,722",210.86,97.2684,30.85,6.08,93.4,B95980281,Hardware,144.2837,7614,postgresql://user:****@db-staging.internal:5432/main,7b1a4166b4a5657a1ee24775c5a0be54b8adeae214846b5982d57a86bc4f87bc,3526966155036,sig_7fba53d2c170951b,71.4,98.9326,3748,71010.2,0.23,Software,95.6696,36826.0,437.53,2920.64,98.5,https://api.service.com/api,642.84,A+,INV-908270,4437.37,398,2802940356043,HUI-3796,EcoLine,515728,Clothing,NullPointerException at line 1667,6257.04,Widowed,3020.1,"$759,148,240",linda.moore@yahoo.com,126.2,robert.king,1568.8,225.71,5.0
5.865,"$217,162",347.99,"$6,445,140",901.2,97.2061,161.12,8.73,90.3,R11820338,Services,41.5741,4174,postgresql://user:****@db-staging.internal:5432/analytics,ea6d796746aefdabf5233e6d4199e9360c2bace914fea9bb959f7d9dd11d492b,2885519743775,sig_4a5dcb46f232523e,28.7,96.1361,17444,6183.7,3.01,Clothing,97.6394,96899.5,29.83,4957.61,81.7,https://data.io/v2/docs,375.36,B+,INV-611760,828.99,416,0132265328596,WZP-8103,ProSeries,555303,Clothing,Connection timeout after 244ms,9328.52,Divorced,7707.5,"$513,065,161",anna.jackson@gmail.com,259.0,ethan.king,224.2,564.04,78.6
3.565,"$206,338",165.05,"$4,267,205",369.47,95.659,77.84,1.22,34.1,R42506510,Hardware,139.9333,5428,postgresql://user:****@db-staging.internal:5432/analytics,a45667f96938d4463b76318e7bd46afa8bbae892097e870517596724a407d71d,1091880132961,sig_2c18fdc48776784a,67.4,95.1601,3636,57261.2,9.54,Food,95.1895,5396.8,13.6,131.56,31.0,https://example.com/users/data/v2,0.45,O-,INV-675404,7605.08,8367,1507040279829,XHC-1091,SmartChoice,452687,Clothing,Connection timeout after 103ms,1015.47,Single,2457.0,"$900,404,314",michael.thomas@outlook.com,159.8,mason.thompson,1103.0,317.58,47.7
0.116,"$133,339",138.99,"$1,226,290",194.73,98.5629,90.41,5.36,50.6,R83507632,Clothing,42.4639,9900,postgresql://user:****@db-staging.internal:5432/main,66c6ec31da7430de854fb0dc113e4c97850899d2bf13204aca4fe183a7e805e8,7165656463581,sig_fe4bfd876024469b,22.3,98.1939,5304,32051.3,9.77,Hardware,98.7253,12819.2,567.03,1827.23,45.7,https://acme.org/status/api,255.39,A+,INV-712663,3933.79,384,9133044081530,ZLF-1802,SmartChoice,975627,Hardware,PermissionDenied: insufficient privileges,8655.51,Widowed,879.4,"$941,681,727",susan.davis@yahoo.com,197.9,aiden.martin,1581.1,681.3,86.8
13.198,"$165,367",314.97,"$8,083,495",47.68,95.9737,255.55,6.75,79.3,K75076757,Services,99.4328,4643,postgresql://user:****@db-prod.internal:5432/main,c3de8dd397083ba85da16c38bf3eea5ffded19ae9a375ede87dcbcad083e5a9e,0235721609932,sig_1bb36877d660ea2a,64.7,99.0067,51859,3847.1,1.52,Hardware,97.9514,70100.4,371.86,7900.61,74.0,https://acme.org/users/v2,917.36,A-,INV-355080,1824.99,9626,5156719472423,MOY-5963,EcoLine,908196,Software,FileNotFoundError: 1139,7655.82,Single,8033.8,"$912,436,878",mary.johnson@outlook.com,175.3,harper.robinson,467.1,86.71,12.3
4.777,"$161,342",191.98,"$3,679,739",752.48,95.5449,34.0,1.06,4.3,V81615937,Food,129.8357,757,postgresql://user:****@db-staging.internal:5432/main,65780a1ceab8ccad1ed4f94762c86aa2e9f3190c9b00d121aca807dbbb4fd20f,3441780353960,sig_8043e5716191125e,40.0,95.4447,31224,4662.9,3.95,Food,95.7331,77718.9,6.16,7936.78,73.2,https://example.com/docs/users/data,992.03,AB+,INV-110600,1000.81,544,4551395317706,GAD-2940,SmartChoice,885051,Clothing,FileNotFoundError: 9348,8794.91,Widowed,3173.4,"$771,088,885",william.martin@gmail.com,213.5,susan.robinson,1027.4,568.83,38.4
18.157,"$178,414",134.52,"$9,783,965",759.93,97.2473,277.46,8.04,5.9,C77905136,Clothing,131.6648,4237,postgresql://user:****@db-staging.internal:5432/main,61358a89c0586cac3a9778af54e87f91bb859dbe4c1908796a308084a69efa31,3658169195332,sig_a30b4200ffa62ca2,57.2,97.1485,2526,19834.2,4.94,Food,96.3456,84244.3,880.53,692.09,62.8,https://data.io/api,491.88,AB-,INV-758738,5517.67,3602,4964725219156,SWF-5450,EcoLine,978246,Food,ValueError: invalid literal for int(),854.76,Single,3319.2,"$967,470,489",anna.jones@gmail.com,141.4,sophia.davis,1504.8,814.69,55.7
