col_full,c_lati,village,mapping,continent_38,kdje27,place,dock,landmark_poi,TIME_ZONE,dateval,dim_timestamp,p_739,col_mok,dim_location_text,elevation_altitude_14,source_system_raw,nullableFlag,iso_country_code,port_harbor_46,fact_etl_batch_id,iata_cd,user_cpu_usage,var_184,ADDRESS_LINE,airport,airfield,landmarkPoi,longitude,title_22,col_oz,encoding,addrline,x_dwbg,district_borough_info,location_text_38,time_of_day,col_cusi,geographic_coordinates_v2,location_text_v2,end_date,v_537,fact_city_town
Noah Brown,51.772737,New York,field_a -> output,Europe,DE,"New York, Norway",Hamburg,Golden Gate Bridge,Europe/London,2024-03-03,2021-05-01 13:13:10,Busan,4067 Elm St,"Tokyo, United Kingdom",5464,Salesforce,true,BR,Hamburg,batch-20190421-55,VOP,77.9,JP,5315 Maple Dr,NRT,ORD,Golden Gate Bridge,-179.401593,Annual Review 2024,PST,UTF-8,5720 Oak Ave,2000,South Bay,"Phoenix, Spain",08:10:58,EJ0F79AB1,"-65.931724, -65.914132","San Francisco, Japan",2022-02-05,176.619109,Miami
Amy Lewis,-24.517365,London,source_col -> field_b,Oceania,AU,"Atlanta, Norway",Rotterdam,Big Ben,EST,2018-11-16,2025-09-03T19:35:37Z,Busan,8528 Maple Dr,"Seattle, Norway",8593,Salesforce,true,AU,Port of LA,batch-20191224-94,CCN,12.5,JP,9802 Pine Rd,SFO,SIN,Golden Gate Bridge,-63.016545,Quarterly Summary 2023,JST,ASCII,6125 Park Blvd,2017,East Side,"Chicago, Brazil",01:21:56,EDK3893NA,"-61.71989, 70.070742","Berlin, Germany",2022-02-16,-100.932082,Sydney
James Jackson,-35.768426,Dallas,field_a -> target_col,Asia,IN,"Austin, United Kingdom",Rotterdam,Statue of Liberty,PST,2022-05-27,2022-04-23 09:35:32,Shanghai,9041 Park Blvd,"Portland, Italy",3067,PostgreSQL,NO,CA,Port of LA,batch-20201110-04,ABP,45.9,US,1284 Park Blvd,SFO,NRT,Central Park,118.31304,Quarterly Review 2025,PST,Latin-1,305 Cedar Ln,1998,Downtown,"New York, Brazil",16:32:21,I6S1RCF6I,"27.505066, -166.58088","San Francisco, Mexico",2018-12-25,-60.564076,Austin
Aiden Taylor,-58.485492,Atlanta,field_a -> target_col,Oceania,GB,"Seattle, Italy",Busan,Eiffel Tower,UTC,2024-06-07,2019-01-18 03:14:50,Port of LA,5196 Elm St,"Los Angeles, United States",5526,Snowflake,true,US,Port of LA,batch-20190110-70,RTC,65.8,IN,6417 Maple Dr,JFK,CDG,Eiffel Tower,72.260119,Annual Summary 2022,JST,ASCII,2471 Oak Ave,2016,Downtown,"London, Switzerland",06:45:03,OXVS48MHD,"48.549906, 99.319531","Portland, Israel",2026-07-15,-167.99638,Paris
Noah Clark,80.078775,Tokyo,input -> field_b,Africa,MX,"Los Angeles, South Korea",Hamburg,Central Park,Europe/London,2023-11-09,2019-09-17T14:56:58Z,Singapore,5391 Park Blvd,"Phoenix, India",4377,Workday,false,DE,Busan,batch-20260223-79,IPC,61.8,MX,4254 Maple Dr,SIN,SIN,Golden Gate Bridge,-155.956401,Annual Review 2021,EST,ASCII,1342 Maple Dr,2025,South Bay,"Phoenix, United States",20:17:02,B76HY1W1G,"-81.115189, -89.886626","Chicago, Singapore",2022-09-30,-148.85732,Dallas
Liam Williams,-46.90998,Sydney,field_a -> field_b,Oceania,AU,"Chicago, United States",Hamburg,Statue of Liberty,Europe/London,2019-09-18,2025-12-11T09:05:14Z,Shanghai,2034 Maple Dr,"Chicago, Canada",5510,Snowflake,NO,JP,Hamburg,batch-20230418-82,OJV,83.7,GB,2001 Maple Dr,SFO,LHR,Statue of Liberty,16.356927,Quarterly Analysis 2020,UTC,UTF-16,314 Pine Rd,1999,North Shore,"Sydney, Norway",17:34:42,H3EIH6AMC,"-38.48544, 155.635973","London, India",2025-10-14,-84.928556,New York
Liam Martin,-0.664152,London,field_a -> field_b,North America,DE,"Los Angeles, United States",Rotterdam,Golden Gate Bridge,Europe/London,2021-07-05,2026-06-23T09:10:56Z,Rotterdam,6017 Pine Rd,"Portland, Germany",8117,Workday,true,DE,Port of LA,batch-20190413-51,BTL,32.5,IN,8087 Maple Dr,CDG,NRT,Big Ben,48.638552,Executive Summary 2025,JST,UTF-8,1946 Main St,1992,Midtown,"Paris, Switzerland",17:16:06,F77H73L9W,"35.848777, 39.146976","Portland, United States",2023-12-07,-104.335785,Sydney
Olivia King,22.731273,Boston,field_a -> output,Asia,CA,"London, Australia",Hamburg,Statue of Liberty,Europe/London,2025-07-24,2026-01-06T05:59:39Z,Singapore,276 Park Blvd,"Chicago, Mexico",3162,Kafka,false,DE,Port of LA,batch-20210507-78,PXV,16.7,JP,51 Pine Rd,ORD,LAX,Statue of Liberty,14.160394,Annual Summary 2025,EST,ISO-8859-1,4869 Pine Rd,1993,Midtown,"Berlin, Netherlands",01:58:40,RF262905J,"-19.205828, 68.571798","Miami, Australia",2024-04-09,-172.886218,Miami
Mary Thomas,77.063188,Houston,source_col -> field_b,Europe,AU,"Boston, South Korea",Busan,Eiffel Tower,CET,2023-12-09,2024-01-04T14:46:07Z,Shanghai,9053 Maple Dr,"Tokyo, Mexico",4251,PostgreSQL,YES,AU,Singapore,batch-20260621-50,XWN,81.9,JP,8173 Elm St,JFK,SFO,Golden Gate Bridge,19.442282,Annual Review 2026,JST,ASCII,8755 Maple Dr,2006,Downtown,"Toronto, Singapore",04:00:54,TUEMLN36P,"58.680218, -174.751889","Sydney, Netherlands",2023-09-06,103.718626,Berlin
Jessica Q. Wright,-3.78918,Dallas,field_a -> output,Oceania,US,"Austin, India",Rotterdam,Golden Gate Bridge,CET,2023-08-19,2026-08-25T00:50:36Z,Rotterdam,6521 Elm St,"Toronto, Brazil",-9,PostgreSQL,NO,MX,Singapore,batch-20190102-32,NVL,0.6,BR,5877 Park Blvd,LHR,NRT,Big Ben,-103.847662,Quarterly Analysis 2025,UTC,ISO-8859-1,4213 Oak Ave,2022,North Shore,"Berlin, Spain",09:14:18,8WEL14DUE,"-19.768362, 165.118042","London, India",2026-06-07,-125.684422,Miami
Elizabeth Thompson,9.100888,Miami,source_col -> target_col,Oceania,DE,"Denver, Israel",Rotterdam,Statue of Liberty,CET,2024-01-25,2024-01-24 16:51:34,Rotterdam,9650 Cedar Ln,"Houston, Singapore",3404,Snowflake,YES,AU,Hamburg,batch-20220427-43,QSP,79.4,MX,1355 Pine Rd,JFK,LHR,Golden Gate Bridge,-45.289395,Technical Analysis 2026,JST,UTF-8,4223 Park Blvd,2006,Downtown,"London, Japan",23:48:05,LQESM1W8I,"-7.054086, 53.349801","Miami, Brazil",2020-04-14,-41.043682,Phoenix
Elizabeth Brown,36.675488,Houston,source_col -> target_col,Oceania,BR,"Los Angeles, Norway",Shanghai,Statue of Liberty,UTC,2023-11-26,2023-06-14 07:12:36,Singapore,9220 Main St,"Chicago, Canada",4465,SAP,YES,FR,Shanghai,batch-20251227-84,IXM,42.3,JP,6500 Park Blvd,LHR,NRT,Eiffel Tower,-81.57406,Annual Review 2021,JST,UTF-8,4601 Pine Rd,2008,Downtown,"Boston, Switzerland",23:53:43,4SL55F5LI,"55.873977, -117.048589","Toronto, Sweden",2024-12-13,126.356678,San Francisco
Patricia Harris,26.936651,Boston,input -> field_b,Africa,AU,"Toronto, Japan",Shanghai,Eiffel Tower,America/New_York,2025-02-04,2024-08-19 06:50:07,Busan,758 Maple Dr,"London, Italy",5559,Kafka,YES,AU,Port of LA,batch-20260114-38,MZS,30.2,CA,4901 Pine Rd,LHR,LHR,Eiffel Tower,44.055644,Executive Analysis 2023,EST,UTF-16,8954 Main St,2020,Downtown,"Houston, Netherlands",11:04:14,HE9U3AVMA,"67.43889, 102.45015","Phoenix, Singapore",2023-09-03,-149.206149,San Francisco
Liam Thompson,85.545319,Sydney,source_col -> output,Europe,GB,"Los Angeles, South Korea",Port of LA,Golden Gate Bridge,America/New_York,2018-04-22,2026-03-03T01:46:26Z,Busan,3520 Cedar Ln,"Sydney, South Korea",3518,PostgreSQL,YES,IN,Rotterdam,batch-20230909-08,ISM,95.1,DE,7233 Elm St,LAX,NRT,Central Park,172.574922,Executive Analysis 2025,America/New_York,ISO-8859-1,8698 Main St,2012,Downtown,"Los Angeles, France",17:09:34,0602R5J5T,"-70.961728, -94.535462","Seattle, Brazil",2021-03-14,168.955837,Houston
Oliver N. King,7.921761,London,field_a -> output,North America,DE,"Los Angeles, Sweden",Hamburg,Big Ben,Europe/London,2022-11-29,2023-11-25 06:08:53,Shanghai,254 Elm St,"Paris, Brazil",7096,Kafka,NO,CA,Singapore,batch-20200929-74,JYQ,46.3,US,6304 Maple Dr,JFK,SFO,Statue of Liberty,55.206515,Quarterly Review 2021,America/New_York,ASCII,1507 Main St,2017,East Side,"Chicago, India",10:18:50,D919R84TG,"51.902044, 144.583128","Dallas, Norway",2026-05-12,-63.498815,Berlin
Elizabeth Davis,54.099848,Portland,field_a -> target_col,Oceania,JP,"Phoenix, United Kingdom",Shanghai,Eiffel Tower,PST,2022-04-12,2018-02-23 13:42:00,Singapore,9943 Main St,"Phoenix, Australia",3211,Snowflake,NO,DE,Hamburg,batch-20251219-89,PSM,1.3,BR,7724 Pine Rd,SFO,CDG,Eiffel Tower,49.705623,Executive Review 2025,EST,ASCII,6221 Park Blvd,2002,Downtown,"Austin, United Kingdom",00:36:43,XRFQ25F25,"22.773883, -101.313751","Miami, Japan",2024-06-17,17.417328,Miami
David A. King,29.241815,Atlanta,input -> output,Europe,MX,"Sydney, Australia",Shanghai,Golden Gate Bridge,PST,2022-11-01,2026-11-12T10:07:28Z,Hamburg,2186 Cedar Ln,"Seattle, India",8621,Kafka,true,BR,Busan,batch-20211031-11,MYA,24.4,MX,2352 Elm St,SFO,JFK,Golden Gate Bridge,146.191012,Technical Summary 2022,UTC,ISO-8859-1,8528 Park Blvd,2015,South Bay,"San Francisco, Mexico",17:25:33,TYTQLU6WV,"-33.958195, 30.106774","Phoenix, Germany",2023-05-13,13.169084,Toronto
Susan Robinson,-22.947399,Miami,source_col -> output,Antarctica,FR,"Sydney, Israel",Shanghai,Big Ben,CET,2020-08-10,2020-05-21T00:27:26Z,Shanghai,7905 Park Blvd,"Sydney, United Kingdom",3097,SAP,YES,DE,Hamburg,batch-20200522-07,MLL,81.9,JP,3052 Cedar Ln,SIN,NRT,Central Park,8.854967,Executive Review 2023,EST,ASCII,319 Main St,2005,Downtown,"Paris, Australia",19:29:48,JAPHGHTFG,"14.180909, -145.984711","New York, Australia",2026-02-01,-9.533872,Chicago
Richard T. Rodriguez,-12.645161,Houston,source_col -> target_col,Africa,AU,"New York, Netherlands",Shanghai,Golden Gate Bridge,UTC,2019-01-30,2026-11-16 00:18:10,Rotterdam,1478 Elm St,"Atlanta, Norway",1716,Salesforce,YES,GB,Rotterdam,batch-20221006-16,HGB,29.0,FR,7378 Oak Ave,LAX,ORD,Statue of Liberty,-72.595647,Annual Summary 2021,Europe/London,UTF-16,6096 Maple Dr,2019,East Side,"San Francisco, Germany",11:30:03,6UZUYKZH0,"-47.356318, -13.63135","Denver, United Kingdom",2019-08-02,107.597726,Portland
Mason Moore,-61.20685,Austin,source_col -> field_b,Antarctica,GB,"Atlanta, Mexico",Hamburg,Statue of Liberty,EST,2020-11-11,2021-03-13 15:26:11,Port of LA,710 Maple Dr,"Sydney, Italy",7675,PostgreSQL,true,DE,Singapore,batch-20231106-71,HDE,68.1,BR,4879 Maple Dr,CDG,NRT,Big Ben,165.52581,Quarterly Report 2024,Europe/London,UTF-8,5916 Main St,2008,South Bay,"Tokyo, India",23:54:38,WLQ060T2X,"-34.440307, -126.969267","Paris, Germany",2018-10-18,-88.567328,Paris
Emma O. Thomas,71.804557,Los Angeles,field_a -> field_b,North America,JP,"Paris, Germany",Singapore,Golden Gate Bridge,PST,2026-11-17,2022-02-12T14:00:40Z,Busan,3173 Maple Dr,"New York, Norway",8618,Kafka,YES,CA,Busan,batch-20241208-53,TXE,64.6,CA,4936 Cedar Ln,LAX,SIN,Central Park,-96.128212,Annual Analysis 2021,CET,ASCII,1299 Park Blvd,2020,West End,"Seattle, Brazil",22:18:18,Z41ESEXUY,"-70.243351, -148.222624","New York, Singapore",2023-01-20,-143.398303,Miami
Linda K. Williams,-6.194194,Seattle,input -> field_b,Oceania,JP,"Atlanta, Italy",Rotterdam,Big Ben,Europe/London,2025-06-20,2026-09-24 04:52:55,Singapore,7765 Oak Ave,"Denver, Germany",4559,Snowflake,true,FR,Shanghai,batch-20201113-71,RXT,33.3,DE,4152 Elm St,SIN,CDG,Golden Gate Bridge,-140.373019,Technical Review 2020,PST,UTF-8,9704 Pine Rd,2008,Midtown,"Tokyo, Israel",07:39:18,TRQ527IEG,"-67.875681, 14.642077","Tokyo, Italy",2020-06-25,-132.296617,Berlin
Oliver Y. Jones,-77.473333,Paris,source_col -> field_b,Africa,DE,"Sydney, Spain",Shanghai,Golden Gate Bridge,Europe/London,2021-08-23,2023-06-21 04:43:07,Singapore,1778 Elm St,"Sydney, Israel",5333,PostgreSQL,YES,BR,Port of LA,batch-20260523-21,GFU,20.5,GB,3303 Pine Rd,SFO,ORD,Big Ben,-2.281542,Quarterly Report 2020,CET,ISO-8859-1,5813 Park Blvd,2011,West End,"London, Italy",04:47:31,311CJHK2V,"-16.439997, -108.320741","Denver, Spain",2026-09-18,155.939038,Berlin
Aiden Clark,-37.983891,Los Angeles,source_col -> target_col,Asia,CA,"London, Japan",Hamburg,Central Park,CET,2024-01-31,2021-02-07 11:44:41,Port of LA,9413 Maple Dr,"Denver, Netherlands",3153,Salesforce,false,CA,Busan,batch-20261116-13,WBR,97.3,DE,9135 Elm St,JFK,JFK,Central Park,19.595718,Quarterly Report 2020,America/New_York,Latin-1,8729 Pine Rd,2010,North Shore,"Houston, South Korea",06:05:56,IGRKAPEZZ,"85.537449, 64.134035","Sydney, Australia",2026-04-02,-136.704726,Chicago
Anna Thompson,-12.741972,Paris,field_a -> output,Asia,FR,"Paris, Norway",Port of LA,Golden Gate Bridge,JST,2021-12-22,2019-08-12T02:57:10Z,Busan,2866 Main St,"Atlanta, Japan",2217,Snowflake,YES,BR,Port of LA,batch-20220806-87,OBT,39.9,MX,4023 Maple Dr,SFO,JFK,Eiffel Tower,173.12531,Executive Summary 2023,JST,UTF-8,9649 Pine Rd,2018,West End,"Houston, United Kingdom",22:28:02,Q0XX4172X,"7.99227, 81.277938","Phoenix, United Kingdom",2026-04-27,61.942859,New York
Harper X. Young,49.029016,Boston,input -> field_b,Oceania,MX,"Atlanta, Norway",Singapore,Golden Gate Bridge,America/New_York,2026-07-08,2021-03-10 13:04:02,Rotterdam,6917 Cedar Ln,"San Francisco, South Korea",7459,PostgreSQL,false,AU,Rotterdam,batch-20180201-51,IQM,55.3,MX,935 Maple Dr,SIN,JFK,Big Ben,101.830367,Annual Report 2022,Europe/London,Latin-1,6083 Park Blvd,1999,Midtown,"Seattle, Australia",00:06:12,CM3XY7UN9,"-13.618255, 61.668726","Toronto, South Korea",2022-04-19,172.15203,Los Angeles
Emma White,-20.787148,Portland,source_col -> field_b,North America,BR,"Houston, Canada",Port of LA,Statue of Liberty,America/New_York,2020-03-13,2023-08-22T21:40:18Z,Singapore,321 Elm St,"Phoenix, Israel",5324,SAP,false,FR,Rotterdam,batch-20251130-76,AFF,27.2,JP,3519 Elm St,LAX,SFO,Statue of Liberty,27.16078,Annual Report 2020,PST,UTF-16,9556 Park Blvd,2004,Midtown,"Phoenix, United States",10:34:02,DDL54EKHB,"-43.123494, -41.997521","London, France",2019-03-14,176.621196,Sydney
David Wright,-82.305514,Houston,source_col -> field_b,Antarctica,GB,"Seattle, United Kingdom",Shanghai,Golden Gate Bridge,America/New_York,2018-04-24,2024-11-26 03:51:09,Busan,6973 Elm St,"Denver, India",6145,PostgreSQL,true,MX,Singapore,batch-20201027-10,VZQ,6.3,MX,8676 Maple Dr,CDG,JFK,Central Park,-47.760549,Quarterly Report 2021,PST,ISO-8859-1,8 Oak Ave,1992,West End,"Portland, Japan",06:54:16,3ZB1XRUE3,"-64.578606, 35.884766","Tokyo, Netherlands",2024-10-01,119.413085,San Francisco
Amy Robinson,43.892708,Portland,input -> field_b,Africa,JP,"Austin, Israel",Shanghai,Big Ben,Europe/London,2024-10-27,2019-01-19 18:01:47,Busan,6707 Maple Dr,"New York, Switzerland",4660,Snowflake,false,FR,Shanghai,batch-20241212-16,UGW,82.9,FR,204 Pine Rd,LHR,LAX,Golden Gate Bridge,21.584715,Annual Report 2022,JST,UTF-16,3509 Maple Dr,2002,South Bay,"Los Angeles, Japan",22:20:03,Z3KMLW09G,"-88.439058, 107.230808","Houston, United Kingdom",2026-06-04,138.529035,Portland
Mason Brown,-36.183799,Tokyo,source_col -> field_b,South America,AU,"Tokyo, Germany",Singapore,Big Ben,JST,2025-12-24,2025-05-01 08:22:42,Hamburg,6518 Elm St,"Dallas, France",5316,PostgreSQL,true,GB,Hamburg,batch-20210209-96,CUY,17.9,AU,848 Oak Ave,CDG,SIN,Statue of Liberty,144.608724,Quarterly Summary 2025,PST,UTF-16,3699 Maple Dr,2017,East Side,"Seattle, Netherlands",15:49:06,BTLE54QGL,"49.380317, 1.957844","Toronto, Netherlands",2020-07-21,-4.312261,Austin
Harper Robinson,-82.558566,Chicago,source_col -> field_b,Antarctica,CA,"Tokyo, Australia",Busan,Big Ben,Europe/London,2026-09-13,2026-06-24 23:23:17,Port of LA,2087 Pine Rd,"Atlanta, Mexico",1152,Snowflake,YES,FR,Shanghai,batch-20260726-85,LSH,39.1,BR,6633 Cedar Ln,JFK,SIN,Big Ben,109.405274,Executive Review 2022,CET,UTF-8,4996 Main St,2023,Midtown,"Austin, Netherlands",20:54:03,2QITO69SV,"-39.592138, 80.45507","New York, Brazil",2025-07-11,165.138332,Sydney
William Jackson,77.904244,Houston,field_a -> field_b,Oceania,US,"Phoenix, South Korea",Rotterdam,Statue of Liberty,CET,2019-05-23,2025-10-05 15:02:26,Busan,876 Cedar Ln,"Miami, United Kingdom",2634,PostgreSQL,true,BR,Rotterdam,batch-20220125-77,KNP,29.4,JP,389 Maple Dr,CDG,LHR,Central Park,31.34891,Executive Review 2025,EST,ISO-8859-1,7002 Cedar Ln,2014,Midtown,"Berlin, Spain",07:10:47,POMLB520Z,"-64.98702, -3.027825","Austin, South Korea",2024-12-22,154.558646,Austin
John Davis,-48.408807,Los Angeles,field_a -> output,North America,AU,"Chicago, Israel",Singapore,Central Park,PST,2022-02-05,2020-04-11T15:08:45Z,Hamburg,9248 Oak Ave,"Atlanta, Japan",8214,Kafka,false,DE,Hamburg,batch-20180127-90,YDK,68.4,FR,3364 Main St,SIN,JFK,Statue of Liberty,171.166887,Quarterly Summary 2026,CET,UTF-8,5889 Elm St,1996,Midtown,"Austin, Canada",12:27:59,CXBBPA3D6,"77.251043, -32.653564","Austin, United States",2018-08-11,23.070532,Los Angeles
James Martin,-89.013606,Berlin,input -> field_b,Europe,MX,"Miami, Brazil",Rotterdam,Big Ben,PST,2018-12-19,2023-04-10T04:48:08Z,Port of LA,5961 Elm St,"Chicago, Mexico",6802,PostgreSQL,true,US,Busan,batch-20260724-37,RSF,14.2,CA,6157 Pine Rd,LAX,LHR,Central Park,-25.002307,Quarterly Analysis 2023,UTC,Latin-1,3422 Pine Rd,2014,East Side,"Dallas, United Kingdom",13:11:59,KPF7NP30S,"-17.049907, 139.241734","Denver, Sweden",2021-12-16,-108.989037,New York
Harper Johnson,-67.156044,Berlin,field_a -> target_col,North America,JP,"Seattle, Singapore",Port of LA,Golden Gate Bridge,UTC,2018-04-30,2018-07-18T09:39:05Z,Port of LA,1940 Main St,"Atlanta, United States",3966,SAP,false,CA,Shanghai,batch-20180720-47,GLI,35.9,IN,9130 Park Blvd,JFK,LHR,Big Ben,45.416828,Annual Review 2022,UTC,UTF-8,6929 Cedar Ln,2013,North Shore,"Atlanta, India",03:03:12,RC0NJC1Q0,"-30.392071, 44.527426","Atlanta, Singapore",2025-09-09,131.667607,Chicago
Harper Garcia,-80.133408,Toronto,source_col -> target_col,South America,AU,"Chicago, Netherlands",Busan,Golden Gate Bridge,America/New_York,2018-05-25,2024-07-15T00:07:20Z,Singapore,1606 Oak Ave,"Austin, Australia",2421,Kafka,true,AU,Singapore,batch-20230205-74,DXX,85.1,JP,8636 Main St,NRT,SFO,Statue of Liberty,75.087512,Technical Analysis 2026,America/New_York,Latin-1,4727 Cedar Ln,2004,South Bay,"Los Angeles, United Kingdom",17:50:30,KG2KMX9YZ,"-1.115187, -139.034255","San Francisco, South Korea",2026-01-11,-137.997494,New York
Harper Brown,-19.640511,San Francisco,field_a -> target_col,Oceania,GB,"Atlanta, Norway",Shanghai,Big Ben,PST,2021-03-08,2018-03-15T10:49:55Z,Rotterdam,9292 Maple Dr,"Los Angeles, Australia",6111,SAP,NO,DE,Busan,batch-20210523-32,RCI,93.1,GB,7741 Maple Dr,LHR,JFK,Statue of Liberty,138.370936,Annual Review 2025,EST,UTF-8,3397 Cedar Ln,2023,Midtown,"San Francisco, Canada",09:12:44,2LRTRRDP5,"89.179037, 6.846601","Miami, South Korea",2020-12-27,102.701177,Chicago
Robert Rodriguez,-54.196625,Berlin,input -> field_b,Antarctica,JP,"London, Spain",Singapore,Statue of Liberty,EST,2024-04-03,2020-02-23 03:45:45,Shanghai,1318 Main St,"New York, Mexico",4518,Kafka,YES,AU,Busan,batch-20250322-31,PHI,70.5,DE,51 Maple Dr,CDG,CDG,Eiffel Tower,41.128326,Executive Summary 2022,JST,ASCII,6577 Park Blvd,1999,West End,"Toronto, Canada",14:52:13,OG8IEQ3NN,"-35.910389, 120.312934","Houston, Mexico",2022-03-30,24.532111,Los Angeles
Sophia Lee,59.019462,Dallas,source_col -> field_b,Oceania,DE,"Austin, United Kingdom",Shanghai,Golden Gate Bridge,EST,2025-11-15,2026-03-19 13:46:13,Singapore,2257 Cedar Ln,"Austin, Japan",166,Kafka,false,GB,Busan,batch-20190601-29,QWF,78.7,AU,7311 Maple Dr,JFK,SFO,Eiffel Tower,-8.263853,Annual Analysis 2026,JST,Latin-1,8133 Pine Rd,2003,Midtown,"Houston, Australia",20:31:15,PD4Q5SFL8,"-72.687393, -157.094495","San Francisco, Germany",2026-03-26,53.594876,London
David Martinez,51.165224,Denver,input -> output,South America,DE,"Denver, Italy",Port of LA,Statue of Liberty,America/New_York,2021-08-01,2022-03-19 09:37:08,Singapore,260 Cedar Ln,"Austin, South Korea",779,SAP,NO,BR,Busan,batch-20251005-97,DIR,16.7,BR,4867 Cedar Ln,SFO,SIN,Central Park,54.089572,Technical Summary 2026,JST,UTF-16,6473 Maple Dr,1992,East Side,"Austin, Norway",22:24:43,I26QVAKRH,"50.412529, -110.215279","Portland, Australia",2026-02-22,135.759248,Los Angeles
Mason W. Williams,73.809118,Portland,input -> output,North America,US,"San Francisco, Netherlands",Singapore,Statue of Liberty,UTC,2024-11-30,2025-01-02 06:16:50,Hamburg,9879 Maple Dr,"Atlanta, Spain",63,Workday,YES,BR,Singapore,batch-20181203-13,HLZ,52.6,GB,3140 Maple Dr,LAX,NRT,Statue of Liberty,149.440784,Technical Review 2025,America/New_York,ASCII,9377 Elm St,2001,Downtown,"Houston, Canada",22:31:54,WI6LW5543,"22.96823, -155.665345","Portland, Canada",2022-04-19,-171.13646,Boston
Mary I. Martin,12.973487,Dallas,source_col -> output,Antarctica,DE,"Seattle, United States",Port of LA,Eiffel Tower,UTC,2024-09-28,2021-06-19T21:36:17Z,Shanghai,7536 Cedar Ln,"Tokyo, Australia",7831,SAP,YES,DE,Rotterdam,batch-20211226-73,LBY,62.5,GB,7214 Cedar Ln,NRT,ORD,Big Ben,-29.241175,Executive Analysis 2023,UTC,ASCII,9258 Pine Rd,2003,West End,"Toronto, Germany",13:25:00,QXJ9DASVV,"-0.701323, 5.914579","Berlin, Germany",2021-01-24,20.869995,Portland
Noah Williams,57.098128,San Francisco,source_col -> target_col,Europe,BR,"Paris, France",Singapore,Golden Gate Bridge,America/New_York,2022-09-03,2020-10-18T22:58:42Z,Port of LA,8482 Pine Rd,"Chicago, Canada",7210,Snowflake,false,IN,Singapore,batch-20250322-45,JPV,26.2,GB,4171 Pine Rd,ORD,LAX,Eiffel Tower,151.634161,Executive Summary 2020,UTC,Latin-1,612 Elm St,2004,South Bay,"Dallas, Switzerland",15:53:24,4LI54VHMQ,"-17.39315, -78.695232","Miami, Sweden",2025-08-17,-6.090147,Toronto
David Lee,-45.194687,Atlanta,source_col -> target_col,South America,CA,"New York, Sweden",Singapore,Golden Gate Bridge,UTC,2026-11-15,2020-01-01T04:58:54Z,Busan,2579 Elm St,"Seattle, Germany",2443,Workday,true,GB,Shanghai,batch-20201229-07,AQX,24.7,BR,2101 Pine Rd,LAX,JFK,Golden Gate Bridge,-168.137972,Technical Review 2025,Europe/London,ASCII,4117 Maple Dr,2000,North Shore,"Los Angeles, Netherlands",13:04:21,TUM8L8T15,"-69.77994, 47.045734","Atlanta, United Kingdom",2019-01-11,-66.968024,Atlanta
Jessica Williams,-70.476055,Austin,field_a -> target_col,North America,IN,"Los Angeles, United Kingdom",Rotterdam,Statue of Liberty,JST,2019-06-21,2019-09-07 15:22:14,Shanghai,467 Pine Rd,"London, South Korea",3350,PostgreSQL,NO,AU,Hamburg,batch-20190606-45,UXX,24.1,IN,4760 Cedar Ln,SFO,LHR,Golden Gate Bridge,94.884607,Quarterly Analysis 2020,Europe/London,UTF-16,8819 Maple Dr,2007,North Shore,"Boston, United Kingdom",03:02:05,WAI9FHEMI,"24.320905, -127.692507","Chicago, France",2021-01-19,122.750369,Dallas
John Rodriguez,26.060808,Seattle,source_col -> output,South America,US,"Boston, Germany",Hamburg,Golden Gate Bridge,PST,2025-01-12,2023-06-23T09:10:56Z,Hamburg,5929 Elm St,"New York, Switzerland",3963,Salesforce,false,GB,Port of LA,batch-20200912-40,WXK,8.2,DE,9736 Pine Rd,CDG,SFO,Big Ben,-74.401796,Executive Summary 2020,JST,UTF-16,8292 Elm St,1996,East Side,"Sydney, Israel",02:23:27,9T1E8QWE5,"-76.019029, 74.531414","Tokyo, Germany",2022-03-31,29.575823,Miami
Logan J. Brown,-17.742663,London,source_col -> field_b,South America,MX,"Phoenix, United Kingdom",Port of LA,Statue of Liberty,JST,2025-10-22,2024-12-04T00:48:52Z,Port of LA,9390 Pine Rd,"Chicago, Israel",8007,Workday,true,MX,Singapore,batch-20190513-23,SSA,19.8,JP,7926 Park Blvd,CDG,SFO,Big Ben,-51.052351,Executive Review 2022,EST,UTF-16,5513 Elm St,2022,Midtown,"Los Angeles, India",01:36:05,4WW0QRD1V,"-63.275507, -8.789305","Portland, Australia",2021-08-27,69.659655,New York
Emily Johnson,37.616093,Toronto,input -> field_b,South America,DE,"Austin, South Korea",Singapore,Big Ben,CET,2025-03-13,2021-02-02T10:20:54Z,Hamburg,8894 Pine Rd,"Chicago, India",92,Workday,YES,DE,Singapore,batch-20210805-07,MSD,41.2,DE,5469 Park Blvd,JFK,NRT,Statue of Liberty,121.024451,Annual Analysis 2025,America/New_York,Latin-1,8179 Main St,2018,North Shore,"Chicago, Sweden",13:21:23,PKRVGMVLB,"65.204605, 52.876002","Boston, Mexico",2024-07-24,-64.372414,Portland
