continent,city,meta_185,yaie69,PORT_HARBOR,monument,area,address_line,wordemb,AIRPORT,fact_landmark_poi,airport,addressLine,isocc,timeZone,dim_region_state_province,meta_lrmt,landmark_poi_14,abstract,privileged,dim_legal_entity_identifier,API_SPECIFICATION,username_6,user_frequency,date,description_info,ceiling,landmark_poi_val,iso_3166,val_374,ADDRESS_LINE,dim_iso_country_code,TIME_ZONE,attr_addre,col_155,country_6,landmark_poi,landmarkPoi,KEYWORDS,eeaojj2,bcqj56,x_weigh,LANDMARK_POI,metro,partition_key_raw,timeToLive,port,dim_ee,var_541,landmark,xdcuk92,terminal,continent_2,attr_zquc,etlBatchId,suite,x_sjbk,country_info,suqs36,v_nt,var_aa,LATITUDE,val_count,location_text_6,col_latit,x_sq,modifiedby,yac46,dim_por,port_harbor_raw,src_address_line,location_text_val,building,trade_secret_field,continent_3,isin,region_state_province_6,operating_system,port_harbor,fact_month,c_698,GENDER,city_town,tz,weight_mass_field,GEOGRAPHIC_COORDINATES,c_lbts,stockTicker,nationality_raw,location_text,neighborhood,ljpe20,d_941,locationText,power,src_longitude,tbaa41,country,cityTown,haedjt13,psyrv83,longitude_14,latitude,sku,address_line_v2,longitude_raw,rank_rating_6,landmark_poi_22,SOURCE_SYSTEM,last_4,portHarbor,continent_4,downstream,landmark_poi_v2,raw_geographic_coordinates,latitude_2,var_481,district_borough_raw,release_note,soft_delete_flag_v2,attr_229,permlevel,src_continent,deleted_at,c_242,continent_14,PORT_HARBOR_2,diagnosis,continent_val,address_line_2,attr_coo,iso_country_cd,p_educa,city_2,loctxt,tz_2,venue,municipality,district_borough,x_cooki,fact_city_town,admin,iso_country_code_info,fact_time_zone,insert_time,nlygq86,longitude,iso_country_code,continent_5,city_town_14,val_por
Asia,Atlanta,"42.19043, 109.789107",Hispanic,Singapore,Golden Gate Bridge,"Austin, Japan",6693 Cedar Ln,"[-0.9498, 1.6019, 0.7757, 1.1109, 0.4073, -0.2763, 1.0228, 0.7802]",ORD,Golden Gate Bridge,LHR,2784 Main St,GB,America/New_York,FL,"Miami, Mexico",Big Ben,This paper presents an analysis for data classification.,HOLD-2024-837,3DDA4STOHLCHVG5O6ZZ7,GraphQL,anna_taylor911,5643.26,2019-06-15,The product manages compliance records.,max=6820,Statue of Liberty,IN,JFK,9551 Elm St,FR,EST,7950 Main St,2023-04-13T10:18:28Z,Italy,Big Ben,Statue of Liberty,"data, analytics, compliance, integration",61.678644,12865.2,99.49,Statue of Liberty,Boston,tenant=acme,26 days,Hamburg,70.418128,"62.314245, -145.3778",Golden Gate Bridge,2.17.22,Busan,Antarctica,Berlin,batch-20261014-76,4270 Cedar Ln,North America,Brazil,Electronics,San Francisco,"24.825329, -48.186608",-53.441698,Norway,"Portland, Germany",-9.501684,Rotterdam,oliver.thomas,London,Shanghai,Busan,5802 Park Blvd,"Atlanta, Singapore",Central Park,[CONFIDENTIAL] Formula #627,Europe,CZXAVXF1Z,WA,Linux,Singapore,June,GA,Female,Phoenix,Europe/London,584.39,"-51.642772, -14.24584",2020-07-07T17:26:15Z,NQY,Germany,"Paris, Singapore",South Bay,9668 Cedar Ln,Golden Gate Bridge,"Seattle, Sweden",10555.0,8.8438,South Bay,Brazil,Berlin,West End,"48.623815, -46.127649",-47.694675,"-24.111277, 74.346007",WKR-3798,7345 Maple Dr,-118.172889,54,Golden Gate Bridge,Workday,7676,Singapore,Europe,raw.users -> exports,Statue of Liberty,"-78.31774, 152.590466",-4.361056,"Los Angeles, Germany",North Shore,v1.1.19: Removed API.,false,Big Ben,Viewer,Asia,2024-09-05T12:09:22Z,Portland,South America,Singapore,Asthma,Oceania,8848 Main St,"-11.941433, -134.239656",DE,High School,New York,"Miami, South Korea",EST,"Paris, Canada",Dallas,North Shore,_ga=3650730925.5302923,Sydney,Admin,MX,PST,2021-03-08 08:15:31,703.3,-161.724468,AU,Africa,London,Shanghai
Europe,Sydney,"-5.855659, 167.813287",Asian,Port of LA,Statue of Liberty,"New York, Norway",4437 Maple Dr,"[0.5296, -0.5977, -1.1587, -0.9315, -0.8408, 1.0893, -0.5512, -0.4011]",LHR,Central Park,CDG,8073 Park Blvd,FR,EST,IL,"Dallas, Sweden",Eiffel Tower,This paper presents a novel approach for data classification.,HOLD-2022-103,GRZPOM2TT1Z3D59TS8XW,gRPC/protobuf,amy.miller103,8128.19,2019-03-26,This record manages compliance records.,warn=2594,Golden Gate Bridge,BR,LHR,1329 Main St,JP,UTC,5201 Oak Ave,2021-03-03T23:42:39Z,Israel,Golden Gate Bridge,Golden Gate Bridge,"data, automation, analytics, cloud",-51.139851,928.4,79.69,Golden Gate Bridge,San Francisco,region=us-east,110 days,Shanghai,81.205117,"-9.913782, 160.712208",Big Ben,4.8.88,Rotterdam,South America,Berlin,batch-20190506-87,483 Oak Ave,Asia,Germany,Clothing,Dallas,"67.000724, 44.153163",-83.499629,Australia,"San Francisco, Israel",-2.910386,Singapore,susan.harris,Boston,Rotterdam,Rotterdam,2649 Pine Rd,"Portland, Norway",Statue of Liberty,[CONFIDENTIAL] Formula #215,South America,BCBCX6VU4,MA,iOS,Hamburg,July,NC,Unisex,Phoenix,UTC,471.76,"-63.26922, 132.743961",2018-11-18 23:39:47,VE,Switzerland,"Portland, Japan",Downtown,2891 Cedar Ln,Golden Gate Bridge,"Sydney, Netherlands",3094.3,-32.972016,South Bay,Australia,San Francisco,North Shore,"-73.156549, 62.800479",158.7797,"-48.046018, -46.468886",MAU-8120,2076 Park Blvd,-150.977683,80,Statue of Liberty,Kafka,1863,Busan,South America,raw.events -> reports,Golden Gate Bridge,"39.641342, -78.114283",-51.606896,"Sydney, Japan",West End,v2.8.63: Added support for caching.,false,Central Park,Viewer,Africa,,New York,Antarctica,Singapore,Asthma,Asia,715 Main St,"14.724657, 167.348471",MX,PhD,Boston,"Austin, Israel",PST,"New York, United Kingdom",Toronto,Midtown,_ga=1968241246.8365014,San Francisco,Editor,IN,Europe/London,2024-08-27T08:41:31Z,530.4,124.900313,MX,Antarctica,Chicago,Busan
South America,Toronto,"-52.606905, -9.61599",White,Port of LA,Eiffel Tower,"Chicago, Netherlands",981 Oak Ave,"[1.0367, 0.2097, -1.4896, -0.3101, 1.6475, 1.1221, -0.486, -0.2265]",CDG,Statue of Liberty,JFK,9320 Elm St,GB,PST,CA,"Los Angeles, Netherlands",Eiffel Tower,This paper presents a framework for entity resolution.,HOLD-2022-760,UTBQNMCCHOTIEJC3A9ZA,SOAP/XML,lucas_thompson305,5351.12,2019-08-26,The customer account represents compliance records.,crit=9085,Big Ben,DE,SIN,3540 Oak Ave,DE,CET,7517 Maple Dr,2022-05-03T05:55:10Z,Japan,Statue of Liberty,Big Ben,"data, security, compliance, performance",164.081222,22252.3,358.98,Eiffel Tower,Chicago,tenant=us-east,342 days,Hamburg,-8.547504,"10.051515, -104.869797",Central Park,4.4.9,Port of LA,Antarctica,Chicago,batch-20240128-63,1681 Oak Ave,Antarctica,Israel,Food,Phoenix,"82.620253, -84.096596",-53.827088,Singapore,"Sydney, Japan",67.785666,Hamburg,elizabeth.thompson,Miami,Hamburg,Shanghai,2612 Park Blvd,"Austin, India",Golden Gate Bridge,[CONFIDENTIAL] Formula #517,Antarctica,ZVRRS59PR,GA,Windows,Singapore,April,CO,Unisex,Chicago,PST,754.42,"82.031204, 86.958385",2021-02-11 20:46:14,WB,United States,"Seattle, India",Downtown,6993 Elm St,Big Ben,"Tokyo, Mexico",36459.1,14.471858,Downtown,Italy,London,South Bay,"68.669033, -103.170897",-154.848636,"82.704638, 104.881322",HBS-1992,5183 Pine Rd,-101.901642,4,Statue of Liberty,Workday,6348,Port of LA,Oceania,raw.events -> analytics,Big Ben,"40.61497, 56.440905",-52.156836,"London, Canada",West End,v0.20.75: Added support for caching.,false,Central Park,Owner,Asia,,San Francisco,Europe,Port of LA,Migraine,Asia,5171 Cedar Ln,"-9.657822, -168.909593",AU,Master's,Los Angeles,"Phoenix, Norway",America/New_York,"Miami, Germany",Portland,West End,_ga=9616867199.9010184,Phoenix,Owner,MX,Europe/London,2020-01-07 13:30:13,1120.5,-153.493858,IN,Africa,Berlin,Busan
Asia,Phoenix,"47.256056, -177.679843",Black,Rotterdam,Big Ben,"Tokyo, Mexico",2198 Main St,"[0.4694, 0.7699, -0.913, 0.0792, 1.1952, 0.4856, 0.5018, -1.2466]",CDG,Central Park,LAX,8877 Oak Ave,IN,UTC,NY,"Boston, United Kingdom",Eiffel Tower,This paper presents a framework for entity resolution.,HOLD-2020-581,M8MWLYEK835S1OUAW6H3,REST/JSON,david_williams983,4099.84,2023-02-10,The product tracks transaction histories.,min=3862,Big Ben,CA,NRT,9446 Cedar Ln,DE,America/New_York,7671 Park Blvd,2025-10-26 06:35:05,Singapore,Golden Gate Bridge,Eiffel Tower,"reporting, analytics, data, security",-66.132917,10748.5,117.89,Central Park,Toronto,dt=acme,255 days,Singapore,22.76757,"13.006126, -68.70024",Eiffel Tower,5.1.2,Hamburg,Europe,Dallas,batch-20250312-66,9173 Main St,Asia,Sweden,Services,Seattle,"-36.184644, -71.357811",18.224849,United States,"Paris, Netherlands",-14.394455,Shanghai,mason.lee,Sydney,Port of LA,Hamburg,3352 Main St,"Toronto, Germany",Central Park,[CONFIDENTIAL] Formula #404,Africa,M6ZTLHR9X,WA,Windows,Port of LA,May,PA,Unisex,Austin,CET,200.6,"-6.900181, -11.429426",2025-03-11T03:34:49Z,YKHD,Italy,"Portland, United States",East Side,1363 Main St,Eiffel Tower,"Berlin, Brazil",6836.6,174.852189,East Side,Netherlands,Boston,South Bay,"44.813031, -136.588629",100.959344,"39.008205, 68.886857",AOO-2679,6809 Park Blvd,-94.321427,69,Eiffel Tower,Workday,8879,Busan,Oceania,curated.events -> reports,Statue of Liberty,"51.350637, 179.333387",43.704909,"London, Germany",North Shore,v1.8.76: Improved API.,true,Golden Gate Bridge,Viewer,South America,,Dallas,Europe,Port of LA,Asthma,Asia,2102 Maple Dr,"-65.126672, -150.529465",AU,PhD,Berlin,"Austin, Japan",JST,"Tokyo, United Kingdom",Berlin,South Bay,_ga=8099828834.5869960,Phoenix,Guest,AU,JST,2026-10-24T01:57:43Z,792.0,-1.107881,AU,North America,Toronto,Busan
Antarctica,Boston,"47.648263, 158.266755",Hispanic,Rotterdam,Big Ben,"Sydney, India",6092 Pine Rd,"[0.9201, 0.2887, 0.8825, -1.2284, -0.568, -0.2744, 0.4905, 0.7164]",LAX,Central Park,LAX,2267 Oak Ave,CA,EST,GA,"San Francisco, United States",Golden Gate Bridge,This paper presents a framework for data classification.,HOLD-2022-329,0V6WP7UIJLCSPDYW351R,REST/JSON,sarah.williams821,7937.18,2026-12-12,The product represents customer interactions.,max=8211,Central Park,BR,JFK,1563 Elm St,JP,EST,3105 Oak Ave,2019-12-24 23:14:31,United States,Central Park,Statue of Liberty,"security, cloud, integration, reporting, automation",-8.35433,19075.2,259.55,Golden Gate Bridge,Boston,dt=acme,253 days,Shanghai,-49.704285,"41.602961, 136.456625",Big Ben,5.7.48,Port of LA,North America,Toronto,batch-20191230-59,3000 Elm St,Europe,Brazil,Clothing,Phoenix,"-18.411876, -175.951288",-3.258801,Mexico,"Portland, Norway",54.625752,Shanghai,ethan.king,Sydney,Shanghai,Shanghai,5467 Pine Rd,"Denver, Singapore",Big Ben,[CONFIDENTIAL] Formula #614,Antarctica,XUVZVDFRS,MA,Windows,Rotterdam,April,FL,Male,Berlin,JST,592.67,"11.394427, 133.485074",2026-02-17T03:19:47Z,VPJ,United States,"Austin, United Kingdom",South Bay,732 Maple Dr,Central Park,"Austin, Brazil",26633.9,-123.119514,East Side,United States,Paris,South Bay,"63.65278, 111.549022",-124.645921,"5.758643, 131.845612",PUU-5416,9996 Main St,-16.512338,43,Eiffel Tower,PostgreSQL,7032,Shanghai,Europe,raw.orders -> reports,Central Park,"46.801159, 52.182287",-51.148433,"Tokyo, Sweden",Midtown,v2.16.31: Fixed bug in API.,false,Central Park,Viewer,North America,,Phoenix,Asia,Singapore,Type 2 Diabetes,Africa,4310 Main St,"23.044587, 116.021433",AU,PhD,Miami,"Dallas, South Korea",Europe/London,"Phoenix, Canada",Paris,Midtown,_ga=7101819684.3168337,Berlin,Guest,DE,JST,2023-04-09 06:52:42,952.0,84.256206,US,Europe,Phoenix,Busan
South America,Seattle,"60.497015, 159.727003",Hispanic,Port of LA,Central Park,"Austin, South Korea",5817 Elm St,"[-0.1992, -1.4322, 0.7526, 0.1656, 1.3316, -1.5205, 0.309, 1.1984]",LAX,Golden Gate Bridge,ORD,1407 Oak Ave,DE,PST,FL,"Houston, Singapore",Golden Gate Bridge,This paper presents a framework for data classification.,HOLD-2022-818,N58XI0E8SN55ZUMAR2RR,GraphQL,patriciamartin604,9435.54,2026-01-19,The customer account monitors compliance records.,min=1028,Golden Gate Bridge,MX,SIN,6499 Maple Dr,CA,JST,4173 Elm St,2026-10-23T18:33:58Z,Spain,Statue of Liberty,Eiffel Tower,"data, compliance, reporting, scalability",61.77594,16380.8,716.57,Eiffel Tower,San Francisco,tenant=2024-01,354 days,Busan,-56.33817,"-8.38812, -126.66603",Central Park,4.11.18,Hamburg,North America,Tokyo,batch-20250202-58,5631 Park Blvd,North America,Italy,Software,Boston,"28.589197, 89.016663",-82.046917,Brazil,"Chicago, Norway",50.584948,Port of LA,emily.young,New York,Busan,Busan,8229 Oak Ave,"Tokyo, United Kingdom",Big Ben,[CONFIDENTIAL] Formula #701,South America,6V3R1ZTU8,GA,iOS,Rotterdam,January,MA,Female,Los Angeles,CET,803.62,"16.805452, 146.641908",2018-07-05T13:03:53Z,VIDZ,Italy,"Phoenix, Switzerland",South Bay,8136 Maple Dr,Golden Gate Bridge,"Phoenix, Australia",20603.6,-13.943038,East Side,Netherlands,Los Angeles,North Shore,"56.055676, -135.898863",-45.525279,"67.801599, 27.405274",BCU-1030,9900 Oak Ave,-6.668018,89,Big Ben,PostgreSQL,3575,Busan,North America,staging.events -> exports,Statue of Liberty,"61.112689, 71.289191",-25.246477,"Boston, Italy",West End,v4.5.57: Added support for API.,false,Big Ben,Owner,North America,,Austin,Asia,Shanghai,Migraine,Oceania,6325 Elm St,"57.872076, -65.594989",DE,Master's,Sydney,"Berlin, Canada",CET,"Atlanta, Australia",Toronto,Midtown,_ga=4718623148.5385314,Boston,Owner,BR,PST,2018-01-05 22:36:11,1573.9,43.856199,AU,Europe,Houston,Rotterdam
North America,Portland,"37.6609, 104.063679",Other,Port of LA,Big Ben,"Miami, Israel",4235 Cedar Ln,"[-0.0179, 0.6683, -0.5159, 0.69, -2.3751, -2.7827, 0.2874, 1.9856]",LHR,Central Park,CDG,8215 Pine Rd,AU,America/New_York,NY,"Seattle, United States",Golden Gate Bridge,This paper presents an analysis for data classification.,HOLD-2022-287,FTCZ4SNKFYV4JT63TJEH,gRPC/protobuf,liam.jones460,6679.61,2022-05-26,The customer account monitors operational metrics.,crit=872,Statue of Liberty,BR,SIN,7287 Oak Ave,DE,Europe/London,3928 Pine Rd,2019-10-21T19:06:45Z,Switzerland,Golden Gate Bridge,Central Park,"security, scalability, cloud, compliance, analytics",-40.890576,7819.1,835.7,Eiffel Tower,Chicago,dt=us-east,14 days,Hamburg,-18.390064,"-45.505557, 117.461889",Big Ben,3.10.40,Rotterdam,North America,Austin,batch-20191218-04,4470 Cedar Ln,South America,Italy,Electronics,New York,"83.022347, -83.251812",-10.719878,Brazil,"Toronto, Australia",2.801612,Busan,harper.walker,Houston,Hamburg,Busan,1170 Elm St,"Austin, Switzerland",Big Ben,[CONFIDENTIAL] Formula #706,Oceania,3E7OAQXY6,TX,Chrome OS,Port of LA,July,NC,Unisex,Houston,JST,650.34,"-58.258936, 134.343454",2022-08-11T03:59:50Z,KZF,Singapore,"Atlanta, Mexico",East Side,9465 Elm St,Eiffel Tower,"Miami, Sweden",3645.5,-90.31532,Midtown,South Korea,Boston,Midtown,"-81.650247, 41.099431",141.815379,"-1.104156, -51.975573",XVG-7370,6258 Pine Rd,-167.593012,25,Statue of Liberty,Workday,1517,Hamburg,Europe,curated.users -> reports,Central Park,"-60.336703, 106.844509",-10.043232,"Boston, Canada",Midtown,v5.17.16: Removed authentication.,true,Statue of Liberty,Owner,North America,2025-05-04 07:32:49,Paris,Antarctica,Singapore,Depression,North America,2061 Oak Ave,"6.33305, 137.10621",IN,Bachelor's,Chicago,"Tokyo, Mexico",Europe/London,"London, Australia",Boston,West End,_ga=9542824920.7654955,London,Guest,AU,UTC,2021-02-05 17:42:42,970.1,87.668416,CA,Africa,Toronto,Hamburg
Antarctica,Toronto,"-34.678795, 171.197924",Mixed,Rotterdam,Central Park,"Miami, Brazil",7411 Oak Ave,"[-0.3001, -1.7617, 1.534, -1.535, 0.2984, 0.1153, 1.7647, 1.0744]",SIN,Statue of Liberty,LAX,8328 Maple Dr,MX,Europe/London,CO,"Portland, Norway",Statue of Liberty,This paper presents a framework for data classification.,HOLD-2020-625,M0NGBBL9W62H31DV27M8,OpenAPI 3.0,elizabethrobinson446,5118.58,2019-11-01,The customer account represents transaction histories.,min=9358,Golden Gate Bridge,AU,NRT,9546 Oak Ave,AU,PST,1879 Park Blvd,2025-04-12 07:16:59,Norway,Golden Gate Bridge,Statue of Liberty,"automation, reporting, data",33.142733,37698.7,460.49,Golden Gate Bridge,Houston,dt=us-east,223 days,Shanghai,-57.953612,"-68.156627, 138.426967",Big Ben,3.0.77,Hamburg,Africa,Paris,batch-20210619-92,5752 Main St,North America,Singapore,Clothing,Sydney,"76.277171, 139.94952",3.065594,Italy,"Seattle, Brazil",-28.31117,Hamburg,linda.anderson,Phoenix,Port of LA,Shanghai,8063 Cedar Ln,"Boston, Italy",Statue of Liberty,[CONFIDENTIAL] Formula #363,Asia,ZIAF89HZP,IL,iOS,Port of LA,March,NY,Male,Paris,JST,294.08,"22.446225, -79.145705",2025-05-24T02:34:26Z,TYAL,Japan,"Boston, Italy",West End,5246 Main St,Statue of Liberty,"New York, Spain",6583.5,174.644435,North Shore,France,Houston,West End,"18.390683, 112.551322",-6.109814,"10.734198, 92.168646",KOI-6706,4563 Maple Dr,-161.628188,69,Central Park,PostgreSQL,2737,Singapore,North America,staging.orders -> exports,Central Park,"-44.023181, -173.843877",21.043998,"Houston, Germany",South Bay,v2.20.97: Added support for logging.,false,Central Park,Owner,South America,,Dallas,Oceania,Singapore,Migraine,Asia,7224 Park Blvd,"-78.507366, 2.731151",DE,Associate's,Seattle,"Toronto, United States",JST,"Toronto, France",Miami,South Bay,_ga=8637927212.8351138,Sydney,Viewer,DE,JST,2023-01-03 16:29:38,1492.3,28.215674,US,Africa,New York,Shanghai
Africa,London,"88.865121, 178.006793",Mixed,Hamburg,Central Park,"Austin, Australia",3783 Oak Ave,"[-0.8653, 0.1272, 0.2512, -2.7525, 0.8498, 0.123, 0.6729, -0.4106]",SIN,Golden Gate Bridge,SFO,5949 Cedar Ln,DE,JST,WA,"Dallas, Spain",Big Ben,This paper presents a novel approach for data classification.,HOLD-2021-695,30IAPYM3JYYRIUOWHNQ3,gRPC/protobuf,emily.anderson371,4616.38,2021-09-29,The product represents customer interactions.,min=2306,Statue of Liberty,IN,LAX,1440 Park Blvd,IN,America/New_York,9617 Pine Rd,2018-05-04T19:12:35Z,Switzerland,Eiffel Tower,Eiffel Tower,"security, integration",-24.521559,32162.1,307.56,Statue of Liberty,Portland,region=2024-01,2 days,Rotterdam,21.736992,"-64.767732, -113.334662",Central Park,2.11.70,Singapore,Oceania,Tokyo,batch-20230114-30,5532 Oak Ave,South America,Mexico,Clothing,Toronto,"52.235156, 114.138259",68.021015,Spain,"Berlin, Singapore",10.898551,Rotterdam,harper.jones,Dallas,Busan,Shanghai,4066 Maple Dr,"London, Switzerland",Big Ben,[CONFIDENTIAL] Formula #910,North America,X1G4UGWTI,CA,Chrome OS,Hamburg,April,CA,Unisex,Phoenix,PST,686.88,"71.368961, 128.942001",2018-04-05T11:26:26Z,MX,Spain,"Berlin, Brazil",North Shore,2118 Pine Rd,Statue of Liberty,"Portland, Japan",41573.6,62.609433,West End,Netherlands,London,East Side,"-59.950572, 15.442129",150.504614,"49.321439, 122.027704",ZHV-8873,6446 Oak Ave,3.235974,76,Central Park,Workday,6881,Singapore,Europe,curated.orders -> reports,Eiffel Tower,"-38.246136, -174.114341",2.499477,"Atlanta, France",East Side,v0.1.95: Improved API.,false,Big Ben,Owner,Africa,,Chicago,South America,Shanghai,Hypertension,North America,6102 Park Blvd,"44.180438, 81.970556",MX,PhD,Austin,"Berlin, Australia",PST,"Austin, India",Houston,East Side,_ga=8930327828.5824134,San Francisco,Admin,CA,EST,2022-08-18 09:21:02,707.3,65.161127,IN,Oceania,Atlanta,Port of LA
North America,Toronto,"21.651983, 27.979301",Black,Busan,Golden Gate Bridge,"Toronto, United States",3272 Cedar Ln,"[-0.7404, -0.8936, -0.0916, 0.9292, -0.7262, -1.371, 0.6461, 0.6188]",NRT,Big Ben,JFK,8609 Maple Dr,BR,UTC,CO,"London, Netherlands",Statue of Liberty,This paper presents a novel approach for entity resolution.,HOLD-2025-449,VVOYFBJG3S2ALI196Z2J,SOAP/XML,liam_brown195,679.34,2025-02-23,The customer account represents transaction histories.,min=8093,Statue of Liberty,BR,NRT,5211 Main St,FR,JST,2078 Cedar Ln,2018-06-19T09:41:35Z,Sweden,Central Park,Central Park,"automation, data",-135.486377,45186.1,931.57,Big Ben,Toronto,region=us-east,76 days,Busan,-75.32176,"33.389403, 56.386449",Central Park,1.8.9,Busan,Antarctica,Los Angeles,batch-20250412-02,6596 Maple Dr,Europe,Norway,Electronics,San Francisco,"68.814656, 170.801133",54.735533,Israel,"New York, Italy",-84.751852,Rotterdam,james.jackson,Austin,Singapore,Rotterdam,5648 Oak Ave,"Houston, Germany",Golden Gate Bridge,[CONFIDENTIAL] Formula #367,North America,PV8L3XNYA,CA,Android,Shanghai,June,FL,Female,Sydney,UTC,959.85,"3.757469, -81.214539",2024-12-03T15:28:36Z,UJSM,Sweden,"Berlin, Mexico",North Shore,6266 Elm St,Statue of Liberty,"Portland, United States",18975.1,122.667971,South Bay,Spain,Boston,South Bay,"-59.651611, 119.662939",-141.15034,"21.488764, 24.158136",RCW-7034,1963 Pine Rd,138.007088,37,Big Ben,Workday,4942,Port of LA,Oceania,raw.events -> exports,Statue of Liberty,"6.573535, -130.954481",57.340795,"Denver, Netherlands",East Side,v0.13.87: Fixed bug in API.,false,Big Ben,Owner,Oceania,,Denver,Asia,Busan,Type 2 Diabetes,Antarctica,3261 Oak Ave,"68.070404, 126.963239",BR,Associate's,Los Angeles,"London, Switzerland",UTC,"Houston, Brazil",London,South Bay,_ga=7317193799.9963278,Seattle,Editor,JP,JST,2025-07-05T17:01:04Z,826.2,94.531661,DE,Antarctica,Chicago,Hamburg
North America,Toronto,"-74.085019, 132.265773",Asian,Port of LA,Statue of Liberty,"Miami, Brazil",8823 Park Blvd,"[0.9879, -1.1337, 1.4748, -0.1903, 0.6033, 1.7646, -0.4974, 0.0967]",CDG,Big Ben,NRT,238 Cedar Ln,BR,JST,WA,"Paris, Singapore",Big Ben,This paper presents an analysis for entity resolution.,HOLD-2020-590,UCTEXOMSL9ILO1Q7JE38,GraphQL,emma_thompson845,6945.34,2020-06-20,The customer account includes compliance records.,warn=6265,Golden Gate Bridge,CA,NRT,9692 Cedar Ln,AU,JST,4781 Elm St,2020-01-12 09:29:48,Canada,Big Ben,Golden Gate Bridge,"integration, cloud, security, compliance, automation",-71.951546,17826.2,478.15,Big Ben,Houston,dt=2024-01,6 days,Shanghai,-15.470887,"-21.646025, -25.700733",Golden Gate Bridge,4.12.33,Busan,Antarctica,Austin,batch-20251129-92,9125 Elm St,Asia,Mexico,Clothing,Houston,"-80.246096, 120.284831",5.588016,Germany,"Paris, Netherlands",49.636626,Singapore,james.white,Seattle,Singapore,Busan,8196 Cedar Ln,"Seattle, Sweden",Statue of Liberty,[CONFIDENTIAL] Formula #292,North America,V6O72YRY5,NC,macOS,Port of LA,February,CA,Unisex,Miami,UTC,551.32,"-52.348421, 70.935744",2026-09-05T09:33:57Z,PIF,India,"Austin, South Korea",West End,4943 Elm St,Golden Gate Bridge,"Austin, United States",7504.2,-40.260645,North Shore,United States,Dallas,West End,"-58.351782, -36.021164",-69.367201,"43.138598, -145.486935",HFI-1590,7722 Oak Ave,-34.837657,23,Statue of Liberty,SAP,4466,Singapore,North America,staging.orders -> exports,Eiffel Tower,"32.066708, 92.123174",64.750497,"London, Singapore",East Side,v2.19.57: Fixed bug in authentication.,false,Eiffel Tower,Viewer,North America,,Austin,North America,Busan,Arthritis,South America,1982 Pine Rd,"-77.320754, -14.843457",DE,High School,Boston,"London, Italy",JST,"Toronto, United Kingdom",Denver,North Shore,_ga=3995631982.3830796,Boston,Admin,DE,Europe/London,2021-12-14T18:54:59Z,531.4,-168.825787,IN,Oceania,Sydney,Rotterdam
Europe,Houston,"-8.484983, -68.432691",Hispanic,Port of LA,Eiffel Tower,"San Francisco, South Korea",7895 Pine Rd,"[0.843, 0.5387, 0.5842, -0.1581, -1.0493, 0.019, 0.8912, -0.4223]",LHR,Eiffel Tower,ORD,9299 Pine Rd,US,PST,WA,"Phoenix, Italy",Statue of Liberty,This paper presents a novel approach for anomaly detection.,HOLD-2021-336,P48FKW94CW5MBUGE7MQY,OpenAPI 3.0,liamjones860,6705.5,2023-06-06,The customer account tracks transaction histories.,min=333,Central Park,AU,LHR,169 Cedar Ln,BR,PST,115 Park Blvd,2024-08-08T11:55:12Z,Japan,Golden Gate Bridge,Statue of Liberty,"analytics, compliance",61.793068,41793.3,272.25,Eiffel Tower,Austin,region=2024-01,83 days,Busan,10.859451,"87.808254, 13.891524",Golden Gate Bridge,4.9.61,Hamburg,Oceania,Boston,batch-20180616-70,9040 Pine Rd,Antarctica,Switzerland,Electronics,Denver,"-62.545664, 79.840921",19.192856,Germany,"Los Angeles, Mexico",80.999541,Shanghai,patricia.walker,Seattle,Busan,Hamburg,9766 Main St,"Dallas, Mexico",Eiffel Tower,[CONFIDENTIAL] Formula #330,Oceania,HCP2SUPJZ,PA,Chrome OS,Busan,December,FL,Female,Sydney,America/New_York,433.83,"64.479176, -33.586362",2020-07-17T05:00:00Z,SXQ,Netherlands,"Houston, Canada",South Bay,8489 Pine Rd,Golden Gate Bridge,"Boston, Italy",1136.2,-13.574178,East Side,France,San Francisco,North Shore,"-16.16297, 91.455983",-129.575508,"-82.02561, 175.320788",MRR-2320,1076 Elm St,-4.601406,29,Golden Gate Bridge,Snowflake,3053,Hamburg,Asia,curated.users -> exports,Central Park,"-4.612887, -2.778595",-68.884431,"London, South Korea",Downtown,v4.14.97: Removed API.,false,Golden Gate Bridge,Guest,North America,,Berlin,Asia,Port of LA,Anxiety,South America,1001 Park Blvd,"-83.819088, -76.239421",CA,PhD,Portland,"Toronto, Israel",CET,"Houston, Israel",Los Angeles,Downtown,_ga=8557329014.9150959,Phoenix,Editor,BR,PST,2022-08-07 14:39:08,1845.0,-178.761731,AU,Asia,Los Angeles,Busan
