var_45,ordinal_position_data,int,artname,stat_code,raw_integer,stddev,correlation_14,word2vec,event,likelihood,v_633,semver,c_cor,swift,ksmpsa64,integer_22,iso_currency_code_v2,val_zs,NUMERIC_RANGE,val_corre,TRANSLATION,fchd84,val_atlj,c_gzl,bucket,jqa15,given_name,fact_standard_deviation,raw_schema_table_name,c_236,integer,partitionKey,binval,addressLine,src_decimal_float,col_vari,yyv37,binary,median_14,integer_2,image_embedding_14,fact_word_embedding,PARTITION_KEY,f_280,meta_586,fact_probability_confidence,INTEGER,probability_confidence_14,meanAverage,zip,raw_market_value,min_max,MAIDEN_NAME,standard_deviation_14,user_trend_growth_rate,correlation,f_role,probability_confidence_v2,duration,decimal_float_14,trend_growth_rate_14,standard_deviation_val,confidence_interval,MODIFIED_AT,customer_numeric_range,MEAN_AVERAGE,numeric_range_14,intval,col_wab,percentile_field,c_hds,mean,vital_sign_22,ordinal_position,image_embedding_val,standard_deviation
-11.07%,467,8342,Starry Night,cancelled,8178,14.138,0.7739,"[-1.5857, 1.7441, 0.835, 1.257, -0.7393, -0.7081, 2.0619, 2.6574]",Tech Expo 2020,0.3287,C6H12O6,0.17.55,0.4001,504618620,"[0.1076, -0.2272, -0.687, -0.2717, -0.2406, -0.2048, -0.2281, 0.2536]",3509,BRL,1587,28-65,-0.9818,Hola,4904-7423,6.833,1,58.4,93.4,Aiden,24.7204,analytics.events,Non-conformance: access control,3708,region=acme,0,2200 Main St,-282.1552,"[26.39, 94.76]",H2O,0,-74.324,5293,"[0.3263, -0.2573, -0.8711, 0.5828, -0.3482, -0.3054, -0.0122, -0.175]","[-0.2008, 1.0985, -3.676, 0.0907, -0.9993, -0.6585, -0.6824, 0.8682]",tenant=us-east,Polyethylene,26-88,0.0633,4008,0.7709,12.9782,33965,"$592,299,222",3-72,Davis,3.35,3.47%,0.0552,CTO,0.0534,46801,1448.747,-17.1%,16.4973,"[26.5, 67.02]",2019-08-24 15:26:29,25-70,-64.8628,38-67,8882,3.4919,58.13,"$789,428",-92.2031,BP 162/65 HR 83,606,"[0.1928, 0.4434, -0.4891, -0.2672, 1.1259, 0.2921, 0.2017, -0.6847]",18.4235
3.33%,955,1752,Starry Night,completed,9491,4.8137,-0.4505,"[-0.6003, -1.1838, 0.5123, -0.851, 0.963, -0.531, -0.895, -1.0993]",Data Expo 2022,0.9521,Fe2O3,0.20.58,-0.2115,494063681,"[0.2375, 0.0665, -0.1966, -0.032, -0.5352, -0.476, -1.8058, 0.5678]",8877,CHF,3812,28-74,-0.9248,Namaste,7267-7486,9.7008,1,46.86,51.72,Jennifer,16.6193,sales.orders,Non-conformance: access control,4329,region=acme,1,7648 Pine Rd,2784.019,"[1.92, 73.32]",H2O,0,-34.3293,9062,"[-0.228, -0.7486, 0.1937, 0.6658, -0.7309, 0.7163, -1.0059, -0.7969]","[0.3243, -0.7908, 0.0541, 1.1088, 0.8016, -1.2816, 3.2054, -0.3308]",region=us-east,Steel,15-89,0.9691,9746,0.4813,-1.6364,16549,"$51,553,032",7-78,Taylor,9.9907,35.64%,-0.0479,Software Engineer,0.9294,61312,6293.8817,-47.88%,37.5153,"[1.57, 97.03]",2020-04-07 08:04:45,14-72,-31.1921,41-81,407,4.5694,7.8,"$1,137,745",77.6671,BP 166/67 HR 75,34,"[0.16, 1.2457, 0.0813, 0.6283, 0.1117, -0.4486, -0.1245, 0.0639]",48.1383
-3.08%,200,7386,The Persistence of Memory,pending,3370,49.7765,0.7313,"[-1.322, -0.4454, 0.2226, 0.626, 0.1794, -0.5755, -1.1014, 1.1372]",Annual Expo 2025,0.4027,H2O,3.2.88,0.7651,581283624,"[0.1588, 0.1432, -0.645, -0.3971, 0.756, 0.32, 0.5889, 0.3858]",2954,AUD,434,45-100,0.264,Bonjour,5057-1638,31.2622,0,61.24,88.25,Michael,18.1594,public.users,Non-conformance: access control,7543,region=2024-01,0,5036 Cedar Ln,8199.2295,"[3.45, 67.7]",Fe2O3,1,15.44,3542,"[0.4566, -0.363, 0.076, -0.1578, 0.7446, -0.0261, 1.7369, 0.1382]","[-2.1048, -1.9866, -0.0464, 1.6879, 0.2486, 0.6765, 1.2552, 0.3552]",region=2024-01,Steel,1-76,0.5018,1698,0.4148,-80.2848,50056,"$861,532,972",50-94,Young,16.5093,48.0%,-0.557,CTO,0.421,24291,5259.8254,-21.61%,47.6412,"[13.49, 86.09]",2023-05-05T05:39:00Z,31-83,67.3559,44-70,3498,3.4876,73.61,"$3,204,257",16.2456,BP 166/87 HR 69,487,"[0.2154, -0.4888, 0.5288, 0.5362, -0.3413, 0.1087, 0.9136, -0.0947]",19.6348
-24.91%,524,491,Water Lilies,completed,7049,35.2107,-0.5677,"[0.5236, 0.1719, 0.6332, 0.8393, -0.8234, -1.7185, -0.6575, -1.6028]",Data Forum 2025,0.1874,NaCl,0.4.99,0.3482,187454348,"[-0.7406, -0.1087, -0.372, 0.4501, -0.0623, -0.0802, -0.925, -0.3222]",9445,BRL,721,18-88,0.9801,Namaste,9295-6957,42.1929,0,37.44,22.77,Amy,17.1954,public.users,Observation: backup schedule,9322,dt=us-east,0,1447 Main St,6341.0742,"[38.68, 69.64]",NaCl,1,-73.7213,8465,"[0.359, 0.5965, 0.7476, -0.2566, 0.0863, 0.3953, -0.3045, -0.4199]","[1.3437, 0.9801, 0.2885, -0.2602, 0.0656, 0.4916, 0.3882, 0.4483]",region=2024-01,Carbon Fiber,48-99,0.2459,5892,0.2482,71.6707,90231,"$872,844,709",6-71,Anderson,44.2251,45.16%,-0.4094,Designer,0.0085,63842,2683.7167,-8.47%,12.2537,"[30.37, 90.34]",2023-05-20 12:39:07,9-75,-36.3027,35-85,4263,4.8549,29.4,"$3,599,240",-35.0529,BP 160/64 HR 57,457,"[0.4994, -0.3166, -0.5131, -0.4988, -0.2215, -0.2902, 0.3085, -0.2481]",34.5666
-13.61%,823,1532,Starry Night,pending,3522,47.874,0.7867,"[-0.1295, 0.3615, 0.664, -0.6159, 2.4675, -0.4437, -1.3159, -1.275]",Annual Summit 2025,0.505,Homo sapiens,1.18.16,-0.0433,411407992,"[-0.0075, 1.112, -0.3247, 0.3087, -0.0472, 0.412, -0.6844, -0.3104]",902,USD,512,3-68,0.5294,Guten Tag,6757-4328,39.8045,1,60.75,61.5,Aiden,27.8819,public.users,Observation: backup schedule,4592,region=us-east,1,5457 Oak Ave,5191.0576,"[3.35, 69.9]",H2O,1,-50.9653,9459,"[0.0199, -0.3179, 0.242, 0.029, -0.0036, 0.706, 0.0958, 0.0058]","[-1.3664, 0.7225, -0.4709, 1.0127, -0.1356, 0.3551, -0.8214, -0.2142]",region=us-east,Glass,33-57,0.9462,9009,0.5746,5.4529,43145,"$852,640,746",50-95,Jones,7.533,9.62%,-0.6161,Data Analyst,0.5243,73292,3513.641,-12.28%,9.7176,"[2.88, 81.63]",2026-06-08 09:23:16,16-59,-5.4724,33-68,8871,6.1882,96.54,"$1,601,186",18.3863,BP 127/98 HR 97,169,"[0.8392, 0.4525, -0.0558, 0.1941, 0.1321, -1.0045, -0.0702, -0.4942]",19.0597
2.03%,75,5760,The Scream,failed,1039,39.7314,0.5164,"[0.4256, 0.6899, 0.9211, 0.3045, 0.0573, -2.1161, -0.2641, 0.917]",Annual Expo 2022,0.4501,NaCl,2.7.97,0.6109,099551112,"[0.8289, -0.4914, 0.623, 0.1292, -0.4536, 0.3492, -0.7405, 0.0222]",9491,EUR,9725,1-87,-0.0215,Konnichiwa,5611-8143,11.0939,0,92.39,33.73,Harper,13.9309,analytics.events,Observation: backup schedule,2658,region=acme,1,1514 Park Blvd,9606.4809,"[13.85, 98.53]",C6H12O6,0,46.844,6312,"[0.2618, 0.0342, 0.0509, -0.7808, 0.4863, 0.4451, -0.2149, -0.4201]","[-2.0515, 1.7697, -0.4827, -1.7071, 0.1341, 1.2156, -0.5694, 1.2484]",tenant=us-east,Carbon Fiber,35-62,0.1101,928,0.5129,-88.0196,13747,"$949,946,110",22-96,Lewis,2.1115,23.7%,0.6291,VP Engineering,0.1163,22368,-582.1112,-24.49%,21.9326,"[38.3, 81.74]",2025-12-20T18:40:03Z,25-59,-72.5494,27-82,8658,5.9255,75.58,"$767,173",48.4431,BP 102/80 HR 73,110,"[0.1544, 0.0972, -0.2005, 0.0844, -0.441, -0.1318, 0.4439, 0.7369]",37.2402
10.24%,535,8349,The Persistence of Memory,inactive,1828,26.6212,0.725,"[-0.1953, 1.3335, -1.2144, 1.0922, -1.0851, 0.2838, 0.5758, -0.8236]",Data Expo 2026,0.0623,H2O,5.2.8,0.8456,055327764,"[-0.6582, -0.0828, 1.937, 0.8224, -0.0778, -0.2669, 0.0417, 0.7443]",3143,CAD,4157,46-96,-0.1709,Konnichiwa,7602-6474,7.787,1,6.06,13.64,John,9.4916,public.users,Observation: backup schedule,3901,dt=2024-01,0,8519 Oak Ave,5899.5479,"[27.94, 73.29]",C6H12O6,1,93.1721,3602,"[-0.4435, -0.3338, 0.1166, -0.5523, -0.8422, 0.2697, -0.0781, -0.4541]","[1.0165, 0.5616, 1.734, -0.5296, 0.1779, 0.7649, 0.0951, 1.4809]",dt=2024-01,Steel,24-64,0.5768,6256,0.9828,-85.1518,ZT4 2UH,"$744,938,859",45-86,Brown,41.5895,14.48%,0.3781,Designer,0.6683,7967,3264.2173,-9.73%,11.0816,"[23.98, 93.27]",2019-02-17 18:26:19,26-59,92.6799,0-92,1559,5.2804,37.14,"$3,716,320",-96.791,BP 125/102 HR 56,181,"[-0.1687, 0.2342, -0.35, 0.6763, -0.8447, -0.5681, 0.1878, 1.1626]",18.1732
22.07%,320,1106,Starry Night,inactive,5835,34.5753,-0.2958,"[0.0096, -1.3071, 0.3111, -0.4762, -0.4936, 0.0526, -1.019, -0.0191]",Data Summit 2021,0.598,Fe2O3,0.18.25,-0.6486,039225775,"[-0.6718, 0.9102, -0.191, 0.2052, -0.2834, 0.0496, 0.446, 0.0503]",8979,EUR,2699,39-91,-0.8491,Guten Tag,6424-9320,8.2739,0,80.17,4.2,Mary,45.3256,public.users,Observation: backup schedule,3047,tenant=us-east,0,9248 Oak Ave,6497.134,"[1.07, 70.71]",Homo sapiens,1,67.0342,102,"[0.3203, 0.1707, 1.1051, 0.2987, -0.0607, -0.3823, 0.1818, 0.2241]","[-0.4174, 0.0589, 0.1251, 1.3769, 2.0506, 1.357, -0.0022, -1.237]",region=us-east,Glass,37-77,0.3666,4923,0.6088,-34.9776,81231,"$533,014,041",42-78,King,25.3773,-17.85%,-0.5959,Software Engineer,0.6694,46413,6193.5372,-29.93%,37.4169,"[1.48, 72.52]",2020-08-15 02:53:37,42-79,-93.2204,45-97,2177,2.0556,50.77,"$3,623,248",68.048,BP 174/101 HR 57,81,"[-0.6799, 0.6444, 0.0396, -0.134, 0.8306, 0.5512, -0.8301, 0.1804]",24.6287
39.64%,97,982,Starry Night,completed,7846,40.1551,-0.002,"[-1.2027, 0.8173, 0.4358, 0.6349, 1.4479, -0.3683, -0.4355, 0.6047]",Data Conference 2025,0.4736,H2O,0.16.17,-0.9651,011424310,"[-0.5756, -0.2064, 0.387, 0.6522, 0.1823, -0.781, 0.5438, -0.1801]",6006,CAD,8556,21-70,0.6302,Namaste,3892-8227,4.0459,0,2.3,37.35,Mason,9.8586,public.users,Non-conformance: access control,9834,tenant=acme,0,4720 Cedar Ln,5318.2479,"[22.7, 63.36]",H2O,0,-12.0006,9324,"[0.3061, 0.1445, -1.8821, 0.0139, 0.0523, -0.2511, 0.0294, 0.4262]","[-1.001, -0.6278, 1.2509, -0.2902, 0.8628, 0.2288, -0.7724, -0.2966]",region=us-east,Aluminum,12-97,0.1254,1885,0.1946,-14.795,12967,"$57,828,710",1-75,Rodriguez,11.4391,25.66%,0.4574,Software Engineer,0.3355,13711,1699.1902,4.44%,28.775,"[38.23, 85.14]",2019-11-06T02:06:48Z,28-77,-59.4024,28-71,3674,5.4151,59.28,"$1,582,694",29.5674,BP 161/99 HR 76,667,"[0.0339, 0.3813, -1.1018, 0.6213, 0.0032, -0.6178, -0.0074, -0.4912]",11.915
0.4%,778,86,The Scream,completed,267,39.2009,0.6834,"[0.0386, -0.6385, -1.0693, -0.2737, 1.2565, -0.6063, 0.8295, -0.5394]",Tech Expo 2025,0.3691,NaCl,2.7.71,-0.993,450165095,"[0.2326, 0.6654, -0.466, 0.2539, -1.0603, 0.0531, -0.4204, 0.2205]",5868,BRL,263,41-62,0.3686,Hola,7280-8721,6.4725,0,90.33,76.41,Mary,16.5694,sales.orders,Observation: backup schedule,4335,tenant=2024-01,0,2290 Oak Ave,3920.1936,"[23.62, 68.57]",Homo sapiens,1,48.7327,1785,"[0.1973, -0.2754, -1.0094, -0.002, 0.1344, -0.3225, 0.3384, 0.4804]","[-0.8509, -1.5355, 2.6411, -0.2882, 0.436, 0.4126, -0.3115, -0.3749]",dt=2024-01,Aluminum,30-75,0.101,560,0.5359,-39.5611,QZ7 5WJ,"$264,185,252",48-56,Lewis,11.4894,-33.9%,-0.542,Data Analyst,0.4343,55357,7249.666,-39.91%,33.5081,"[32.91, 68.42]",2021-01-03 10:34:21,9-78,1.356,23-91,9848,8.4069,95.0,"$1,398,981",-91.9329,BP 97/79 HR 104,251,"[1.1214, 0.4946, 0.2856, 0.5658, -0.1072, -0.2454, -0.7523, 0.3561]",30.4839
5.2%,589,1518,Starry Night,inactive,2222,38.8169,0.6975,"[0.1162, -1.1376, 1.0736, -0.8402, 1.1268, 0.4728, -1.2056, 0.5464]",Global Conference 2025,0.7582,E. coli,0.9.96,0.7228,222988197,"[0.4919, 0.4639, 0.3362, -0.0421, -0.4337, -0.1101, 0.2467, 0.7083]",3663,CHF,616,40-67,-0.352,Guten Tag,2861-6677,20.1139,0,56.61,49.82,Emma,24.4035,analytics.events,Observation: backup schedule,7297,dt=us-east,0,6821 Elm St,1445.7215,"[7.64, 95.72]",E. coli,0,-83.5867,54,"[0.4798, -0.3087, 0.2268, -0.4073, 0.3963, 0.0757, -0.3015, 0.2007]","[-1.5645, -0.5612, 0.2449, 0.8523, -0.0515, -1.4877, -0.7647, 0.9681]",tenant=acme,Titanium,31-86,0.2827,5101,0.2599,-44.1831,HM6 2YL,"$798,097,097",32-65,Young,9.2855,36.23%,-0.3629,Software Engineer,0.0296,55944,6708.0338,49.7%,20.8861,"[6.58, 92.04]",2025-08-02 03:29:15,28-88,30.5006,1-85,2464,0.7294,6.94,"$1,431,794",34.3815,BP 174/109 HR 92,433,"[-0.3014, 0.274, -0.1191, 0.6513, 0.6746, 0.0801, -0.563, 0.1778]",9.7901
-24.42%,131,5089,The Persistence of Memory,pending,2279,17.9634,0.7004,"[-0.7549, 0.9498, -2.6119, 1.1205, -0.4655, -1.9908, 1.1722, 0.741]",Data Conference 2022,0.449,NaCl,4.2.20,0.1926,460188348,"[-0.079, -0.3978, -0.4661, 0.3015, 0.344, -0.2681, 0.081, -0.3895]",2311,AUD,1143,16-88,-0.3,Guten Tag,4861-7846,21.2775,0,5.12,19.39,Michael,11.6639,analytics.events,Major finding: data retention,6665,dt=acme,0,6153 Elm St,3348.5442,"[14.88, 84.69]",E. coli,1,-89.4837,2359,"[-0.2117, 0.3943, -0.6069, 1.313, -0.5256, -0.2806, -0.8076, -0.5075]","[-1.4169, -0.8397, -0.0536, -1.8608, 0.6326, -1.4677, -0.5927, -0.3116]",region=us-east,Carbon Fiber,5-80,0.7352,8617,0.9418,90.4437,88738,"$61,835,813",7-91,King,31.787,1.36%,-0.7368,VP Engineering,0.9087,44286,2168.4058,12.94%,20.1995,"[16.53, 68.12]",2023-10-08 06:27:16,45-59,-15.4752,3-57,736,5.8618,46.2,"$4,344,789",-51.5835,BP 174/101 HR 86,43,"[-0.2836, 0.1626, 0.2219, -0.0931, -0.1295, -0.1724, -0.2545, 0.6539]",15.8958
30.06%,184,7829,The Persistence of Memory,inactive,4674,25.1108,-0.4296,"[-0.6812, 1.8649, -0.2913, 0.42, 1.258, -0.3144, -0.2646, -1.0422]",Tech Conference 2021,0.6574,Fe2O3,2.20.78,-0.5709,371129054,"[-0.4323, -0.0408, 0.3258, 0.1868, 0.3663, 0.7585, 0.6441, -0.4116]",3608,USD,4143,45-73,0.5668,Bonjour,4201-1962,6.3794,0,99.14,23.02,Richard,27.0297,hr.employees,Major finding: data retention,8185,dt=us-east,1,4710 Pine Rd,5231.6098,"[13.85, 89.67]",NaCl,0,70.4753,2787,"[-0.8422, 0.7196, -0.2209, 0.3171, -0.5182, 0.9932, -0.3399, 0.2454]","[0.3125, -2.2561, -0.8652, -0.4945, -0.7985, 0.3016, 0.6568, -0.6223]",dt=us-east,Carbon Fiber,24-78,0.6654,21,0.3118,-25.8673,KZ6 5IJ,"$295,576,656",13-66,Davis,31.5812,7.02%,0.4188,Software Engineer,0.0487,84763,-766.9179,-29.78%,22.2578,"[37.4, 84.59]",2025-02-23T10:13:17Z,39-52,1.4317,19-74,4207,4.4586,40.95,"$3,708,332",2.5337,BP 142/107 HR 111,335,"[0.6857, -0.2632, -0.1792, 0.0565, 0.9898, -0.202, -0.0767, -0.3446]",24.8221
-24.09%,322,6245,The Persistence of Memory,active,1018,5.2431,-0.897,"[-0.0587, 0.0953, 1.1443, 0.0413, -1.2514, 0.1032, 0.578, -0.9298]",Tech Summit 2022,0.4779,H2O,1.0.11,-0.6702,372036538,"[-0.1328, 0.2516, -0.912, -0.8946, 0.8573, -0.4452, 0.5975, 0.0223]",2572,CAD,3313,44-58,-0.0391,Guten Tag,4840-7558,26.5262,1,51.86,90.86,Lucas,49.2339,public.users,Non-conformance: access control,9248,tenant=2024-01,1,9720 Oak Ave,3167.0305,"[37.93, 80.0]",Homo sapiens,0,87.7683,5686,"[-0.3708, 0.9189, 0.2413, 0.1641, 0.1288, -0.5365, 0.6772, 0.3086]","[-0.9222, -0.3702, 0.7742, -0.8566, 0.0046, -0.1791, 0.1199, 0.1154]",region=us-east,Aluminum,45-56,0.4714,7923,0.962,56.2669,19223,"$338,654,283",15-69,King,29.0954,6.92%,-0.8368,Designer,0.4402,79622,7831.6988,35.42%,49.7967,"[25.94, 95.55]",2023-03-04T12:11:28Z,18-83,-14.5351,44-86,8773,5.3524,66.87,"$1,486,159",-32.9249,BP 172/99 HR 77,74,"[0.4233, 0.001, -0.5669, 0.7106, 0.2853, 0.2757, 0.2712, -0.3448]",40.159
-0.24%,448,5773,Water Lilies,inactive,2074,15.5357,-0.0314,"[1.2118, 0.4733, 0.5538, -1.873, -0.2762, 0.2731, 0.4129, -0.7531]",Data Conference 2024,0.8039,NaCl,3.11.27,0.7126,036577573,"[0.2295, 0.1642, 0.0875, 0.5012, -0.1406, 0.9894, 0.9744, 0.2162]",8418,GBP,4147,6-54,0.4716,Konnichiwa,9510-4162,29.4309,1,68.95,46.07,Liam,30.8546,public.users,Observation: backup schedule,9647,region=us-east,1,4869 Maple Dr,6293.681,"[22.57, 98.43]",H2O,0,-89.5176,8312,"[0.521, -0.2247, 0.3334, -0.311, -0.2634, 0.3306, -0.5197, -0.1368]","[-2.0497, 0.2841, -0.0248, 0.8773, -0.072, 0.7083, 2.0275, -0.0821]",dt=2024-01,Glass,19-90,0.1203,525,0.6816,34.7671,QR7 4IO,"$483,156,491",40-80,Robinson,21.7097,-33.87%,0.4841,CTO,0.6787,14715,798.3213,30.47%,20.1535,"[18.6, 96.86]",2018-04-16T21:59:17Z,24-54,-37.5395,2-90,428,6.4226,73.21,"$1,684,896",-74.6004,BP 121/100 HR 77,607,"[0.51, -0.1661, 0.1684, -0.78, 0.3038, -0.0778, -0.5916, -0.2587]",23.7698
4.32%,83,8078,Water Lilies,rejected,2555,1.5934,0.784,"[0.4812, 0.356, 0.1208, -1.2935, -0.5058, 0.6588, -0.8136, 1.3663]",Data Conference 2020,0.0664,NaCl,4.5.33,-0.6284,371125531,"[0.3957, 0.5788, -0.6155, -0.6143, -0.0915, 0.1916, 0.4528, -0.2977]",5222,CHF,4578,23-96,0.8604,Guten Tag,5718-8416,1.9143,0,81.77,15.94,Aiden,20.465,hr.employees,Observation: backup schedule,1926,tenant=us-east,0,6904 Maple Dr,3405.9788,"[11.21, 68.54]",NaCl,1,99.4876,7004,"[-0.5099, -0.4028, 0.7719, 0.3915, 0.3399, 0.0161, -0.5096, -0.0713]","[0.5792, 0.0024, 2.3845, -0.1, 0.1404, 0.4498, 0.2437, 0.5464]",dt=2024-01,Aluminum,43-67,0.2091,2435,0.2253,-35.3002,JX9 3ML,"$628,536,277",21-98,Johnson,15.3024,43.78%,-0.4473,CTO,0.1235,21375,1683.0444,14.45%,27.7449,"[33.02, 66.51]",2025-06-17 12:22:26,37-54,18.5006,26-97,4443,4.1615,28.01,"$333,805",50.1895,BP 104/80 HR 109,25,"[0.1707, -0.1887, 0.0908, 0.8485, -0.1607, -1.3133, -0.1821, 0.158]",36.9049
-40.45%,978,8043,The Scream,completed,3560,43.8435,0.9094,"[0.9664, 0.2631, 0.2027, 0.1432, 0.4698, 0.3595, 0.1187, 0.1642]",Annual Summit 2023,0.6423,NaCl,4.4.12,-0.2679,735003580,"[0.1043, 0.1317, 0.4466, -0.3168, -1.2842, 0.4819, 0.743, 0.0731]",369,USD,268,37-68,-0.6882,Namaste,9798-5345,6.2371,0,92.13,68.54,Sophia,8.9901,hr.employees,Observation: backup schedule,2404,region=us-east,1,5000 Pine Rd,5231.049,"[8.03, 87.29]",H2O,1,16.4856,8890,"[0.1021, 0.1181, -0.7828, -0.3138, -0.1721, 0.2979, 0.3656, 0.4599]","[0.1164, -0.1398, -1.6948, -1.1429, 0.6343, 0.4936, -0.9332, -0.0582]",dt=2024-01,Polyethylene,9-88,0.6073,7509,0.0666,-37.0299,42215,"$357,945,906",39-100,Jones,6.0613,-14.93%,-0.0643,Sales Rep,0.1404,60963,9686.918,-47.41%,24.7878,"[30.96, 87.6]",2025-11-17 14:05:54,23-76,-86.0348,18-98,2641,5.3213,61.65,"$2,184,465",21.4787,BP 101/101 HR 77,665,"[-0.493, -0.4365, -0.6619, 0.2312, 0.1786, -0.2933, 0.481, -0.1662]",37.2934
12.44%,592,3652,The Persistence of Memory,rejected,6481,1.5007,0.5809,"[-0.5643, 0.3835, 0.8062, -0.8369, 2.0553, -1.0244, 0.0763, 0.1743]",Global Expo 2021,0.4304,E. coli,3.15.79,-0.3763,652098173,"[0.3292, -0.4417, -0.3997, 0.5136, 0.0361, -0.2727, 0.8136, -0.3593]",7647,CHF,162,30-84,-0.4759,Bonjour,5987-8790,0.0995,0,97.13,61.17,Jennifer,24.8206,sales.orders,Non-conformance: access control,7735,dt=2024-01,1,3704 Pine Rd,2268.343,"[7.77, 84.77]",Homo sapiens,1,-24.6455,1209,"[0.4137, -1.1126, 0.2743, -0.1424, -0.2958, -0.4777, 0.257, 0.4293]","[-0.9881, -0.0549, 1.7914, 0.0596, 1.0378, -0.8962, -0.5906, -1.3478]",tenant=2024-01,Titanium,49-52,0.4352,1672,0.1811,35.9705,13796,"$530,697,140",31-89,Smith,0.3367,-43.93%,0.8125,Data Analyst,0.5079,85174,8978.1636,35.08%,19.3288,"[38.96, 67.77]",2020-11-05 08:15:04,16-92,-19.9418,42-97,8800,5.7637,39.85,"$3,175,840",32.0443,BP 111/83 HR 100,136,"[-0.4377, -0.0286, -0.5199, 0.3535, 0.3165, 0.3068, 0.7548, -0.264]",16.1456
6.05%,773,7811,Water Lilies,pending,6239,24.209,0.0191,"[-1.1523, 0.862, -1.6407, 0.4234, -0.3671, 0.6263, 0.7113, -0.7637]",Global Summit 2026,0.0792,H2O,1.13.84,0.7842,893970097,"[0.0076, -0.4749, 0.8224, -0.4277, -0.2633, -0.5888, 0.3179, -0.3376]",4740,CAD,4305,5-59,0.2335,Konnichiwa,2714-9823,3.3214,1,38.0,61.89,Anna,3.9197,analytics.events,Non-conformance: access control,9268,dt=acme,1,8474 Main St,4160.0508,"[18.83, 74.74]",H2O,1,1.0655,5102,"[1.0907, -0.4439, 0.6408, 0.4357, -0.529, 0.1396, -0.2256, 0.5444]","[-1.8182, 1.5167, 1.7804, 0.5634, -0.2177, -0.8294, -0.1116, 0.2085]",tenant=us-east,Glass,10-95,0.5472,7499,0.7122,-61.3709,AW6 7WB,"$585,699,457",8-83,Moore,3.3649,-1.24%,-0.8681,Sales Rep,0.8887,32866,8483.7904,44.84%,32.056,"[13.1, 86.83]",2019-06-14 21:44:28,33-88,-18.5057,44-57,8825,3.9782,22.92,"$1,126,611",86.7665,BP 152/95 HR 94,321,"[-0.7724, 1.3502, 0.4381, 0.3614, -0.5284, -0.3672, 0.5486, -0.202]",43.3495
1.74%,503,3509,Water Lilies,inactive,9016,0.3383,-0.2709,"[0.9241, -0.1385, 0.7475, -1.579, -1.5554, 0.8351, 0.6969, 1.9451]",Global Expo 2023,0.6163,H2O,1.17.86,-0.7467,863073735,"[-0.2308, 0.7931, -0.1859, -0.1248, -0.1093, -0.4569, 0.1848, -0.2185]",6376,BRL,3636,39-94,-0.9277,Guten Tag,1910-5792,20.3955,0,42.14,43.08,Mary,48.0142,analytics.events,Major finding: data retention,4476,dt=us-east,1,3157 Pine Rd,729.8543,"[8.02, 93.91]",Fe2O3,0,44.1813,3860,"[-0.2107, -0.265, -0.3463, 0.0264, -0.4301, -0.0738, 0.0077, -0.013]","[0.3086, 0.4515, 0.1434, 0.9552, 0.1893, -0.5804, 1.0651, -0.7985]",dt=acme,Aluminum,27-98,0.802,8083,0.8816,16.2859,28602,"$513,514,601",3-77,Harris,14.6693,44.37%,-0.2144,Sales Rep,0.6425,79700,6531.9829,14.89%,32.691,"[22.91, 62.91]",2024-07-06 20:25:10,30-56,-23.1464,7-88,6746,1.6963,64.05,"$921,667",60.3447,BP 177/93 HR 75,168,"[-0.3376, 0.632, 0.551, 0.1762, 0.115, -0.1642, -0.4596, -0.5852]",7.976
-23.02%,324,9514,Water Lilies,completed,1374,30.7444,0.1591,"[0.5578, -0.0261, -1.7766, 0.8245, 1.3571, -1.3597, -0.0048, -0.4656]",Annual Summit 2020,0.8519,H2O,0.20.68,0.8466,299451097,"[0.1248, -0.9767, -0.0951, 0.654, 0.0933, -0.1095, 0.8012, 0.0101]",4224,JPY,1662,11-52,0.7765,Bonjour,3553-3637,17.9788,0,19.33,34.96,Elizabeth,9.5908,hr.employees,Major finding: data retention,2201,tenant=us-east,0,5111 Pine Rd,7584.4377,"[18.19, 75.62]",E. coli,0,-26.3419,4628,"[0.1065, -0.1968, -0.6319, -0.2366, -0.3149, -0.7398, 0.0019, -0.1715]","[1.0944, -0.0659, -1.0649, 0.0728, 0.3229, -0.4292, -2.0583, -0.9144]",dt=2024-01,Titanium,16-96,0.905,2039,0.2201,60.3614,50596,"$616,410,259",38-51,Thomas,4.8243,11.61%,0.4713,VP Engineering,0.4437,20188,5066.4268,-29.2%,11.0587,"[8.73, 94.11]",2025-07-25T05:17:35Z,36-69,-6.8612,15-91,5369,8.8725,30.75,"$4,811,585",19.2291,BP 108/83 HR 60,521,"[-0.2676, -0.5497, 0.2508, 0.7199, -0.016, -0.6836, 1.3585, 0.1332]",2.17
