tenant_ident,RANK_RATING,EVENT_NAME,MARKET_VALUE,channel,paymentMethod,x_334,measangle,age,PASSWORD_HASH,cryptocurrency_address_raw,TEMPERATURE,xfigju40,uptime_availability_6,TYPE_CLASS,latitude_6,EXCHANGE_RATE,retentionPolicy,DISTANCE,PERCENTAGE,d_exch,population,flowRate,d_380,v_mg,frequency,legal_entity_identifier,src_histogram_bin,flag,revenue_sales_6,tenant_identifier_data,kbnud29,dim_scor,measlen,measconc,categ,BUDGET_ALLOCATION,tradesec,gtin,dateval,meastemp,BRAND_NAME,meta_tbbg,PH_LEVEL,val_570,attr_ignx,photo,frequency_2,flight_number,dim_weigh,measdist,customer_longitude,f_dy,v_450,SKU_PRODUCT_CODE,APPROVAL_STATUS,atm,pohsjo94,proximity,period_interval_6,count,COUNT,last_name_field,col_258,product_name,c_828,HUMIDITY,col_677,fact_column_field_name,ARTWORK_CREATIVE_WORK,SOUND_LEVEL,DENSITY,measvolt,user_record_type_discriminator,landmark,databaseConnectionString,latencyResponseTime,orlkd11,defval,routing_number,awardName,measdens,f_52,BANDWIDTH_DATA_RATE,user_biography,upstream,val_406,attr_271,percent,budget,insert_time,measdb,longitude_6,PRODUCT_NAME,ELEVATION_ALTITUDE,sbsoqc35,PHONE_FORMAT_PATTERN,score_index_22,MEAN_AVERAGE,bearing,x_ipho,gtin_2,segment,length,p_614,f_180,v_passp,measarea,age_2,measph,FREQUENCY,cpuUsage,rjuxzp45,noise,meashum
tenant-048,76,Data Conference 2021,"$673,849,783",Chat,ACH,Stadium,326.2,112,$2b$12$Rf265NDh2nyBwhTx2TfFlRuWQpskWHnNjpU7xrJCNcPabWBN5BzLH,0x1b200b95c6a4e9d16ab54337f32d35c0bfd32dba,44.1,Brave New World,99.1835,Enterprise,-64.89499,34.6133,7 days,5313.8,85.8%,75.7337,2959713,416.79,1864 shares @ $180.11,451.9,4564.79,WS2VVY54WMRJAA79VF66,22.33,pending,"$9,212,366",tenant-002,184.1,9.3,684.43,272.66,Services,"$4,249,814",[CONFIDENTIAL] Formula #673,1206812212526,2026-03-16,8.2,SmartChoice,30 2 * * *,4.03,530,0.33,photo_562a33cc.jpg,7958.76,BP3986,675.09,7724.5,77.676304,101.7,0.0627,LJB-4814,Approved,1006.7,1029.3,4330.1,FY 2025,42298,95967,Rodriguez,"$651,166,497",FlexPay Platform,"$3,910,720",47.8,SmartChoice,name,The Scream,39.7,12.825,65.0,delete,Central Park,postgresql://user:****@db-staging.internal:5432/analytics,1065,45.0,'',695290584,Innovation Award,8.577,41010.6,2040,Logan is a CTO with 27 years of experience.,curated.orders -> reports,NanoCore SDK,49.32,209.65,"$3,050,682",2025-12-04 11:19:22,12.4,128.182616,DataSync 3000,5930,98.5904,+44-XXXX-XXXXXX,1.79,35.4681,316.86,2560x1440,0522141277135,Food,909.01,5095456,^[A-Z]{2}\d{6}$,O83760727,89919.0,95,8.39,7574.15,10.0,50 8 * * 1-5,12.5,76.3
tenant-001,50,Annual Conference 2025,"$920,448,944",Chat,Credit Card,Stadium,184.75,63,$2b$12$bJMAOewBs9E9n6r4GtpTUdlhIvJMdVEX1X5BTsdPRRVtMANt0WO89,0x22774f25396be63da95c062e96107de80838fd1a,7.8,1984,99.1798,Premium,63.899073,119.7882,indefinite,4011.9,47.45%,2.931,5941799,524.28,1712 shares @ $201.58,257.0,6611.82,DSL5IRI1AWAYNMFLEM1O,96.01,inactive,"$238,664",tenant-043,456.7,9.94,781.38,598.35,Hardware,"$1,226,508",[CONFIDENTIAL] Formula #280,1963853839368,2025-05-28,28.7,EcoLine,24 10 * * 1-5,2.92,3933,4.67,photo_eafbcc76.jpg,404.14,SV8274,988.53,1918.5,-117.106797,570.2,9.6189,AAP-9729,Rejected,1008.5,1492.9,6108.2,H2 2023,15409,85377,Jones,"$612,698,745",VaultKeeper,"$3,981,891",73.9,SmartChoice,amount,The Scream,104.4,11.361,164.4,snapshot,Big Ben,postgresql://user:****@db-staging.internal:5432/analytics,3542,341.4,CURRENT_TIMESTAMP,315381822,Gold Medal,5.543,15025.3,8813,Harper is a VP Engineering with 5 years of experience.,staging.events -> reports,VaultKeeper,3.53,472.13,"$1,835,066",2020-09-15T21:21:46Z,65.1,-66.106833,DataSync 3000,5810,97.5222,+44-XXXX-XXXXXX,9.47,-40.7696,116.68,1280x720,2032087233754,Software,387.02,1899072,"\b\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}\b",I18334371,68536.2,84,10.92,3646.09,66.1,"50 7 * * 0,6",38.4,31.8
tenant-031,67,Data Conference 2024,"$991,547,707",Chat,Wire Transfer,Stadium,278.55,98,$2b$12$UYABBUONKwwaXAl8XrCud4aAZxgRiE6mgt7fRNrHL97RYOMyhbPrJ,0xa5de6a399d414e5dd820fc778e119ed9db4688a4,46.0,1984,98.6761,Trial,-8.198135,109.1718,7 days,9301.1,13.94%,60.18,8066922,81.88,3347 shares @ $112.56,148.5,7393.85,K7BWDDGF0WGZUVOUK933,38.36,inactive,"$1,912,616",tenant-049,119.6,6.2,547.24,332.44,Clothing,"$2,470,221",[CONFIDENTIAL] Formula #879,3590119447815,2025-08-31,-39.8,SmartChoice,34 1 * * *,0.66,945,9.21,photo_f8d961f1.jpg,9928.03,LX6372,384.42,5150.8,-80.910128,269.6,1.8307,APM-8967,Approved,1070.8,887.2,4588.5,2020-2025,38242,41879,Clark,"$458,320,922",AuditTrail Plus,"$3,017,133",22.5,ValueMax,created_at,Water Lilies,118.1,19.859,462.1,upsert,Big Ben,postgresql://user:****@db-prod.internal:5432/analytics,4414,348.1,CURRENT_TIMESTAMP,686980678,Gold Medal,6.932,68470.6,8744,Jessica is a VP Engineering with 12 years of experience.,staging.orders -> exports,Sentinel Monitor,99.78,111.99,"$1,229,079",2020-03-09T09:15:45Z,46.9,88.554076,AuditTrail Plus,1872,96.1425,+44-XXXX-XXXXXX,7.66,38.6587,208.0,3840x2160,4576897798948,Hardware,795.2,2436135,^[A-Z]{2}\d{6}$,H62738260,55210.1,90,4.88,4745.53,57.9,"2 3 * * 0,6",10.0,17.2
tenant-020,73,Annual Forum 2024,"$799,900,069",Email,ACH,Stadium,260.59,76,$2b$12$JQjigoG22sCsTjVgn2Mw9DGp5sl3mm2f5kFumwCoIFbOpTdfSlpdN,0x5363a84a3a4acd5a37c2e4060f69c2b1193e878f,5.2,To Kill a Mockingbird,95.7682,Free,-54.183256,128.3664,30 days,3099.7,59.84%,93.7561,4593540,860.27,3997 shares @ $35.37,107.6,53.72,LGHEI7KD2N7220ZLLACT,12.97,pending,"$1,730,053",tenant-038,179.1,2.64,671.22,984.2,Clothing,"$3,797,415",[CONFIDENTIAL] Formula #797,6126227212766,2021-03-22,-29.3,ValueMax,38 16 * * *,7.75,211,8.71,photo_2a5ba7e7.jpg,3430.05,CA7380,723.57,695.5,-74.254165,291.2,3.2764,VAI-9310,Rejected,1315.0,1071.9,1965.2,Q1 2024,29932,75521,Rodriguez,"$429,256,563",FlexPay Platform,"$3,749,481",39.5,EcoLine,status,The Persistence of Memory,22.7,17.376,345.4,insert,Golden Gate Bridge,postgresql://user:****@db-staging.internal:5432/analytics,620,428.6,0,333055476,Excellence Award,7.759,53429.3,91,Mary is a CTO with 10 years of experience.,raw.users -> reports,NanoCore SDK,55.52,686.94,"$2,624,824",2025-11-22 13:11:47,72.9,-24.069368,NanoCore SDK,1813,99.3632,+1-XXX-XXX-XXXX,8.83,39.6316,209.79,1280x720,0319974210308,Food,65.46,3837839,^[A-Z]{2}\d{6}$,F24527656,38687.6,81,1.93,6063.15,5.0,20 16 * * 1-5,58.4,83.6
tenant-004,66,Tech Summit 2024,"$509,320,383",Email,Cash,Conference Hall,305.63,8,$2b$12$mdK2LmFPt7YSPeaqn96LsykUbmp3yXvuIuaof62UuI4gMkSkRImyP,0xdcefb91499e5a3e6b723a45a67653ce9ade2bd19,11.2,To Kill a Mockingbird,99.1298,Basic,-24.33524,94.2046,7 days,8170.6,12.98%,5.1236,6619188,458.01,580 shares @ $149.2,290.3,1258.51,40RMRFNUHWN4L5ZMALW9,17.62,active,"$870,179",tenant-029,415.9,8.01,343.08,321.91,Electronics,"$3,717,102",[CONFIDENTIAL] Formula #706,2611726889578,2019-06-25,-5.0,TechBrand,45 14 * * *,10.47,3325,7.76,photo_1cd1093c.jpg,9763.26,JF3167,278.39,4636.0,134.36841,231.1,0.4019,PHA-8836,Rejected,121.0,1503.5,4858.7,Q1 2024,56997,18148,Thompson,"$446,445,658",StreamLine ERP,"$1,414,284",83.9,EcoLine,email,The Scream,118.0,8.172,80.1,update,Eiffel Tower,postgresql://user:****@db-prod.internal:5432/main,2791,63.4,'',550692206,Gold Medal,18.712,10415.4,913,Michael is a VP Engineering with 4 years of experience.,staging.users -> analytics,FlexPay Platform,34.09,606.09,"$295,175",2020-04-26T12:42:49Z,18.6,169.304759,CloudGuard,1686,99.5791,+44-XXXX-XXXXXX,9.55,-17.3972,213.31,2560x1440,4503493163913,Electronics,573.84,6756102,^\d{3}-\d{2}-\d{4}$,F80030065,310.4,37,1.99,1176.61,90.1,"26 15 * * 0,6",78.9,15.2
tenant-043,75,Tech Forum 2025,"$240,653,722",Phone,Cash,Amphitheater,127.07,32,$2b$12$G3q92FCOgEmUOGLfFdlUWHxRAeCr1zA0VdhQCBt5us0woejzVmUtr,0xba2db2de2d988cfa2f06383ca6372e9fa38aaae3,-38.0,Brave New World,99.3336,Trial,2.247556,120.8069,indefinite,2339.2,51.32%,142.7484,2256964,292.15,2492 shares @ $457.22,474.4,8125.55,CYVBI6HYV4D2MLKTMES1,14.83,rejected,"$6,341,088",tenant-021,95.2,2.98,788.08,933.19,Electronics,"$2,675,041",[CONFIDENTIAL] Formula #986,7364924037165,2020-04-04,2.9,SmartChoice,49 14 * * *,0.25,3460,6.53,photo_2167ad05.jpg,3295.85,OY7195,195.63,4985.9,34.824017,1999.2,2.5343,YWW-2066,Pending,1292.0,1008.0,6321.8,Jan-Mar,77073,7626,Lee,"$356,274,148",NanoCore SDK,"$480,921",32.7,SmartChoice,id,The Persistence of Memory,100.3,4.884,107.0,snapshot,Eiffel Tower,postgresql://user:****@db-prod.internal:5432/main,476,477.0,0,941302856,Gold Medal,1.716,93345.9,1662,David is a Product Manager with 4 years of experience.,curated.users -> exports,FlexPay Platform,29.27,46.66,"$2,984,364",2023-05-14T20:31:22Z,5.0,-47.045085,SmartHub X1,375,98.1754,+44-XXXX-XXXXXX,0.21,-64.0629,189.66,3840x2160,8141880622092,Hardware,602.55,4187694,^\d{3}-\d{2}-\d{4}$,R48042127,48713.8,69,12.7,120.51,84.1,20 5 * * 1-5,124.9,90.5
tenant-018,10,Global Forum 2026,"$899,333,553",Phone,Debit Card,Conference Hall,119.24,48,$2b$12$HCPpDJGlpu9yLpt3ISzFHaC3n51Xhcy5wOjhntKFtXBPfP21EHqW9,0x14fb9002339419c0ba70935b768e5510ea8aed86,3.7,1984,99.0841,Standard,12.949573,105.9753,7 years,8688.1,40.84%,10.5114,4218922,713.41,4478 shares @ $450.5,398.7,7062.65,020V22EJ75GYNVGP446O,39.81,inactive,"$2,568,047",tenant-044,212.6,4.09,618.53,954.82,Food,"$405,356",[CONFIDENTIAL] Formula #476,1121555719005,2025-04-21,-36.6,ValueMax,"51 9 * * 0,6",11.03,89,5.98,photo_3517a64f.jpg,6451.76,XF5305,944.07,3260.2,-49.569728,1273.4,0.4681,RKB-1318,Pending,518.3,1976.6,4419.0,Jan-Mar,91676,160,Williams,"$49,922,172",VaultKeeper,"$4,007,158",70.5,SmartChoice,type,The Scream,9.3,15.501,435.4,snapshot,Statue of Liberty,postgresql://user:****@db-prod.internal:5432/main,4437,448.6,'',274476666,Excellence Award,10.023,22899.7,8999,Jennifer is a CTO with 11 years of experience.,raw.orders -> reports,SmartHub X1,13.2,265.79,"$4,509,262",2024-11-04T09:45:29Z,116.0,112.118395,SmartHub X1,6171,99.1296,+1-XXX-XXX-XXXX,5.4,-21.6578,158.04,1280x720,2272929867281,Food,847.9,8877428,^[A-Z]{2}\d{6}$,T84870916,72756.5,61,7.49,7779.84,56.9,"33 9 * * 0,6",85.8,47.3
tenant-043,51,Annual Expo 2021,"$754,807,098",Chat,Debit Card,Stadium,114.84,78,$2b$12$nzz2gwXJnZxeIP6fexeM76kyL3rcnD7aeUxraAjjbC1ZxY6Qt2U1S,0xab4a77b2109f47003de8d71c0afdd223c395b3f5,22.3,To Kill a Mockingbird,95.6692,Free,-15.476467,99.6794,indefinite,6500.9,27.48%,67.8754,326993,239.14,2665 shares @ $113.98,2.9,3536.29,HBBJI9NMWK5UTR9KF82N,36.75,pending,"$1,877,092",tenant-030,2.6,0.02,776.99,601.88,Hardware,"$2,776,119",[CONFIDENTIAL] Formula #535,4893585451974,2022-12-12,-0.1,SmartChoice,"50 14 * * 0,6",4.75,3608,0.88,photo_8dcd550c.jpg,1184.25,WH4617,328.94,2512.8,-41.322878,1306.8,7.6698,GEN-8485,Rejected,469.7,1448.9,951.2,FY 2025,5240,11102,Moore,"$916,914,913",CloudGuard,"$4,646,974",43.0,TechBrand,status,Water Lilies,114.7,18.068,68.1,update,Statue of Liberty,postgresql://user:****@db-staging.internal:5432/analytics,2246,406.1,'',956881808,Employee of the Month,17.361,21749.2,1202,Aiden is a Sales Rep with 16 years of experience.,staging.orders -> analytics,StreamLine ERP,69.99,902.16,"$1,803,177",2026-04-21T13:40:28Z,5.1,-69.520444,CloudGuard,712,97.0632,+81-XX-XXXX-XXXX,2.15,-32.2261,274.48,1920x1080,0328221990211,Clothing,640.57,2685221,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,Y98292249,40169.4,92,1.66,5125.68,89.7,"23 2 * * 0,6",61.2,88.5
tenant-028,50,Data Forum 2022,"$937,786,923",Web,Wire Transfer,Convention Center,281.48,37,$2b$12$rvkjVfwLLxA2MMuxi4TevuDmwWYJKgDfOYEgEFhxyKZzd7s2ggZMy,0x5345e2f47836d1d6795f8536ea0193b6f600be0a,1.5,1984,96.0033,Premium,56.808994,60.8666,7 years,6204.3,9.67%,63.8931,3721813,517.28,1599 shares @ $431.3,212.4,4550.55,CPIFNSDRUYV2JT8VTQ4E,12.08,cancelled,"$4,678,100",tenant-015,8.7,7.01,277.89,914.4,Services,"$26,992",[CONFIDENTIAL] Formula #695,5680675222883,2025-02-14,21.9,SmartChoice,0 7 * * 1-5,12.32,2767,6.52,photo_83f7d316.jpg,3374.17,MF9982,139.22,1161.9,-73.815007,1749.0,0.3707,JLC-5066,Approved,1919.0,113.8,5590.8,FY 2025,52536,49682,Lewis,"$598,747,178",DataSync 3000,"$150,309",70.2,ProSeries,amount,Water Lilies,34.3,18.79,281.7,insert,Statue of Liberty,postgresql://user:****@db-staging.internal:5432/analytics,3664,34.9,0,633975682,Innovation Award,12.906,34189.5,7814,Lucas is a Designer with 6 years of experience.,staging.users -> reports,Sentinel Monitor,19.78,289.29,"$3,869,227",2021-07-22T10:34:03Z,15.1,-134.224182,FlexPay Platform,8525,95.0147,+44-XXXX-XXXXXX,5.24,69.9254,341.09,1920x1080,8138028843068,Electronics,967.76,4854374,^[A-Z]{2}\d{6}$,I37214883,80662.7,108,1.68,5011.71,92.0,54 16 * * *,53.9,15.3
tenant-004,91,Annual Conference 2026,"$672,441,221",Chat,Credit Card,Amphitheater,217.02,109,$2b$12$LPQG2Aw430m7l46NTKXolSIq6QSTUqEZkPDzWIL27txnfHAZnx2RM,0xddff0420d6e12c3b83810c86272fdbf0c5999830,6.9,1984,97.2857,Basic,-49.18339,63.3615,7 years,7101.2,3.99%,130.8032,9057795,555.98,3153 shares @ $459.98,78.0,8430.57,YMFZINFI9ZTT1VE9ZAVB,7.16,failed,"$7,223,592",tenant-040,410.3,8.14,289.48,385.42,Clothing,"$441,168",[CONFIDENTIAL] Formula #458,4127850015896,2020-01-03,22.5,ValueMax,22 7 * * *,1.78,565,5.9,photo_abd71129.jpg,2676.47,ZG9471,264.11,7951.1,-95.410714,517.3,2.3826,TJJ-5752,Rejected,187.0,395.9,3182.6,FY 2025,3801,74197,Jackson,"$775,573,069",CloudGuard,"$2,067,762",39.1,ValueMax,email,Starry Night,6.3,5.52,203.7,snapshot,Central Park,postgresql://user:****@db-prod.internal:5432/analytics,2570,333.9,null,342430044,Excellence Award,6.939,52506.0,2369,Linda is a Designer with 16 years of experience.,staging.events -> exports,FlexPay Platform,83.61,339.65,"$4,296,430",2022-04-01 03:31:49,106.5,109.070874,StreamLine ERP,702,99.5164,+1-XXX-XXX-XXXX,2.69,17.5152,67.4,2560x1440,7032064839530,Electronics,104.05,8841682,^[A-Z]{2}\d{6}$,E82153638,49641.4,14,3.98,7547.24,58.9,"29 22 * * 0,6",123.2,98.5
tenant-003,1,Annual Forum 2023,"$423,915,672",Web,Cash,Convention Center,29.71,115,$2b$12$aTH7UCjJkB4hVr8ACpwjMinaEtyB89NYkLo8qdq4KNCx9RJZiXAZ4,0x77eb5a87e6f2c95a48f2641b804cee8c0029b37c,19.9,1984,96.5136,Premium,2.42727,45.7692,7 years,4249.4,45.95%,55.1412,1766175,959.01,4370 shares @ $226.91,101.4,6171.38,D1SJ1Z339A68TKC2APPJ,4.48,rejected,"$3,924,139",tenant-020,134.8,9.41,305.71,1.75,Electronics,"$4,717,631",[CONFIDENTIAL] Formula #293,0290214114782,2022-02-08,-35.4,SmartChoice,8 17 * * 1-5,9.71,3654,1.67,photo_67414ead.jpg,6583.95,YG4961,175.36,6370.0,-126.987291,552.2,9.9671,OPM-4939,Approved,1906.3,268.9,7501.2,FY 2025,64546,29627,Anderson,"$352,183,959",StreamLine ERP,"$1,181,040",94.5,ValueMax,type,The Scream,13.5,3.188,217.5,snapshot,Big Ben,postgresql://user:****@db-staging.internal:5432/analytics,2796,356.0,1,051424028,Employee of the Month,8.694,55209.1,7202,David is a Product Manager with 12 years of experience.,curated.events -> analytics,SmartHub X1,67.27,318.15,"$301,752",2018-01-10T13:38:15Z,88.5,-83.31996,SmartHub X1,4752,99.4028,+81-XX-XXXX-XXXX,7.88,-12.5272,255.84,1920x1080,3577079128191,Hardware,856.85,3839678,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,H92917952,10362.2,70,5.03,9194.52,80.2,39 0 * * 1-5,129.5,22.3
tenant-038,26,Tech Summit 2020,"$29,388,446",Social Media,ACH,Convention Center,306.69,104,$2b$12$WUJgqAvyfmXYkqMScLI7BJakpRmEfspv1X2oXkYfiZ3uQpkQW5q2g,0x28475c94338ee08a26687189835e6c0f5fd50cdf,48.1,The Great Gatsby,96.3325,Basic,-21.005301,62.8747,30 days,6263.2,8.58%,36.3696,4276724,884.08,4610 shares @ $68.6,364.7,1783.38,NN97NHG4F8EUO18ZDUYB,55.71,cancelled,"$9,757,269",tenant-008,114.0,2.82,111.4,86.47,Services,"$2,392,713",[CONFIDENTIAL] Formula #985,8495132604084,2023-01-06,-26.5,TechBrand,"44 3 * * 0,6",9.34,2827,2.63,photo_99aa3b64.jpg,8864.73,YJ6848,84.89,6181.0,117.547388,1734.9,2.3955,EKS-3983,In Review,344.5,637.8,7715.2,2020-2025,31263,3241,King,"$540,811,237",AuditTrail Plus,"$4,467,677",62.0,ValueMax,id,Starry Night,75.3,15.682,119.2,upsert,Eiffel Tower,postgresql://user:****@db-prod.internal:5432/analytics,1559,135.2,'',920263982,Gold Medal,17.632,44841.0,9362,Aiden is a Sales Rep with 24 years of experience.,staging.users -> exports,SmartHub X1,31.17,475.19,"$2,242,062",2022-06-03T08:42:30Z,29.1,-91.966166,CloudGuard,-74,98.4223,+1-XXX-XXX-XXXX,8.2,-11.2946,232.08,2560x1440,7150206098884,Electronics,177.61,2983635,"\b\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}\b",X61114692,87613.6,60,7.78,8851.5,90.2,40 2 * * 1-5,50.2,70.1
tenant-038,38,Annual Conference 2024,"$213,292,987",Web,Debit Card,Convention Center,191.69,60,$2b$12$HJhCJN7ZAEzhnLVRr44dkyw5GY0r4PL5iS3vbCOgaU5kNK35oYK4s,0x2b5b85587e5652d12d8222e3524caf3aacfe1d66,-37.2,1984,99.7686,Enterprise,26.778887,64.5014,indefinite,3994.8,49.87%,145.1348,6569608,462.71,3076 shares @ $59.56,14.7,7351.17,WHC16NUSFY6633KZIR28,33.77,inactive,"$257,709",tenant-005,82.2,9.9,401.71,95.77,Software,"$3,395,730",[CONFIDENTIAL] Formula #990,1679752155722,2024-02-12,-30.2,EcoLine,"24 12 * * 0,6",6.66,1370,4.02,photo_eb6177c2.jpg,503.93,TQ5028,926.08,4626.6,-123.268197,878.4,0.4075,PPK-4901,Pending,1220.6,1319.7,5327.5,H2 2023,23575,56780,Anderson,"$557,026,881",DataSync 3000,"$660,245",87.2,SmartChoice,email,Starry Night,90.1,15.458,335.3,insert,Central Park,postgresql://user:****@db-prod.internal:5432/main,1096,338.9,'',637423717,Employee of the Month,10.485,58116.0,7387,Robert is a VP Engineering with 17 years of experience.,staging.events -> exports,FlexPay Platform,42.01,808.99,"$1,053,440",2021-12-01T14:20:27Z,33.2,-136.201516,CloudGuard,8647,99.2219,+81-XX-XXXX-XXXX,3.09,-94.7834,252.59,2560x1440,1654454296485,Software,582.54,1216798,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,Y71692357,10222.9,31,9.38,7499.16,4.1,4 13 * * 1-5,3.6,28.3
tenant-034,72,Data Expo 2024,"$44,009,096",Chat,PayPal,Stadium,21.99,80,$2b$12$s57al44JBOER7tL8bLXckhM2y4gSEQKw8MT9StBPkuTOA3mz9vCXG,0xd0b8bebc2ed9c2a0f1b52b8ad7841dee1517c8a6,12.5,Brave New World,98.7895,Standard,-48.748483,24.6604,indefinite,9610.4,95.41%,13.5655,4215985,970.89,808 shares @ $317.62,368.8,4638.71,MKV4OQ4CAWNW5EGOKTKE,93.73,inactive,"$942,699",tenant-011,127.2,9.76,989.1,249.38,Services,"$4,618,615",[CONFIDENTIAL] Formula #153,3428715368447,2018-01-21,16.5,ValueMax,56 8 * * *,1.29,4626,1.68,photo_c6f237db.jpg,590.59,QD7800,735.09,5805.7,-80.918283,986.2,8.3562,TMA-6121,Approved,1297.9,62.1,7868.7,H2 2023,4942,14875,Johnson,"$481,014,365",DataSync 3000,"$1,064,723",92.3,ValueMax,created_at,The Persistence of Memory,82.2,13.105,18.7,snapshot,Central Park,postgresql://user:****@db-staging.internal:5432/main,2929,76.0,null,572872529,Excellence Award,2.891,91479.2,5066,Olivia is a Data Analyst with 16 years of experience.,raw.users -> reports,CloudGuard,14.08,67.81,"$81,558",2018-03-11 05:00:46,36.6,-8.972455,AuditTrail Plus,1550,99.43,+81-XX-XXXX-XXXX,0.88,29.4112,116.49,1920x1080,9060617602403,Hardware,374.31,6351428,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,V40563579,58077.8,74,6.44,9440.73,11.5,16 18 * * 1-5,98.3,41.9
tenant-005,26,Annual Summit 2022,"$277,453,696",Email,Wire Transfer,Amphitheater,101.1,30,$2b$12$gwhU5Splt0WCTW8ZYDlf5T1nJPiI598VpGWD5IDeymNBHMrjRcwHn,0xcf85e3e8c8af4a74569b3f25a2094e122e23550d,38.5,To Kill a Mockingbird,95.9546,Trial,8.818636,79.2057,indefinite,6651.3,7.34%,133.5436,972495,381.54,3199 shares @ $455.46,197.8,4724.48,T4IQSC3WVVCD0K76MMDK,19.07,active,"$1,879,060",tenant-044,118.2,6.92,163.93,47.74,Hardware,"$4,432,707",[CONFIDENTIAL] Formula #577,5840418284168,2022-11-01,-6.3,TechBrand,18 9 * * *,8.36,4353,6.41,photo_edf29ba6.jpg,4546.58,UA5646,975.29,9178.4,179.809897,945.8,3.0007,YTH-5919,Approved,1041.4,317.5,7608.7,H2 2023,87027,30786,Anderson,"$277,227,516",SmartHub X1,"$2,847,389",5.0,ValueMax,amount,Water Lilies,11.1,3.175,315.3,insert,Big Ben,postgresql://user:****@db-staging.internal:5432/main,3403,249.5,CURRENT_TIMESTAMP,650239836,Employee of the Month,12.131,87963.5,2045,Lucas is a Sales Rep with 12 years of experience.,staging.users -> reports,SmartHub X1,46.03,171.84,"$1,109,193",2023-11-03T12:51:54Z,117.8,-86.734566,AuditTrail Plus,8046,97.4492,+1-XXX-XXX-XXXX,2.74,77.8565,50.68,1920x1080,9833364966217,Electronics,966.69,6412593,^\d{3}-\d{2}-\d{4}$,W52724346,22789.8,44,8.52,7725.07,50.4,52 20 * * *,41.5,61.2
tenant-042,47,Annual Conference 2021,"$670,110,343",Mobile,ACH,Grand Ballroom,307.15,67,$2b$12$zUcpEQsnLEehYMOeDBE9Ledmp06GvpLOhuhUaQHMMC7PsULQESNqB,0xc552303423504123f1c370185b606e2c8dbc9fc2,-10.9,Dune,98.2337,Premium,23.998515,99.6048,indefinite,621.1,54.97%,59.0252,4425881,937.36,981 shares @ $402.83,397.7,7565.94,WC3PCMVVK3ZSD2IGSRK5,29.66,failed,"$2,211,660",tenant-015,139.5,9.24,562.0,93.9,Hardware,"$2,853,235",[CONFIDENTIAL] Formula #473,4852328844698,2023-04-04,38.6,EcoLine,"56 9 * * 0,6",3.23,2422,4.46,photo_eddc93e3.jpg,2995.15,AC7133,192.76,2631.8,-147.256556,429.1,2.5766,YZF-9562,Pending,1269.7,1632.6,8710.0,FY 2025,11894,56573,Martinez,"$899,447,235",Widget Pro,"$3,053,518",15.2,TechBrand,id,The Persistence of Memory,23.5,7.688,277.1,upsert,Eiffel Tower,postgresql://user:****@db-staging.internal:5432/main,295,440.4,0,492555303,Innovation Award,16.84,66505.3,8848,Emily is a Software Engineer with 5 years of experience.,raw.orders -> exports,FlexPay Platform,91.22,672.31,"$3,296,656",2024-08-13 05:35:15,87.5,-156.332801,Widget Pro,1171,96.6737,+1-XXX-XXX-XXXX,9.8,28.495,277.08,1280x720,1776424744544,Clothing,396.63,7353201,[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+,G71739246,71443.9,92,10.15,639.61,86.2,"40 6 * * 0,6",38.0,77.6
tenant-042,90,Annual Conference 2022,"$613,963,705",Phone,Check,Amphitheater,210.32,100,$2b$12$gYvzknGicbvpDD3HFuNUS5ZPGeKSdpVR3F2xYs8lpobqUfiHhbiXO,0x43b00a92767b406673ec68d3970b5649db917a2d,10.6,To Kill a Mockingbird,96.374,Basic,-80.646867,78.4378,30 days,8644.0,3.26%,125.6531,2662893,525.42,88 shares @ $151.26,197.3,67.36,NXZ0QFX8BW4U2KBSHZKN,89.3,completed,"$2,836,430",tenant-038,336.6,4.47,506.79,739.74,Electronics,"$1,145,807",[CONFIDENTIAL] Formula #354,1707456590457,2018-08-07,37.2,ProSeries,46 11 * * 1-5,12.48,843,8.85,photo_4843ce57.jpg,4352.1,IE1734,122.15,233.4,-100.487794,1602.5,0.2876,OFQ-2046,Pending,1498.7,703.5,7157.1,2020-2025,78865,12050,Robinson,"$297,391,503",DataSync 3000,"$3,385,420",12.0,ProSeries,name,Starry Night,48.4,18.685,191.3,insert,Golden Gate Bridge,postgresql://user:****@db-staging.internal:5432/analytics,3221,273.2,0,427665423,Employee of the Month,19.426,44389.7,8863,Lucas is a Designer with 20 years of experience.,curated.events -> analytics,CloudGuard,60.87,830.45,"$1,657,560",2024-03-03T23:15:30Z,108.0,-127.166541,DataSync 3000,6553,98.9618,+1-XXX-XXX-XXXX,7.68,25.3139,281.95,2560x1440,3638192348354,Services,698.9,1421070,^\d{3}-\d{2}-\d{4}$,F33353352,55018.9,38,13.7,9614.23,24.2,26 18 * * 1-5,6.5,65.9
