day_of_week_38,cronSchedule,apprvstat,CRON_SCHEDULE,monthval,gtin,ts,start_date,meascpu,date_time_info,col_bro,src_permission_level,month_number,x_51,day_of_week_v2,c_adv,meta_801,device_type,DATE,src_period_interval,ISO_CURRENCY_CODE,score_index,day_of_week,prescription_54,channel_info,scientific_name,dateval,END_DATE,dim_month,username,enddt,genericIdentifier,dim_153,x_glhl,f_664,user_event_name,START_DATE,user_agent,field_score,deviceType,date,dim_voiceprint,user_date,fact_end_date,SCORE_INDEX,field_angle,quarter,yearval,end_dte,DEVICE_TYPE,c_cooki,NUMERIC_RANGE,devtype,review_text,quarter_2,mjthkc73,maphxg27,dt,startdt,naics,file_path_field,lab_result_46,qft39,risk_level,date_info,end_date_info,vehicle_identification_number,insert_time,effective_date,iot,soft_delete_flag,index,customer_score_index,score_index_70,c_317,cronval,x_ea,vintage,val_jna,color,c_vnnk,x_ih,length,cron,mtr31,month_46,time_of_day,ynefvy1,x_yea,dim_dev,user_gender_pii,month,jvh26,var_bro,nullable_flag_field,date_2,dim_start_date,x_kvmj,channel,score_index_2,dev_type,QUARTER,val_euyv,attr_start,channel_2,passwordHash,CHANNEL,device_type_info,os,p_vw,DATE_2,field_ytc,x_hbg,DATA_LINEAGE,period_interval_38,wordemb,start_date_raw,timeOfDay,val_750,val_nzr,val_kww,period_interval_field,user_created_at,default_value,medium,start_date_2,digital_certificate_46,nxkzfp7,landmark_poi_54,dim_tta
Monday,"0 12 * * 0,6",Pending,11 21 * * *,November,9231952774393,2024-10-18T11:29:04Z,2026-05-04,57.6,2019-12-24T00:00:00Z,Edge,Guest,March,input -> output,Thursday,ADV-41FIQHRG6P,2019-07-26,Wearable,2023-09-25,Jan-Mar,EUR,1.6,Thursday,Ibuprofen 200mg,Social Media,C6H12O6,2020-10-06,2025-10-15,January,emily_davis431,2018-03-06,2f7d877f-d4bc-4baa-aee2-5457bbe03f79,2018-02-08,OM2R4V5A6JLBEAKNK,2018-12-08,Tech Expo 2023,2026-11-06,Safari,0.98,Desktop,2022-10-13,voice_a529d6220570e393.wav,2018-03-19,2025-09-17,4.88,274.17,Q3 2024,2015,2024-07-09,IoT,_ga=4070069936.4506443,41-69,Desktop,Average experience.,Q3 2021,https://example.com/users/e1f2fb9c/profile,4.66,2023-10-08,2023-02-01,745321,/var/config/daily_691.log,Hemoglobin: 274.8 K/uL,64-1534752,High,2018-12-21,2025-11-18,CDR3OLC985BIR18CP,2026-04-28T09:36:52Z,2026-01-18,Tablet,false,8.56,0.39,9.11,Eurostat,3 23 * * *,North America,2022,5.27,Green,2026-12-20,30 days,426.41,"15 9 * * 0,6",0xf1df0a6dc3947cec46295178f6cda87646e3aa69,January,08:47:52,September,2014,Tablet,Female,July,BILL-911055,Chrome,YES,2022-01-31,2019-11-22,40 19 * * 1-5,Phone,9.6,Mobile,Q1 2023,3742-3074-1924-3633,2024-11-03,Mobile,$2b$12$BMuxvjsktpzoOlWX4NTRvVcTZ3rjCNhkDzH1EZKoNo4VgUZkYmkfU,In-Store,Smart TV,macOS,5.74,2024-05-29,Email,Competitor Meridian Health launched DataSync 3000,curated.orders -> analytics,Jan-Mar,"[-1.5136, -0.7349, -1.6204, -0.6284, -1.538, -0.1067, 0.0072, -0.4332]",2024-03-24,13:54:05,Disabled,September,October,2020-2025,2018-07-24T19:54:30Z,1,Web,2021-01-02,"-----BEGIN CERTIFICATE-----
KC9rPXPlek2BYXDj2CJqF/KWtxoy3nX64ySNIvUyhOlibUULscpTxCN1sbfqsuHV
-----END CERTIFICATE-----",Smart TV,Big Ben,2020-08-30
Wednesday,7 13 * * 1-5,In Review,51 15 * * *,October,7636290152014,2026-06-14T14:03:31Z,2018-05-30,25.6,2020-08-13T00:00:00Z,Firefox,Admin,October,source_col -> target_col,Tuesday,ADV-DPO46XM4EJ,2020-02-29,Smart TV,2026-08-22,Jan-Mar,BRL,8.33,Thursday,Ibuprofen 200mg,Phone,E. coli,2019-11-08,2026-02-18,August,elizabeth_martin288,2018-01-02,67cf9052-b87a-475b-81b5-5834e456bbee,2022-10-19,UYSG996QAMJ856G3J,2022-04-15,Tech Forum 2021,2022-01-21,Opera,2.94,Tablet,2025-11-14,voice_3176b17d9b45fd2c.wav,2018-03-25,2025-09-29,0.27,127.08,Q3 2025,2016,2022-03-02,IoT,_ga=3073628413.1820421,9-77,Wearable,Average experience.,Q3 2024,https://example.com/users/a28e98ce/profile,6.45,2026-08-14,2026-01-17,298577,/var/config/batch_930.xml,Cholesterol: 228.4 K/uL,87-9904261,Critical,2022-06-04,2020-08-22,VTJPYB6DDJHLV2EFW,2023-11-23T12:39:05Z,2023-11-06,Mobile,false,1.18,2.17,3.92,Reuters,7 0 * * *,Asia,2008,4.81,White,2022-09-12,7 years,467.45,57 2 * * *,0xcd806c82599a85bf67ad154cb718907ed13b4638,May,14:08:10,February,2007,IoT,Other,January,BILL-675588,Edge,YES,2020-08-15,2018-11-09,"45 22 * * 0,6",Social Media,6.19,Tablet,Q4 2025,XXXX-XXXX-XXXX-6070,2025-02-01,Social Media,$2b$12$PLBdj6e0x5tYZGRH5JNVJK6AA23ZEkQsBT6xcqUTgT4SFSaFkFA0L,In-Store,Mobile,Linux,8.47,2025-10-06,Email,Competitor TechCo Industries launched DataSync 3000,raw.users -> analytics,2020-2025,"[0.0897, 0.05, 1.1512, 1.3507, 1.1347, 1.3494, -0.3347, 0.607]",2026-11-22,05:56:45,Active,August,May,Q1 2024,2018-12-17 23:31:24,null,Phone,2021-05-21,"-----BEGIN CERTIFICATE-----
Ra1tJdE3QBdtj0tO6D/A0R6MFj6DpyhAHDUCXhtsmfsuK56iVO2XWNghMejVSR1+
-----END CERTIFICATE-----",Mobile,Eiffel Tower,2018-05-18
Monday,41 2 * * *,Rejected,59 7 * * *,March,6197403022822,2020-04-06T15:05:54Z,2021-06-30,40.7,2024-08-24T00:00:00Z,Firefox,Viewer,April,field_a -> output,Tuesday,ADV-5NE347ZNAT,2025-11-25,Desktop,2019-08-03,Jan-Mar,JPY,9.61,Wednesday,Metformin 500mg,Mobile,Homo sapiens,2022-10-31,2026-02-06,March,jessica_martinez86,2019-10-24,927ac7c3-db35-46bb-a78b-4a4333e28ac4,2023-05-01,4I8R9AC7LXT6P24MW,2020-06-03,Tech Expo 2022,2024-06-06,Chrome,8.61,Tablet,2022-10-03,voice_662608f65c14d732.wav,2024-06-17,2022-03-04,8.43,151.77,Q2 2021,2025,2026-09-04,Smart TV,_ga=5661984654.2629882,16-51,IoT,Great product!,Q1 2024,https://example.com/users/5678a3d1/profile,9.2,2026-06-02,2020-01-28,300780,/var/logs/export_421.xml,Glucose: 211.7 mg/dL,75-3186602,Critical,2026-08-01,2021-04-02,DCK1Y489XRLQSD2B4,2024-10-07T12:35:32Z,2026-05-02,Smart TV,true,3.81,7.56,2.45,WHO,46 20 * * *,Oceania,1995,0.28,Gray,2019-04-07,1 year,679.32,7 10 * * *,0xade800ce27af16627e0d2c0a444f7158d6a86daa,October,04:24:46,September,2002,Tablet,Female,July,BILL-551818,Firefox,NO,2023-01-19,2022-06-19,46 8 * * *,In-Store,5.31,Desktop,Q3 2024,5305-7093-7026-9357,2021-10-06,Phone,$2b$12$3ytGqNHAR0Sx23aPsAMK4swSNDDERFwzynmY85JhTvrltkOpFwNur,In-Store,IoT,Chrome OS,0.32,2024-10-06,Web,Competitor Vertex Technologies launched FlexPay Platform,staging.users -> exports,Q1 2024,"[-0.2891, 0.3976, 1.4668, 1.1236, 0.1712, -0.0823, 1.1738, -0.7877]",2020-06-09,14:58:18,Active,December,February,FY 2025,2025-03-17T17:50:04Z,CURRENT_TIMESTAMP,Phone,2022-12-12,"-----BEGIN CERTIFICATE-----
4Wgj8AG4HFfzZtgTifctiTF5PQ40P5vlNHV+sRVtaqx8A0exFJpDEFaYZkaKmbIK
-----END CERTIFICATE-----",Tablet,Eiffel Tower,2019-12-11
Tuesday,"14 17 * * 0,6",Approved,22 18 * * *,April,0368493672759,2019-10-25T09:08:28Z,2026-01-22,48.0,2024-06-22T00:00:00Z,Safari,Viewer,March,field_a -> target_col,Thursday,ADV-54GK6R9WFU,2018-06-19,IoT,2024-10-31,2020-2025,EUR,0.17,Wednesday,Metformin 500mg,Mobile,E. coli,2018-10-12,2025-02-05,November,jennifersmith256,2024-04-03,bc90f098-5615-47b6-ad89-94ba5ebd7eaa,2022-07-03,OSX2ZO6GUIUOF0V1D,2018-05-18,Global Expo 2020,2022-03-09,Brave,7.62,Wearable,2025-04-29,voice_8f2ac2a45cac9903.wav,2026-03-16,2020-11-11,0.15,252.32,Q4 2026,2016,2019-09-11,Mobile,_ga=8214959095.4081795,49-68,Wearable,Average experience.,Q2 2020,https://example.com/users/b30a45cd/profile,1.2,2023-09-14,2019-11-26,181093,/var/config/batch_571.parquet,Glucose: 93.0 g/dL,32-9476612,High,2020-03-11,2020-05-18,5H841Q5SWHTL6LDMM,2019-06-20T13:39:33Z,2018-10-16,Mobile,false,2.62,5.75,9.72,Bloomberg,"26 9 * * 0,6",Antarctica,1995,9.02,Red,2024-04-27,indefinite,53.53,10 9 * * *,0x168813689e5b769bcc1aff44b97a67b2b6ec16fd,January,05:21:05,April,2011,Tablet,Non-binary,November,BILL-471597,Firefox,false,2024-04-18,2023-12-30,18 6 * * 1-5,Social Media,9.05,Wearable,Q3 2026,4861-8488-8899-2293,2024-12-04,Mobile,$2b$12$CQRjtI2uSG9Jrmqnrh4FlZhhHY34IqUuscEZN0v1cS1a6Ag06qaYj,Chat,Wearable,Chrome OS,5.63,2026-05-12,In-Store,Competitor Skyline Partners launched DataSync 3000,raw.events -> reports,Q1 2024,"[-1.6176, -0.3783, -0.477, -0.4498, 0.7204, 0.8407, -0.8003, 0.6198]",2024-02-07,07:27:45,Inactive,January,February,Q1 2024,2018-10-04 06:24:08,1,Social Media,2026-01-08,"-----BEGIN CERTIFICATE-----
aU9O7nJwNve9udHj+hpnuJIdBysLRcZbks+zPp/AVIpMh1TRDqdKJJ4lnU7VWgvY
-----END CERTIFICATE-----",IoT,Golden Gate Bridge,2019-10-30
Friday,"16 9 * * 0,6",Pending,57 9 * * 1-5,September,7667583622344,2021-02-07 07:28:10,2026-02-10,25.7,2023-02-06T00:00:00Z,Chrome,Editor,July,field_a -> target_col,Wednesday,ADV-A1PQSM1SLJ,2020-10-22,Wearable,2025-09-05,2020-2025,GBP,4.75,Sunday,Metformin 500mg,In-Store,Fe2O3,2022-08-04,2020-06-27,November,john.martin299,2022-07-10,f9f9367c-ab46-44c8-954b-6e3a0bf72b3c,2026-05-12,ER91F6WNNUZRZ9HSL,2021-08-14,Global Expo 2023,2020-11-18,Firefox,0.81,IoT,2025-08-02,voice_df665fc8be789e88.wav,2021-02-15,2023-11-11,6.0,260.5,Q3 2022,2005,2023-04-24,Desktop,_ga=4379923953.9280500,19-52,Mobile,Excellent service.,Q2 2022,https://example.com/users/56f7b327/profile,6.72,2020-03-26,2023-01-10,913737,/var/exports/export_629.json,Glucose: 126.1 mg/dL,28-9931232,Critical,2021-09-25,2026-10-30,ZS8J6O8ESN68WGMKT,2021-10-22T13:10:17Z,2026-05-26,IoT,true,5.19,7.65,1.95,CDC,"49 8 * * 0,6",Oceania,2004,2.85,White,2020-09-03,7 days,939.86,58 17 * * 1-5,0xf96d0be424ba5f7ce597771b96566ce07f3f75c1,December,16:04:46,November,1991,IoT,Non-binary,June,BILL-556727,Brave,true,2022-10-13,2022-11-08,16 4 * * 1-5,Mobile,3.99,Mobile,Q2 2022,XXXX-XXXX-XXXX-4593,2020-08-15,Chat,$2b$12$4CHTrusqd1kwix01bdYklIVnP8LgoPcgsav4XZFrrUcSzcpEuPMUQ,Mobile,Smart TV,Windows,5.75,2026-03-03,Social Media,Competitor Meridian Health launched Sentinel Monitor,staging.users -> reports,Q1 2024,"[1.0924, -0.0206, 0.0278, -0.3568, -0.659, -0.6242, -1.2232, 0.8842]",2019-02-02,07:49:48,Inactive,February,November,2020-2025,2022-07-13 03:10:49,'',In-Store,2022-01-18,"-----BEGIN CERTIFICATE-----
dTqD10eB5tLqUa8+3YZr4GyY/CSd76IR5g5zkKx03Q2ebr8Pvdz7YhAIi41xBMCl
-----END CERTIFICATE-----",Smart TV,Central Park,2026-11-28
Monday,"1 8 * * 0,6",Pending,26 5 * * 1-5,September,1382769891442,2019-11-01 10:54:07,2020-12-14,61.1,2019-05-26T00:00:00Z,Brave,Editor,February,input -> target_col,Sunday,ADV-O6O7OB4YEB,2021-11-22,Wearable,2023-10-26,Jan-Mar,CHF,3.26,Wednesday,Metformin 500mg,Email,E. coli,2019-08-13,2023-08-05,January,ethanlee158,2023-09-27,126c653f-e1b3-49cd-bf5e-84b4d15dd748,2023-12-14,QJBTWF4L2PBDK13R5,2024-01-25,Data Conference 2023,2024-08-23,Edge,1.17,Tablet,2026-04-30,voice_5e09b479dd9dafce.wav,2023-02-12,2024-02-07,7.89,115.14,Q2 2021,2020,2026-12-06,Tablet,_ga=9883589587.9370930,31-90,Mobile,Excellent service.,Q1 2025,https://example.com/users/f52ea715/profile,4.49,2025-01-17,2018-09-28,459426,/var/uploads/daily_950.parquet,Hemoglobin: 100.8 K/uL,33-1703509,Low,2023-01-06,2021-12-14,65YOBT5TYN5ACCB14,2020-06-09 10:59:36,2024-09-18,Wearable,true,6.45,7.2,1.94,CDC,20 23 * * 1-5,Africa,1994,8.55,Blue,2018-08-30,1 year,775.02,"37 10 * * 0,6",0x44dfad18b8fbfad81f83d861e61ab38dd8497b81,October,09:12:40,May,1993,IoT,Female,September,BILL-746405,Brave,true,2021-05-03,2018-10-22,"15 13 * * 0,6",Social Media,6.41,Desktop,Q1 2024,5710-2959-3185-9681,2022-11-02,Web,$2b$12$RSACkKSPoirN1D4zaN5cOpOUMHeViLqJwSsUosfz9tswOmmf947AU,Web,Desktop,Chrome OS,1.43,2020-03-08,Phone,Competitor Alpine Systems launched VaultKeeper,curated.events -> reports,Jan-Mar,"[0.6981, -0.3235, -0.2409, 0.7924, 1.183, -1.5717, -0.6974, -0.0937]",2022-11-24,03:37:48,Inactive,August,February,H2 2023,2019-11-20 15:49:27,CURRENT_TIMESTAMP,Email,2026-02-10,"-----BEGIN CERTIFICATE-----
2SuBQCMTvgjcA4IUHxKz5tsO6ZgXZINSQXBdfQDE8vBCLWLXWwx3daQiL4j+DnvN
-----END CERTIFICATE-----",Wearable,Big Ben,2019-07-26
Thursday,55 7 * * 1-5,Rejected,"17 21 * * 0,6",January,2906173373906,2024-11-13 15:20:32,2025-11-20,55.9,2024-03-13T00:00:00Z,Safari,Viewer,August,source_col -> field_b,Friday,ADV-PGYNWD8VVE,2021-08-24,Tablet,2019-07-26,Q1 2024,USD,8.64,Friday,Albuterol 90mcg,Email,Homo sapiens,2018-10-30,2020-11-24,August,harpertaylor475,2025-05-24,9eab10a6-cd36-4f4d-abd7-14dee5f516e8,2023-10-15,2NA7YRV5B88EX1LXG,2023-06-07,Data Conference 2024,2024-04-17,Chrome,7.84,Desktop,2020-02-05,voice_eb275b8597e2b55e.wav,2018-04-20,2022-05-13,2.43,129.87,Q3 2026,1993,2019-10-26,IoT,_ga=2144747219.4865028,12-77,Tablet,Not recommended.,Q3 2025,https://example.com/users/b3c0808a/profile,4.01,2020-01-12,2019-05-08,444094,/var/uploads/batch_512.parquet,Glucose: 73.5 g/dL,72-2775496,Critical,2026-07-05,2021-08-22,GJIBPH28C06PW2PJP,2024-09-22 20:30:47,2026-03-04,Smart TV,false,3.81,1.11,2.75,Census Bureau,25 0 * * 1-5,South America,1992,2.33,Brown,2026-06-05,7 days,174.94,28 11 * * 1-5,0xd40639b1474f972d68e18af6a2c52819dc1d5a6a,December,02:26:48,October,2012,Desktop,Female,March,BILL-532072,Firefox,NO,2019-10-03,2026-09-06,"23 4 * * 0,6",Web,8.0,Desktop,Q3 2023,XXXX-XXXX-XXXX-2640,2026-06-26,Email,$2b$12$XtGL0WkrwpvtAJimko8SjGPtU1aOU3wIN4CnXxYM3e0iA8AiTyy2T,Email,Desktop,macOS,3.68,2024-09-06,Social Media,Competitor DataCraft Inc launched FlexPay Platform,curated.orders -> exports,2020-2025,"[1.2083, 0.2627, 0.8547, -0.614, 0.5523, 1.0754, 0.2807, 0.8189]",2023-10-23,16:25:27,Inactive,December,May,2020-2025,2026-04-13 02:00:48,null,Web,2020-01-16,"-----BEGIN CERTIFICATE-----
3huEyrlzECIEjQEvx163AECC9iX/9pVfMZM+yIAFiqrNexWqt+PG6g/Pac1mRrV1
-----END CERTIFICATE-----",Wearable,Eiffel Tower,2026-10-19
Friday,"6 9 * * 0,6",Rejected,20 4 * * *,January,7501239417352,2018-10-04T22:47:14Z,2019-09-05,69.1,2019-02-02T00:00:00Z,Chrome,Viewer,January,field_a -> target_col,Thursday,ADV-ONM74RWQ5U,2018-06-23,Desktop,2022-10-05,2020-2025,EUR,2.52,Wednesday,Lisinopril 10mg,Email,Homo sapiens,2026-01-25,2024-03-10,May,william.thompson851,2022-07-10,b6695294-8c15-4b63-9047-9fafd33da1c1,2024-03-10,YGT74M5M32TATOHTT,2020-01-24,Tech Conference 2025,2018-12-20,Chrome,5.39,Tablet,2021-03-20,voice_36438b9ae9f96449.wav,2026-09-20,2020-04-07,9.13,344.46,Q3 2026,1995,2026-12-05,Wearable,_ga=1142406359.6563386,30-58,Tablet,Great product!,Q2 2025,https://example.com/users/050ebf36/profile,6.25,2019-01-18,2021-07-06,814316,/var/exports/export_364.log,Hemoglobin: 156.3 mg/dL,75-3924145,Medium,2021-09-12,2019-09-29,BN0GQIW7YUV4LMJVR,2023-05-18 09:07:20,2024-03-25,Desktop,false,0.56,8.15,0.16,CDC,15 22 * * *,Oceania,1997,3.56,Brown,2022-09-23,indefinite,984.17,28 20 * * *,0xf3936ea937bb33e081b89d2e24fbd0d315f58a3d,September,06:46:11,September,1997,Wearable,Male,October,BILL-848506,Brave,false,2020-06-14,2025-12-15,38 14 * * 1-5,In-Store,8.39,Desktop,Q4 2021,5408-9086-3040-2304,2025-04-06,Chat,$2b$12$pJ1YwzBgoyQRbtr5u7iY3ZKtreNMMuFTfR3MmBkbKEXULqDgkgla4,Mobile,Mobile,iOS,3.08,2023-02-21,Social Media,Competitor Quantum Dynamics launched Sentinel Monitor,raw.events -> exports,Q1 2024,"[-0.4413, 1.2756, 1.3604, 0.2049, -0.6171, -0.5548, 0.9397, 0.8347]",2026-03-02,16:13:12,Inactive,August,January,Jan-Mar,2020-07-05T08:13:07Z,CURRENT_TIMESTAMP,Mobile,2020-03-15,"-----BEGIN CERTIFICATE-----
mmT1AcFhsnDawSpbKWceQzzj/6CLrlz4KT4AX4zUA2l6z070IAA43iF6AWVwPwOo
-----END CERTIFICATE-----",Tablet,Big Ben,2020-12-07
Sunday,5 11 * * 1-5,Pending,56 1 * * 1-5,July,1738574859943,2019-11-26 09:57:53,2026-10-08,87.5,2019-09-14T00:00:00Z,Chrome,Admin,August,source_col -> output,Wednesday,ADV-F2VD0DXL21,2025-01-26,Tablet,2018-03-14,2020-2025,CNY,1.32,Monday,Omeprazole 20mg,Mobile,C6H12O6,2025-03-23,2019-05-02,December,sophia_lee739,2023-05-14,0bdc88f1-470d-4d30-ae60-b79b186e5b53,2018-05-31,QGYA27H6PLST4YYIC,2026-09-16,Global Forum 2026,2026-08-13,Edge,0.46,IoT,2018-08-04,voice_7fa10b0779ac26d5.wav,2021-10-03,2025-03-10,8.97,311.55,Q1 2025,1990,2020-08-21,Wearable,_ga=9462998727.7726205,48-82,IoT,Average experience.,Q4 2025,https://example.com/users/88c1ebd4/profile,0.17,2023-08-14,2022-04-21,715385,/var/uploads/export_340.log,WBC: 252.0 g/dL,21-5778567,Negligible,2020-10-09,2020-09-24,RM11144C69MXNPTMW,2023-05-15 23:33:25,2018-10-02,Desktop,true,2.6,4.32,1.78,CDC,11 23 * * *,Africa,2005,1.02,Orange,2025-06-23,7 days,470.42,39 13 * * 1-5,0x691f194afeafb20517acc292bf33ff0c2b7e9fc1,May,08:24:47,February,2015,Wearable,Male,January,BILL-695443,Safari,true,2022-07-11,2025-01-02,"39 20 * * 0,6",Email,2.87,Smart TV,Q1 2023,6011-1196-2811-3996,2019-03-12,Phone,$2b$12$S8uswOZS8x1uSaUz54IMrCyYtKqbazoWxQDUYxGi4RHCHET5Gj3Mv,Web,Tablet,Chrome OS,7.71,2018-10-09,Chat,Competitor Meridian Health launched VaultKeeper,staging.users -> reports,FY 2025,"[-0.3557, 0.8375, -0.1991, 1.1462, -0.6518, 0.4608, -0.5165, -0.491]",2026-02-01,18:19:33,Active,May,December,Q1 2024,2026-02-09T08:45:01Z,false,Phone,2026-12-24,"-----BEGIN CERTIFICATE-----
zyUUChJTWcayu0EKixp1rI3WUGMUjkSp2cXW+0q0zr2+FRsR8GTTk0AhO94nQKzU
-----END CERTIFICATE-----",Tablet,Eiffel Tower,2019-06-16
Tuesday,21 9 * * 1-5,In Review,"32 12 * * 0,6",March,3784327374548,2021-07-12T06:34:47Z,2019-07-02,62.2,2018-09-01T00:00:00Z,Safari,Guest,January,input -> field_b,Saturday,ADV-2V1XQSUFVG,2018-01-17,Tablet,2025-04-22,FY 2025,AUD,6.77,Friday,Albuterol 90mcg,In-Store,Homo sapiens,2022-04-02,2023-02-19,June,amy_miller751,2021-05-13,cf2a3875-ec76-4973-8de5-dc46fafa8ca9,2024-02-18,5MYQ3YGNSA03U9RZH,2018-05-16,Annual Conference 2022,2024-05-01,Chrome,9.3,Mobile,2020-11-12,voice_8982f87f51486ba6.wav,2025-01-12,2019-10-06,8.62,334.09,Q2 2025,1995,2019-11-11,Smart TV,_ga=1618505398.2266166,32-84,IoT,Excellent service.,Q2 2021,https://example.com/users/ce1879b0/profile,0.61,2021-08-17,2020-06-22,587198,/var/data/daily_417.csv,WBC: 216.4 g/dL,98-4886906,Medium,2019-12-28,2020-02-19,MO6F3HF4J5BCMQ6RU,2020-12-28 11:08:42,2024-11-19,Smart TV,false,3.02,5.38,8.46,CDC,"44 0 * * 0,6",North America,2000,4.25,Blue,2022-07-22,7 days,755.28,0 0 * * *,0xc1cda65f81259018fd1a96f98a7b66b755b4d025,May,20:21:07,August,1990,Wearable,Female,June,BILL-300846,Firefox,false,2022-08-10,2026-02-08,26 3 * * *,Chat,0.44,Smart TV,Q2 2023,XXXX-XXXX-XXXX-9957,2026-10-01,Mobile,$2b$12$xV9edUvq8lgbNSVNyCfSuBpxEeklUeSH5C2bdueVdpw69SaD6SgY5,Chat,Desktop,Android,3.35,2025-10-29,Email,Competitor Skyline Partners launched AuditTrail Plus,staging.events -> reports,2020-2025,"[-0.4568, -0.7504, 1.4062, 0.6358, 0.2765, 0.8473, 0.0482, -0.0032]",2024-02-25,05:49:48,Inactive,October,March,Q1 2024,2026-03-24T02:29:44Z,1,Email,2022-01-31,"-----BEGIN CERTIFICATE-----
3NNnNarGeHHaZOcUzgT/z0c5yX8Rl1fFin8rm9EGFpIsheB2s0Aysd41aH+CIKbs
-----END CERTIFICATE-----",Mobile,Golden Gate Bridge,2020-05-31
Monday,59 17 * * *,In Review,25 15 * * *,September,6644008491845,2026-10-12 15:07:26,2018-01-15,71.7,2021-01-08T00:00:00Z,Safari,Guest,April,source_col -> field_b,Monday,ADV-WXHBTLFUFB,2022-05-21,Mobile,2018-04-04,2020-2025,JPY,0.14,Thursday,Lisinopril 10mg,Web,H2O,2023-07-31,2020-12-25,February,sarah.smith944,2026-10-18,1ea8daf5-3920-4c73-a32b-ee58e25a5493,2018-01-18,J5CY5VFPH97HTPYFZ,2021-07-06,Tech Conference 2025,2018-01-01,Safari,7.61,Smart TV,2025-04-02,voice_42708e9db9533f8e.wav,2022-12-19,2025-12-30,7.39,193.4,Q3 2023,2020,2019-05-20,IoT,_ga=3035450112.1907256,5-86,Tablet,Needs improvement.,Q4 2022,https://example.com/users/15b25b2f/profile,9.99,2022-05-30,2019-08-14,333563,/var/logs/daily_656.parquet,Hemoglobin: 192.9 g/dL,33-5966742,High,2018-11-04,2023-01-07,S8H0559WBDUI8DMMW,2023-09-08 09:36:01,2026-04-07,Mobile,false,5.84,0.36,4.07,Census Bureau,11 13 * * 1-5,Europe,2001,5.76,Black,2019-05-19,7 years,735.27,44 13 * * *,0x7a83246e63606161111969304eadc4ad269aa101,August,21:49:50,February,2015,Desktop,Other,September,BILL-457441,Safari,false,2022-05-14,2025-12-08,20 10 * * 1-5,Web,1.81,Desktop,Q4 2024,6011-6257-4393-0213,2020-09-06,Phone,$2b$12$O7zeY3c0UXtybftyvAIg7mPm4aYWsZqmbPdMeeZHD0mBCyprFLNOY,Chat,Mobile,Windows,4.47,2025-01-26,Social Media,Competitor Quantum Dynamics launched DataSync 3000,staging.users -> reports,Jan-Mar,"[-2.0794, 1.101, 0.1819, 0.5488, 0.6317, 0.2892, -2.1486, 0.2728]",2024-02-24,02:46:26,Inactive,May,November,FY 2025,2026-05-17 10:04:00,CURRENT_TIMESTAMP,Phone,2025-01-09,"-----BEGIN CERTIFICATE-----
WPrQfdBnbbT7Ho2fzjaDTzwXyqZPg+IBOJle5DWNcMP6njRrrTQa2P+o3JlP/qC8
-----END CERTIFICATE-----",Smart TV,Eiffel Tower,2026-12-21
Wednesday,22 7 * * *,Approved,"9 2 * * 0,6",April,0567778467237,2020-02-11T05:07:14Z,2025-02-16,86.6,2018-03-25T00:00:00Z,Edge,Owner,November,source_col -> field_b,Sunday,ADV-8DYNHD0IL9,2020-03-10,Mobile,2021-01-31,FY 2025,CAD,2.66,Monday,Ibuprofen 200mg,Phone,C6H12O6,2020-05-22,2020-09-19,April,harper.anderson827,2021-01-29,d1239ef9-3c03-42e7-84ca-d2354c260d4c,2018-02-11,65FFHC2GZVRA1FMZW,2026-04-19,Tech Forum 2022,2022-12-04,Edge,8.4,Smart TV,2025-10-30,voice_0addac6c72fa54b7.wav,2025-05-18,2018-12-05,8.13,73.78,Q1 2026,2013,2024-04-26,Smart TV,_ga=9808398096.5802902,7-86,Smart TV,Great product!,Q1 2024,https://example.com/users/5796fb37/profile,7.84,2023-02-19,2026-08-27,631404,/var/exports/daily_942.xml,WBC: 167.3 g/dL,11-3535307,Critical,2019-07-21,2022-07-15,J657PA60N3160X4AO,2021-06-02 18:49:59,2023-02-21,Smart TV,false,6.74,1.29,1.26,CDC,24 13 * * *,South America,2006,4.28,Green,2020-02-07,1 year,466.04,5 18 * * *,0x30b16aa9c5787090c7dbea8686857eeb90733052,November,23:06:47,June,2004,IoT,Non-binary,September,BILL-363072,Chrome,true,2020-05-01,2018-08-28,49 2 * * *,Mobile,6.71,Tablet,Q2 2023,5954-7345-2802-1620,2026-02-17,Social Media,$2b$12$USiySeXVHyeD11WJpkleMW0WhY5xJ0EpHJGh1vOpsePO8g0WfHR4U,Social Media,Smart TV,Linux,5.56,2021-03-13,Mobile,Competitor Quantum Dynamics launched Sentinel Monitor,curated.users -> exports,FY 2025,"[1.7136, 0.8981, -0.4489, 0.6507, -0.7182, 0.9402, -1.6334, 0.5503]",2020-02-08,17:30:00,Inactive,December,June,Jan-Mar,2019-10-06 06:15:46,1,Social Media,2018-07-10,"-----BEGIN CERTIFICATE-----
Xbyag6kKQSr8EdzwZ8pYVXRe5OmUKAxUrzFTbeCcFs/+nY84o88S3b6Ma6Gk6uAQ
-----END CERTIFICATE-----",IoT,Golden Gate Bridge,2019-12-27
