c_953,soundLevel,numeric_range,featureVector,dehwe69,numericRange,NUMERIC_RANGE,FEATURE_VECTOR,ordinal_position,v_tl,raw_integer,trendGrowthRate,landmark_poi,MEDIAN,meta_102,CREATED_AT,median,author,histogram_bin,CONFIDENCE_INTERVAL,decimalFloat,jps19,DECIMAL_FLOAT,integer_6,address_text_data,data_format,iso_country_cd,histogramBin,lwerzd49,word_embedding,var_ao,meta_zh,puymg50,probval,field_ran,customer_load_timestamp,likelihood,standardDeviation,x_land,TREND_GROWTH_RATE,dim_152,integer_info,v_445,trend,unitOfMeasure,dim_integ,50th_percentile,size_dimension_category,ordval,STANDARD_DEVIATION,area,HISTOGRAM_BIN,var_decim,stddev,position,time_of_day_raw,percentile,wordEmbedding,correlation,c_293,SCHEDULE_PLAN,change,src_probability_confidence,WORD_EMBEDDING,attr_rang,integer,ci,src_median,dim_phwd,INTEGER,percentage,featvec,src_ordinal_position,meta_113,rank_rating,imgemb,p_qqbh,p_sxtn,intval,double,var_273,user_decimal_float,dim_bank_identification_number,first_name,meanAverage,median_6,user_standard_deviation,visual_features,src_confidence_interval,startdt,confidence_interval_6,c_ima,binval,x_83,content_type,fgavi11,ordinal_position_6,0_1,wordemb,voiceprint,confidence_interval_field,feature_vector,d_79,histbin,attr_uecr,bin_edge,SCIENTIFIC_NAME,median_val,CORRELATION,cryptocurrency_adr,food_ingredient_name
application/xml,108.5,30-67,"[0.8171, 0.8854, 0.8386, 0.0931, 0.3853, 0.3524, 0.6766, 0.5044]",F46MVLXOU,27-54,18-68,"[0.302, 0.8808, 0.064, 0.627, 0.0111, 0.1473, 0.6543, 0.0604]",67,-23.88%,2614,16.27%,Big Ben,-67.7267,"$5,367,538",2025-12-10T20:26:22Z,-94.9256,olivia.young,13.99,"[10.45, 77.22]",1768.5401,BILL-376906,2123.976,4786,"7103 Main St, Miami",CSV,MX,75.92,true,"[0.6145, -0.0723, -0.4928, -1.9268, -0.0134, -2.0609, 0.2097, -0.0356]",491,828,Monthly on 1st,0.6493,11-71,2021-03-03 14:01:36,0.955,22.7186,Golden Gate Bridge,-40.63%,"[0.5502, 0.668, -0.6853, 0.2964, -0.1569, -0.4607, 0.5305, -0.7215]",2620,None,-47.88%,kg,805,-11.4418,XXL,463,1.7922,28346.0,24.93,3894.7377,35.1381,133,18:58:55,28.75,"[-1.7684, 0.1836, 3.9143, -0.9231, -0.8175, 0.2258, 0.2186, -0.4017]",0.5444,40.9022,Monthly on 1st,23.18%,0.9817,"[0.6799, 0.421, -0.1438, 0.8682, -0.036, 0.8795, -0.153, -0.2295]",14-89,2764,"[31.15, 67.53]",-5.8799,"[16.38, 97.12]",6779,97.15%,"[0.4754, 0.7215, 0.5563, 0.2827, 0.212, 0.7321, 0.2209, 0.9472]",633,CLM-799090,17,"[0.2717, 0.473, 0.0935, -1.5308, 0.5181, -0.0263, -0.3035, 0.4115]",fca811847e0917c88ca2fee4470e7aa4ca3409e160d534067ec379667b71eb36,31.39%,2532,5561.1707,6401,5825.2329,553186,Jennifer,-54.7409,-39.2608,7.3485,"[0.1476, 0.8308, 0.0117, 0.3524, 0.2339, 0.3042, -0.5559, -0.7903]","[5.81, 95.37]",2024-02-24,"[19.32, 80.02]","[0.1404, -0.1267, -0.6062, 0.4263, -0.99, 0.387, 0.1334, -1.3997]",0,34.54,Infographic,0.2138,201,0,"[3.3076, -0.1739, -0.4866, 0.5872, 0.3416, 0.9494, -0.9918, -0.0678]",voice_e99157dc5c7f8d1c.wav,"[39.73, 74.04]","[0.1833, 0.8681, 0.8819, 0.8928, 0.49, 0.7891, 0.504, 0.0889]","[0.7491, 0.5941, -0.0148, -0.2455, -0.4063, 0.5064, 0.1243, 0.1279]",17.54,03/26,22.63,Fe2O3,-30.8453,-0.3905,0xd0f327ebe1ff6dcd8d0aef30d5000b19b03777d3,Pasta
image/png,91.6,18-51,"[0.5458, 0.6639, 0.3921, 0.8019, 0.2003, 0.2328, 0.8704, 0.8456]",J6XO65NQD,9-56,40-54,"[0.8149, 0.4495, 0.7312, 0.3992, 0.3974, 0.1425, 0.2486, 0.3156]",285,-20.1%,8215,5.06%,Eiffel Tower,46.3205,"$6,646,008",2025-02-21 13:33:46,-27.7772,patricia.thompson,4.91,"[1.36, 79.33]",4912.0606,BILL-689096,9779.001,9860,"9314 Oak Ave, Paris",Avro,MX,73.93,NO,"[-0.1089, 1.3048, -0.4685, 0.0777, 0.665, -2.1138, -1.66, -0.295]",721,501,Daily at 2am,0.415,5-66,2024-01-25T10:10:34Z,0.5569,44.3031,Statue of Liberty,49.74%,"[0.1798, -0.1096, 0.3561, 0.2577, 0.023, -0.6382, 1.1366, -0.6415]",4309,None,-45.23%,kg,9699,-65.3816,XL,858,2.4555,59320.2,85.66,2827.8016,11.2726,465,19:10:52,2.63,"[-0.0096, 0.5498, -0.8823, -0.3371, -0.4358, -0.5643, -0.5783, 0.2646]",-0.4682,18.7988,Weekly on Monday,45.01%,0.0824,"[1.5641, 0.3379, -1.5308, -1.7415, -0.1473, 0.546, 0.3697, -0.0295]",19-81,8639,"[30.39, 88.71]",9.673,"[24.86, 84.19]",9403,48.55%,"[0.8018, 0.6978, 0.3819, 0.0084, 0.0536, 0.7357, 0.5084, 0.9996]",837,CLM-554148,91,"[0.0678, 0.4691, 0.4848, 0.5499, 1.1524, -0.7463, -0.3072, -0.0351]",adc5ffb82c9cf72952f44b3de52f82f84cc3c8d45bfcd5be10049fc57d782125,-42.82%,3548,1397.54,5486,6375.8242,601102025,Mary,-26.8158,27.937,14.3484,"[0.0495, -0.4078, -0.8392, -0.6296, -0.908, -0.0359, 0.1388, 0.4727]","[28.44, 98.12]",2021-07-17,"[8.84, 82.42]","[-0.6669, -0.1246, 0.0835, -0.0633, -0.8244, 0.1408, -0.4995, -0.4465]",1,12.55,Article,0.7872,958,1,"[0.3559, -0.1619, 0.4326, -0.2689, 0.2774, 1.148, 0.3749, -0.4323]",voice_564926dc514463e5.wav,"[22.01, 78.34]","[0.9278, 0.6848, 0.7836, 0.9665, 0.566, 0.8501, 0.1408, 0.9786]","[0.7472, -0.4117, -0.2804, -0.2912, 0.5286, 0.304, -0.141, 0.3066]",50.36,08/25,53.56,E. coli,34.2936,0.4839,0xc1fd645a19375f7b93c376f909c18e7d59175746,Pasta
application/xml,51.6,39-62,"[0.0276, 0.0269, 0.0981, 0.4378, 0.4536, 0.4531, 0.1143, 0.1664]",ZSX8ICCC7,8-83,2-84,"[0.8376, 0.0285, 0.4408, 0.4621, 0.5478, 0.0114, 0.7367, 0.1034]",734,30.68%,3381,-1.94%,Big Ben,-64.7419,"$4,852,085",2019-03-04T22:45:29Z,71.8708,emily.brown,38.76,"[24.48, 89.06]",2783.0527,BILL-659989,3870.3304,9063,"2987 Maple Dr, Los Angeles",Parquet,GB,14.45,YES,"[0.5088, 0.2508, -0.1212, 0.3133, 1.2211, 1.5451, 0.0577, -0.8787]",78,126,Daily at 2am,0.962,25-96,2024-07-01 14:37:06,0.83,2.1932,Big Ben,-14.1%,"[0.5061, 0.219, -0.6445, -0.8782, 0.4323, -0.1066, 0.1922, 0.0248]",6222,None,45.92%,°C,5208,-49.159,L,897,24.674,87509.5,58.47,9848.5581,1.2197,120,14:25:51,11.58,"[-0.8187, 0.9551, -0.4702, -1.1049, -0.2984, -0.3206, 0.4031, 1.6582]",0.6756,41.2106,Every 15 minutes,-24.38%,0.0509,"[0.1967, 1.5035, 0.8851, -1.5246, -0.9479, -0.3722, 0.6326, -1.0068]",6-81,317,"[38.59, 85.79]",-16.9137,"[22.07, 78.03]",7341,51.15%,"[0.883, 0.6057, 0.9213, 0.376, 0.3895, 0.8116, 0.953, 0.6605]",840,CLM-275965,35,"[0.176, -0.123, 0.6487, -1.0023, 0.6766, -0.2804, -0.1958, -0.2444]",287bc5a79ce2e4efe8bf458b742dfb072b11e5afe74bb0e990cf4bab79435172,14.93%,8411,2947.947,8872,9974.9197,3797424,Robert,-19.1755,-5.3831,48.2991,"[-0.276, 0.3976, 1.4528, 0.4149, -0.3475, 0.9973, 0.0048, 0.3622]","[9.11, 61.39]",2019-06-03,"[33.4, 87.01]","[0.9405, -0.4353, 0.3011, 0.2525, 0.286, 0.1347, 0.1175, -0.1012]",1,19.43,Image,0.8181,667,0,"[-0.5225, 1.9973, -0.0467, 0.5684, -0.2727, 1.6932, -0.7956, 1.38]",voice_0ca395c370a24c92.wav,"[15.11, 88.37]","[0.7208, 0.0678, 0.4, 0.2622, 0.3184, 0.7912, 0.8135, 0.6066]","[0.1716, -0.375, -0.2456, -0.2527, -0.6347, -0.1261, -0.0729, -0.2741]",58.01,02/24,95.48,Homo sapiens,-38.4228,0.6551,0x638fabd214bc705a280e64d2ef1d7224c1fd9a70,Steak
text/csv,82.6,21-82,"[0.5904, 0.1014, 0.2212, 0.074, 0.2136, 0.6941, 0.0187, 0.379]",QUEEZCC77,12-98,10-95,"[0.9402, 0.3078, 0.8093, 0.5955, 0.7333, 0.8867, 0.1756, 0.8686]",440,-29.88%,7139,49.45%,Statue of Liberty,-2.2084,"$9,916,600",2021-02-04 01:30:50,99.6425,ethan.miller,38.76,"[12.45, 73.82]",4440.8693,BILL-217315,13.529,1754,"3717 Pine Rd, Seattle",CSV,DE,37.68,true,"[0.9626, -0.0708, -0.1828, -0.5537, 0.8545, 0.7665, 1.3762, 0.5045]",189,210,Daily at 2am,0.6435,29-53,2025-05-27T09:16:24Z,0.7944,40.6622,Eiffel Tower,-32.51%,"[-0.3835, -0.373, -0.5102, -0.6253, -0.0887, -0.3527, 0.5609, -0.6916]",1552,Latex,-12.7%,°F,818,73.2459,XXL,574,24.9644,47034.1,87.35,814.2708,3.3878,319,00:21:05,43.84,"[0.9079, -0.8334, -0.9319, 1.9379, -0.2723, 0.6955, -0.0995, 0.8293]",0.2167,43.4846,Weekly on Monday,-37.76%,0.5409,"[2.5152, 2.4234, 0.0333, -0.8522, 0.3664, 0.9413, -0.4036, -0.2623]",8-89,7332,"[15.81, 99.1]",-72.7541,"[22.16, 94.07]",6625,91.97%,"[0.3363, 0.7745, 0.2155, 0.0979, 0.3589, 0.1273, 0.8897, 0.5216]",114,CLM-712442,44,"[0.3336, -0.777, 0.0472, 0.0807, -0.2427, -0.2031, -0.5739, 0.5601]",f397e2116ba3c94f7f21c1bf7ae202c96c2fa5772802eae8f779960d9db839eb,-32.01%,5875,4147.75,5257,8928.9857,60115378,Oliver,33.9459,-56.7527,11.0414,"[-0.6617, -0.4718, -0.0042, 0.4558, -0.5239, 0.5995, -0.0182, 0.2996]","[27.05, 61.0]",2025-06-12,"[25.24, 82.06]","[-0.467, 0.0103, 0.5918, 0.4331, -0.171, -1.3947, -0.3074, -0.0635]",1,95.66,Infographic,0.8673,769,0,"[0.8613, 0.4632, 0.2318, -1.8356, 0.1119, 0.9871, -1.3954, -0.7784]",voice_a15c04b931220824.wav,"[31.04, 60.18]","[0.7834, 0.1068, 0.5928, 0.171, 0.4285, 0.4311, 0.969, 0.5638]","[0.5569, -0.4365, -0.2848, 0.3082, 0.1656, 0.2549, -0.1297, 0.947]",3.29,09/30,8.68,H2O,-96.0383,-0.572,0x320d345ba84edf27efd6e795d02ecfb7d7548c58,Steak
image/png,81.0,13-70,"[0.3547, 0.9122, 0.1463, 0.465, 0.546, 0.1763, 0.4016, 0.8946]",D73JHM5G5,28-87,30-91,"[0.0223, 0.4186, 0.9396, 0.6585, 0.6512, 0.9215, 0.8604, 0.4055]",512,-33.2%,7615,-13.89%,Central Park,69.1534,"$8,277,976",2023-09-10 21:48:40,-52.736,susan.king,52.42,"[8.05, 67.88]",295.2283,BILL-976603,8276.1466,3714,"5030 Oak Ave, Denver",Avro,IN,11.52,YES,"[0.7849, -0.7305, -0.0112, -0.6366, -0.2945, 0.6742, -0.1249, 0.5773]",307,372,Weekly on Monday,0.3714,32-62,2025-07-16T05:56:18Z,0.3276,42.5341,Statue of Liberty,-31.08%,"[-0.4568, -0.433, 0.6523, 1.0805, 0.9294, -0.1399, 0.2419, -0.0806]",103,Peanuts,27.08%,°C,5330,37.2621,XXL,566,38.2364,20276.0,5.95,4313.3379,16.4835,104,12:15:31,20.3,"[0.2379, -0.2014, 0.9296, -0.6647, 0.8572, -0.1722, 0.5856, -2.9086]",-0.7025,13.2582,Monthly on 1st,-46.2%,0.2181,"[2.7293, 2.3541, 0.1108, 0.5321, 0.6713, -0.1656, 1.7211, 1.4358]",0-51,7002,"[16.89, 95.89]",98.7041,"[17.95, 79.93]",7201,19.21%,"[0.4094, 0.6301, 0.3712, 0.4379, 0.158, 0.7285, 0.0752, 0.7252]",308,CLM-400062,62,"[0.0175, -0.2879, -0.2, 0.7459, 0.4806, 0.3361, -0.6905, 0.0853]",fc2978dd8130e0078500de73eb10486d333d76de8a8bf2a1f9811d14a7b69afa,42.24%,9417,7134.8945,9084,4737.2879,371307,Susan,-38.2978,-85.8793,29.9471,"[-0.5865, 1.2877, -0.6246, 0.2688, -0.0103, 0.6632, -0.0385, 0.6195]","[27.12, 60.24]",2023-11-21,"[8.51, 83.92]","[0.1171, -0.0623, 0.3977, 0.3317, -0.7239, 0.1659, 0.5707, 0.0503]",0,57.84,Podcast,0.9651,65,1,"[-0.9002, -1.3367, -1.0432, -1.8058, -0.6879, 0.9947, 0.4665, 2.0793]",voice_2e7dcc550d49914d.wav,"[24.74, 73.65]","[0.0016, 0.5171, 0.8586, 0.8146, 0.7463, 0.5342, 0.2811, 0.6155]","[-0.1385, 0.4607, -0.3174, -0.589, 0.7908, 0.2672, -0.4262, 0.277]",44.63,09/27,97.02,NaCl,52.9533,0.2073,0x830406a3bd0d5629dc933055080c5a8296d2eb2d,Steak
application/xml,21.0,0-54,"[0.7379, 0.6933, 0.8931, 0.9035, 0.4999, 0.9849, 0.2688, 0.9726]",VZIRM4327,31-75,9-92,"[0.3335, 0.7184, 0.2709, 0.7843, 0.9712, 0.6681, 0.1679, 0.5723]",723,-27.95%,3009,30.56%,Golden Gate Bridge,-34.2335,"$2,030,834",2026-05-24T17:23:18Z,-27.9752,lucas.johnson,37.43,"[21.73, 87.34]",7828.4876,BILL-558357,5263.5795,6746,"785 Main St, Denver",Avro,JP,53.31,YES,"[1.1533, 0.4123, 0.8831, -0.478, 0.109, -1.4202, 0.3316, 0.8939]",68,332,Monthly on 1st,0.1912,35-59,2023-11-16T05:34:36Z,0.3844,47.2528,Eiffel Tower,-13.37%,"[-0.2881, -0.2896, -0.9995, 0.2021, -0.1349, 0.4383, -0.1659, -0.6226]",4218,Penicillin,48.33%,kg,913,-8.0418,XL,527,35.971,82864.3,38.58,685.2117,22.8987,890,15:43:39,11.65,"[1.5222, -1.8424, 0.4192, 0.6284, 0.2821, -1.3528, 0.1483, 2.0345]",0.3018,48.2293,Monthly on 1st,27.64%,0.9254,"[1.2652, 1.8913, 0.6326, -0.7259, 0.6311, -0.4012, -2.1261, -0.9194]",13-57,4640,"[38.33, 75.21]",-2.1997,"[27.61, 80.01]",5776,0.73%,"[0.9231, 0.7481, 0.8148, 0.9649, 0.1567, 0.4229, 0.2599, 0.2975]",33,CLM-968869,21,"[0.2614, -0.1503, 0.321, -0.0645, -0.1117, 0.1691, -0.3154, 0.675]",d9062dcf0f3e7100a6384f49cd713f983292042b77ece587d518575325d3c920,-18.5%,897,-626.0231,4706,9567.6646,42114,Elizabeth,-3.106,76.1126,0.3569,"[-1.0062, -0.87, -0.1514, -0.8096, -0.0826, 0.5063, -0.1469, -0.409]","[21.19, 86.04]",2023-05-08,"[25.95, 69.11]","[-0.1907, -1.0029, -0.0118, -0.2039, -0.7281, -0.2285, 0.2863, -0.6268]",1,77.08,Podcast,0.5536,755,0,"[1.0619, 0.498, 0.2033, 0.0637, -1.266, -0.7768, 0.0687, -1.4764]",voice_f7f1396b8ceedd4e.wav,"[17.42, 62.26]","[0.6499, 0.5853, 0.9366, 0.0415, 0.8585, 0.6867, 0.6704, 0.009]","[0.1621, -0.7294, -0.2238, 0.7571, -0.5876, -0.7555, 0.562, -0.3289]",89.78,08/30,83.41,Fe2O3,37.9045,-0.1359,0xd30172f7c9ee2146aa51d4dbbf2c1711c721b999,Pasta
application/pdf,96.8,24-93,"[0.1575, 0.7633, 0.48, 0.6672, 0.8885, 0.7926, 0.4169, 0.452]",ZNXP0FKD3,5-74,45-94,"[0.9664, 0.2745, 0.1768, 0.987, 0.931, 0.4571, 0.6823, 0.2824]",740,13.0%,2501,35.34%,Eiffel Tower,29.2779,"$2,425,024",2021-12-20T16:05:25Z,47.7111,mary.white,37.18,"[16.22, 74.7]",1805.9828,BILL-548138,35.9163,3713,"2812 Pine Rd, London",Parquet,FR,18.01,NO,"[-0.0371, -1.9588, 0.0206, -0.0233, 0.1512, -2.1141, 2.5429, -0.221]",950,778,Daily at 2am,0.9487,39-71,2024-03-23 08:09:17,0.4375,32.0456,Golden Gate Bridge,-38.46%,"[-0.5183, -0.1958, 0.7979, 0.6022, -0.2106, 0.4744, 0.5087, -0.1203]",1173,Shellfish,-33.11%,m,3045,-34.776,M,906,33.688,98065.1,31.69,6309.7027,12.174,582,18:00:53,36.63,"[1.4551, 1.3924, -0.8507, 1.6099, 0.4641, -1.5298, -1.3792, 0.1758]",0.6767,6.5095,Weekly on Monday,3.25%,0.9719,"[0.6407, 0.1664, -0.7616, 0.9913, -1.514, 0.432, -0.7928, -0.1284]",40-83,8395,"[28.94, 88.01]",-83.2447,"[21.8, 62.2]",5058,9.8%,"[0.7344, 0.4309, 0.3371, 0.9699, 0.3074, 0.0546, 0.0554, 0.5667]",421,CLM-156500,22,"[-0.4866, 0.0669, 0.3831, -0.0248, 0.7871, -0.7702, -0.2689, -0.2827]",0f8c56403a16a9d3502449d151117073243cb36af80fce7d46c3f54c9bd17da5,8.34%,222,-860.7896,7782,3291.1165,519183,David,-11.1699,-76.5191,46.1211,"[-0.1414, -0.3023, 0.3428, 0.5932, -0.0843, -0.1569, 0.3274, -0.4057]","[33.03, 68.92]",2021-04-11,"[31.08, 88.57]","[-0.9206, -0.1056, -0.1753, 0.5145, 0.1777, -0.1656, -0.1876, 0.0547]",0,84.4,Podcast,0.6351,515,0,"[0.4037, 0.8884, 0.1255, -1.4148, 0.4858, -0.5302, 1.7947, 1.301]",voice_1db71816580d4232.wav,"[21.01, 61.08]","[0.1949, 0.2733, 0.6334, 0.397, 0.629, 0.0102, 0.9503, 0.979]","[-0.0967, 0.1922, -0.2453, -0.0181, 0.6229, 0.607, -0.3491, 0.4381]",45.02,03/29,87.69,NaCl,16.4302,-0.6114,0x58022e0ca85d64da2249a789ef775f76076da2d3,Tacos
text/html,68.0,26-62,"[0.5539, 0.7455, 0.918, 0.1521, 0.5714, 0.347, 0.6718, 0.0193]",XA4EYXDQ8,24-89,20-52,"[0.2214, 0.7509, 0.1638, 0.6879, 0.6404, 0.6371, 0.3056, 0.8728]",943,32.25%,9050,33.36%,Statue of Liberty,-25.1617,"$6,404,264",2021-12-12T23:18:37Z,1.043,aiden.thompson,37.13,"[34.35, 71.56]",1662.3002,BILL-833564,5158.4715,9106,"5528 Pine Rd, Dallas",JSON,MX,57.34,false,"[-1.4138, 0.8352, -0.0639, 0.6988, -0.302, 0.1015, 2.8708, -0.0292]",627,620,Every 15 minutes,0.9264,0-80,2024-07-05 06:45:00,0.4618,42.2205,Statue of Liberty,-5.65%,"[-0.1537, -0.2381, 0.0817, 0.4266, 1.3727, 0.5063, 0.258, -0.1032]",9128,Shellfish,19.76%,kg,5767,81.0725,XL,407,24.1387,39166.9,36.33,4244.4381,39.4863,415,04:49:46,34.49,"[0.9989, 1.1547, -1.2009, -1.3137, 0.2267, 0.8374, 0.221, 0.1376]",-0.6208,47.5738,Monthly on 1st,34.32%,0.1904,"[0.79, 0.4956, 0.4906, 0.5019, -1.4008, 1.183, 0.9172, 1.3608]",11-64,8820,"[21.11, 88.46]",99.4391,"[4.38, 69.9]",3697,67.41%,"[0.6569, 0.2911, 0.7101, 0.0765, 0.0918, 0.972, 0.0259, 0.5632]",515,CLM-232571,35,"[-0.5862, 0.3082, -0.4182, 0.2199, 0.2988, -0.5122, -0.0601, 0.1146]",b7e195d3ceeaaffc260b80ad42c312ee3d156fc0e9f9693c956696da5ecf557b,48.56%,4151,837.7994,1169,9805.7625,376859,Sarah,-72.9989,48.497,1.6098,"[0.0875, -0.3345, 0.4585, -0.4899, 0.4395, -0.2855, -0.2419, 0.3226]","[31.58, 69.79]",2022-10-31,"[1.28, 69.03]","[0.9713, 0.2479, -0.1363, -0.3555, 0.4797, 0.4836, 0.9224, -0.6411]",1,16.01,Infographic,0.9225,846,1,"[-0.0914, -1.2343, 0.1089, -0.8311, -0.3399, 0.0286, -1.2857, -1.1971]",voice_9ffbe964ef01ea83.wav,"[20.35, 71.76]","[0.4107, 0.8716, 0.7215, 0.8049, 0.9172, 0.5405, 0.9984, 0.854]","[-0.8054, 0.4496, 0.8257, 0.7121, 1.2751, 0.6148, 0.4172, 0.186]",44.9,11/25,38.2,NaCl,-20.683,-0.7452,0x740878c68559feec81b3c3079478e091c1a267f2,Curry
image/png,127.6,27-62,"[0.0237, 0.2105, 0.287, 0.5652, 0.1486, 0.8724, 0.5169, 0.9295]",34FFNV3BC,26-87,49-88,"[0.0782, 0.9879, 0.9044, 0.5225, 0.1678, 0.2035, 0.819, 0.8472]",626,-49.3%,9637,-41.17%,Big Ben,-58.2353,"$8,021,481",2020-11-17 12:59:08,-62.231,sophia.thompson,68.54,"[30.51, 77.31]",1152.889,BILL-788646,4761.591,8920,"1245 Cedar Ln, Berlin",Parquet,US,50.61,NO,"[-1.5475, -0.1712, -0.4521, 0.7963, 1.9609, -0.5441, 0.2814, -0.0273]",202,91,Every 15 minutes,0.2077,40-59,2019-03-28T12:28:12Z,0.3148,36.1403,Statue of Liberty,17.86%,"[0.2779, 0.0203, -0.5752, 0.9382, 0.1624, -0.1603, -0.3455, -0.9224]",8804,None,19.42%,L,6500,34.3965,XL,192,20.8616,84967.4,33.76,5032.9047,11.804,264,12:54:25,28.34,"[-0.684, -0.15, 1.3271, 0.2011, 0.1213, -0.1721, 0.2349, 0.0775]",-0.0598,33.6914,Daily at 2am,-26.19%,0.602,"[2.2253, -0.9431, 1.7597, -2.6476, 1.3049, 0.5106, 1.5387, -0.0253]",13-56,8812,"[32.06, 69.14]",-33.9086,"[34.41, 77.72]",4321,36.62%,"[0.3366, 0.8154, 0.5052, 0.4366, 0.9683, 0.6451, 0.0665, 0.3055]",734,CLM-864078,47,"[0.4264, 0.0001, -0.1296, 1.2987, 0.2984, 0.464, -0.631, -0.7937]",3f2644791b4c69bcd3752ed445193e4afac293b39163909a73f3618d5891eea2,5.37%,9499,7558.6991,3065,4855.043,58630,Jennifer,-3.4395,12.0739,12.1614,"[-0.7722, 0.2377, 0.587, 0.0366, 0.5941, -0.1115, -0.5819, -0.2092]","[37.44, 82.31]",2025-05-18,"[1.24, 95.83]","[-0.0963, -0.5323, 0.4116, -0.1493, 0.7096, -0.9251, -0.2616, 0.3959]",0,62.37,Podcast,0.718,632,1,"[1.5498, -1.2933, 0.758, 1.4768, -0.4689, 0.2397, 1.365, -0.7904]",voice_3376761597813506.wav,"[2.5, 92.96]","[0.7749, 0.9774, 0.7709, 0.5347, 0.1573, 0.6734, 0.6076, 0.5973]","[-0.899, 0.829, 0.1354, -0.4014, 0.1781, 0.856, 0.5714, -0.4666]",12.77,10/28,34.77,NaCl,-75.15,-0.1467,0x386e12947a5b7016e6e145d6edcc5e27b30c9b7a,Tacos
application/xml,44.9,44-61,"[0.7192, 0.1201, 0.9884, 0.4823, 0.5533, 0.7173, 0.9586, 0.9263]",E5VAJJGO1,5-73,19-52,"[0.6104, 0.3339, 0.114, 0.3637, 0.0392, 0.1978, 0.1806, 0.2295]",701,14.23%,3056,-46.49%,Statue of Liberty,87.1452,"$248,318",2020-08-21T13:33:11Z,75.1119,james.lewis,22.61,"[14.05, 65.68]",6670.9595,BILL-643800,2443.0529,5281,"8236 Cedar Ln, Portland",Parquet,GB,48.12,NO,"[1.1386, -1.071, 0.2701, -0.4805, -0.8412, 0.139, -0.4556, -0.4047]",84,711,Monthly on 1st,0.0558,32-78,2020-02-25 12:12:17,0.5622,27.6253,Central Park,21.63%,"[0.1246, -0.2933, 1.0227, -0.4905, -1.5655, 0.4153, -0.1254, -0.8246]",9064,Penicillin,-21.89%,kg,9148,-28.4481,XL,727,9.8815,76889.0,76.33,2464.7139,45.8383,458,01:57:25,75.48,"[0.4342, 1.9828, 1.6736, -0.269, 0.7957, 1.853, 0.5233, -0.6092]",-0.2187,30.5408,Monthly on 1st,31.16%,0.1784,"[-0.8418, -1.2604, 0.7041, -0.6344, 0.1709, -0.6968, 2.7892, -1.2236]",45-98,3377,"[25.41, 64.33]",2.9915,"[5.72, 80.44]",7866,65.55%,"[0.395, 0.5018, 0.8958, 0.5062, 0.2419, 0.9916, 0.7471, 0.7194]",180,CLM-395055,62,"[0.5145, -0.337, -0.0377, -0.9721, 0.2383, 0.3426, 0.0349, 0.5154]",538a509d32041f09598e0d8b65154ca5ced8216a242f42626444c122f3bc3b6f,-4.55%,6665,8005.7966,6339,2910.4285,40789,Elizabeth,28.6554,62.2876,37.2793,"[0.115, -0.0246, 0.4246, -0.7516, 0.6655, -0.5821, -0.7548, -0.5132]","[24.66, 67.01]",2020-10-07,"[22.98, 63.86]","[-1.017, 1.8275, 0.0838, 0.8338, 0.2718, 0.0494, -0.6935, -0.111]",1,35.45,Infographic,0.683,69,1,"[-0.01, 0.0839, -0.4107, 0.2988, 0.8379, 0.2501, -0.0383, -0.0888]",voice_e0b1fde1e9b9f535.wav,"[10.77, 67.4]","[0.2532, 0.5553, 0.3256, 0.4307, 0.7827, 0.008, 0.8945, 0.0316]","[0.5503, 0.1503, 0.0932, -0.2873, 0.4495, -0.5974, -0.3018, -0.125]",20.89,10/28,64.6,C6H12O6,-80.5825,-0.5004,0x4367ae750017d3365b0ad547f478b8609296fa1b,Pizza
